Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Хасынская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  142	УИК  143	УИК  144					
1	"Число избирателей, внесенных в списки"	7854	1706	547	1097	1423	1444	606	456	575					
2	"Число бюллетеней, полученных участковыми комиссиями"	8012	1686	552	1160	1410	1485	644	475	600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	6	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4400	951	325	567	720	796	309	295	437					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	171	45	6	20	49	21	9	15	6					
6	Число погашенных бюллетеней	3435	684	221	573	641	668	326	165	157					
7	Число бюллетеней в переносных ящиках для голосования	177	51	6	20	49	21	9	15	6					
8	Число бюллетеней в стационарных ящиках для голосования	4398	949	325	567	720	796	309	295	437					
9	Число недействительных бюллетеней	30	9	2	3	6	1	3	1	5					
10	Число действительных бюллетеней	4545	991	329	584	763	816	315	309	438					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	148	24	15	20	25	14	20	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	49	9	3	4	14	2	12	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	6	3	3	2	2	2	0	24					
14	Число погашенных открепительных удостоверений	99	15	12	16	11	12	8	14	11					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	2	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	63	17	1	6	13	9	4	5	8					
		1.37%	1.7%	0.30%	1.02%	1.69%	1.10%	1.25%	1.61%	1.80%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	99	9	10	13	18	27	0	9	13					
		2.16%	0.9%	3.02%	2.21%	2.34%	3.30%	0.0%	2.90%	2.93%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	134	20	10	18	21	25	15	9	16					
		2.92%	2.0%	3.02%	3.06%	2.73%	3.05%	4.71%	2.90%	3.61%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	149	26	17	13	20	28	19	16	10					
		3.25%	2.6%	5.13%	2.21%	2.60%	3.42%	5.97%	5.16%	2.25%					
22	"5. ""За Русь Святую"""	34	2	3	3	3	13	2	5	3					
		0.74%	0.2%	0.90%	0.51%	0.39%	1.59%	0.62%	1.61%	0.67%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	1	1	0	1	0	2	1	2					
		0.17%	0.1%	0.30%	0.0%	0.13%	0.0%	0.62%	0.32%	0.45%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	5	0	1	4	3	0	0	2					
		0.32%	0.5%	0.0%	0.17%	0.52%	0.36%	0.0%	0.0%	0.45%					
25	"8. ""Народно-республиканская партия России"""	6	0	0	0	1	2	1	2	0					
		0.13%	0.0%	0.0%	0.0%	0.13%	0.24%	0.31%	0.64%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	2	1	1	3	0	0	3	1					
		0.24%	0.2%	0.30%	0.17%	0.39%	0.0%	0.0%	0.96%	0.22%					
27	"10. ""Аграрная партия России"""	98	36	4	9	15	15	5	7	7					
		2.14%	3.6%	1.20%	1.53%	1.95%	1.83%	1.57%	2.25%	1.58%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	0	2	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	34	10	1	1	2	7	0	9	4					
		0.74%	1.0%	0.30%	0.17%	0.26%	0.85%	0.0%	2.90%	0.90%					
30	"13. ""Демократическая партия России"""	7	1	0	0	3	1	1	0	1					
		0.15%	0.1%	0.0%	0.0%	0.39%	0.12%	0.31%	0.0%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	4	2	0	4	0	0	0	0					
		0.21%	0.4%	0.60%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	1	0	2	1	0	0	1					
		0.10%	0.0%	0.30%	0.0%	0.26%	0.12%	0.0%	0.0%	0.22%					
33	"16. ""Родина"" (народно-патриотический союз)"""	380	93	28	46	48	53	38	29	45					
		8.30%	9.3%	8.45%	7.83%	6.24%	6.48%	11.94%	9.35%	10.15%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	4	1	1	4	2	1	1	0					
		0.30%	0.4%	0.30%	0.17%	0.52%	0.24%	0.31%	0.32%	0.0%					
35	"18. ""ЛДПР"""	993	194	84	138	184	176	46	50	121					
		21.70%	19.4%	25.37%	23.50%	23.92%	21.54%	14.46%	16.12%	27.31%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	68	21	4	7	12	16	3	3	2					
		1.48%	2.1%	1.20%	1.19%	1.56%	1.95%	0.94%	0.96%	0.45%					
37	"20. ""Политическая партия ""Единая Россия"""	1653	338	111	241	265	310	122	129	137					
		36.13%	33.8%	33.53%	41.05%	34.46%	37.94%	38.36%	41.61%	30.92%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	2	0	0	0	1	0	1	2					
		0.13%	0.2%	0.0%	0.0%	0.0%	0.12%	0.0%	0.32%	0.45%					
39	"22. ""Развитие предпринимательства"""	14	0	0	2	3	1	1	6	1					
		0.30%	0.0%	0.0%	0.34%	0.39%	0.12%	0.31%	1.93%	0.22%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	523	157	30	57	113	84	40	14	28					
		11.43%	15.7%	9.06%	9.71%	14.69%	10.28%	12.57%	4.51%	6.32%					
															
41	Против всех	219	49	20	27	24	40	15	10	34					
		4.78%	4.9%	6.04%	4.59%	3.12%	4.89%	4.71%	3.22%	7.67%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
