Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Муромцевская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569					
1	"Число избирателей, внесенных в списки"	21188	2103	1700	1128	1194	571	1365	1492	167	522	363	49	427	203	81	230	446	614	418	292	325	94	411	69	1016	212	70	427	185	103	78	50	620	172	38	509	152	173	433	58	622	221	97	178	255	79	78	319	115	57	157	118	186	112	34					
2	"Число бюллетеней, полученных участковыми комиссиями"	20708	1989	1558	1068	1128	561	1289	1465	160	926	348	46	469	234	106	232	457	583	386	263	299	90	376	61	974	200	64	407	181	100	78	50	581	156	38	482	140	159	424	71	585	200	88	168	258	77	78	289	105	57	160	111	193	104	36					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13207	1015	810	518	559	288	677	817	118	480	242	42	332	203	77	186	344	398	289	207	223	85	219	55	537	162	55	284	141	93	78	48	402	135	38	359	108	141	331	58	387	170	88	137	210	73	74	268	100	52	111	108	149	93	33					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	969	95	54	45	48	22	47	11	11	42	17	0	0	0	0	0	0	50	45	30	10	5	81	0	69	17	0	10	30	7	0	0	14	0	0	13	0	0	44	0	45	0	0	0	23	4	2	21	0	0	20	0	37	0	0					
6	Число погашенных бюллетеней	6532	879	694	505	521	251	565	637	31	404	89	4	137	31	29	46	113	135	52	26	66	0	76	6	368	21	9	113	10	0	0	2	165	21	0	110	32	18	49	13	153	30	0	31	25	0	2	0	5	5	29	3	7	11	3					
7	Число бюллетеней в переносных ящиках для голосования	969	95	54	45	48	22	47	11	11	42	17	0	0	0	0	0	0	50	45	30	10	5	81	0	69	17	0	10	30	7	0	0	14	0	0	13	0	0	44	0	45	0	0	0	23	4	2	21	0	0	20	0	37	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13205	1015	809	518	559	288	677	817	118	480	242	42	332	203	77	186	344	398	289	207	222	85	219	55	537	162	55	284	141	93	78	48	402	135	38	359	108	141	331	58	387	170	88	137	210	73	74	268	100	52	111	108	149	93	33					
9	Число недействительных бюллетеней	209	24	9	11	15	3	4	15	2	0	6	1	8	1	0	8	2	15	8	0	1	0	4	0	13	2	0	2	0	1	1	1	0	1	5	11	2	5	11	0	7	0	0	3	1	0	0	2	0	0	2	2	0	0	0					
10	Число действительных бюллетеней	13965	1086	854	552	592	307	720	813	127	522	253	41	324	202	77	178	342	433	326	237	231	90	296	55	593	177	55	292	171	99	77	47	416	134	33	361	106	136	364	58	425	170	88	134	232	77	76	287	100	52	129	106	186	93	33					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	28	15	12	10	7	10	12	3	10	5	1	8	5	2	5	8	8	7	5	5	2	6	2	14	5	1	8	5	2	1	1	8	4	1	10	5	3	8	1	10	5	1	2	5	1	0	6	2	1	2	2	6	2	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	23	9	4	3	0	3	3	0	0	0	0	1	0	0	0	1	4	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	4	0	0	1	0	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	5	2	1	1	2	0	1	0	0	0	0	1	2	2	1	2	0	0	2	0	1	6	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	2	0	1	1	2	0	3	0	0	3	0	1	0	1	0	1	1					
14	Число погашенных открепительных удостоверений	233	5	6	8	7	7	7	9	3	10	5	1	7	5	2	5	7	4	6	5	5	2	6	2	13	5	1	7	4	2	1	1	8	4	1	6	5	3	8	1	9	4	1	2	1	1	0	5	2	1	2	1	6	2	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	375	23	22	11	17	7	20	16	6	20	8	1	8	7	0	4	4	29	10	10	2	3	4	0	17	4	1	4	5	0	2	0	18	2	0	13	5	6	14	2	10	8	1	1	2	4	0	5	8	0	1	1	7	1	1					
		2.64%	2.07%	2.54%	1.95%	2.80%	2.25%	2.76%	1.93%	4.65%	3.83%	3.08%	2.38%	2.40%	3.44%	0.0%	2.15%	1.16%	6.47%	2.99%	4.21%	0.86%	3.33%	1.33%	0.0%	2.80%	2.23%	1.81%	1.36%	2.92%	0.0%	2.56%	0.0%	4.32%	1.48%	0.0%	3.49%	4.62%	4.25%	3.73%	3.44%	2.31%	4.70%	1.13%	0.72%	0.85%	5.19%	0.0%	1.73%	8.0%	0.0%	0.76%	0.92%	3.76%	1.07%	3.03%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	80	8	5	3	3	3	7	1	0	0	2	0	5	1	0	0	2	2	2	0	3	0	2	0	2	1	0	2	0	0	0	0	7	1	0	2	0	4	3	0	4	0	0	0	2	0	1	1	0	0	0	0	0	1	0					
		0.56%	0.72%	0.57%	0.53%	0.49%	0.96%	0.96%	0.12%	0.0%	0.0%	0.77%	0.0%	1.50%	0.49%	0.0%	0.0%	0.58%	0.44%	0.59%	0.0%	1.29%	0.0%	0.66%	0.0%	0.33%	0.55%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	1.68%	0.74%	0.0%	0.53%	0.0%	2.83%	0.8%	0.0%	0.92%	0.0%	0.0%	0.0%	0.85%	0.0%	1.31%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	328	28	16	10	13	8	24	20	1	11	11	1	20	1	0	2	4	14	7	11	6	0	2	0	8	1	0	5	0	3	0	1	18	4	0	5	3	6	8	2	9	6	0	1	4	1	1	21	1	1	1	2	4	0	2					
		2.31%	2.52%	1.85%	1.77%	2.14%	2.58%	3.31%	2.41%	0.77%	2.10%	4.24%	2.38%	6.02%	0.49%	0.0%	1.07%	1.16%	3.12%	2.09%	4.64%	2.58%	0.0%	0.66%	0.0%	1.32%	0.55%	0.0%	1.70%	0.0%	3.0%	0.0%	2.08%	4.32%	2.96%	0.0%	1.34%	2.77%	4.25%	2.13%	3.44%	2.08%	3.52%	0.0%	0.72%	1.71%	1.29%	1.31%	7.26%	1.0%	1.92%	0.76%	1.85%	2.15%	0.0%	6.06%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	135	13	25	7	5	4	16	2	0	3	0	0	6	1	0	1	2	5	6	2	1	1	5	0	2	0	0	1	0	1	0	0	10	0	0	1	0	3	4	0	0	0	0	0	1	0	1	0	1	0	3	1	0	1	0					
		0.95%	1.17%	2.89%	1.24%	0.82%	1.29%	2.20%	0.24%	0.0%	0.57%	0.0%	0.0%	1.80%	0.49%	0.0%	0.53%	0.58%	1.11%	1.79%	0.84%	0.43%	1.11%	1.66%	0.0%	0.33%	0.0%	0.0%	0.34%	0.0%	1.0%	0.0%	0.0%	2.40%	0.0%	0.0%	0.26%	0.0%	2.12%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	1.31%	0.0%	1.0%	0.0%	2.29%	0.92%	0.0%	1.07%	0.0%					
22	"5. ""За Русь Святую"""	48	6	2	0	0	1	3	2	0	2	3	0	0	1	0	0	1	2	1	0	0	0	1	0	2	1	0	0	0	1	1	0	2	2	0	1	0	1	4	0	0	0	0	0	3	0	0	0	0	3	1	0	0	0	1					
		0.33%	0.54%	0.23%	0.0%	0.0%	0.32%	0.41%	0.24%	0.0%	0.38%	1.15%	0.0%	0.0%	0.49%	0.0%	0.0%	0.29%	0.44%	0.29%	0.0%	0.0%	0.0%	0.33%	0.0%	0.33%	0.55%	0.0%	0.0%	0.0%	1.0%	1.28%	0.0%	0.48%	1.48%	0.0%	0.26%	0.0%	0.70%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	5.76%	0.76%	0.0%	0.0%	0.0%	3.03%					
23	"6. ""Объединенная Российская партия ""Русь"""	28	5	0	2	0	0	3	1	0	1	0	0	0	2	0	1	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0					
		0.19%	0.45%	0.0%	0.35%	0.0%	0.0%	0.41%	0.12%	0.0%	0.19%	0.0%	0.0%	0.0%	0.98%	0.0%	0.53%	0.0%	0.66%	0.0%	0.0%	0.43%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	56	4	10	2	8	0	3	4	0	0	0	0	2	1	0	0	2	2	1	0	0	2	2	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	2	1	0	1	1	0	0	0	2	0	0	0	0	0	0					
		0.39%	0.36%	1.15%	0.35%	1.31%	0.0%	0.41%	0.48%	0.0%	0.0%	0.0%	0.0%	0.60%	0.49%	0.0%	0.0%	0.58%	0.44%	0.29%	0.0%	0.0%	2.22%	0.66%	0.0%	0.16%	0.0%	0.0%	0.34%	0.0%	1.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.46%	0.58%	0.0%	0.72%	0.42%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	30	2	3	0	0	0	2	1	0	2	1	0	0	0	0	1	2	3	0	4	0	0	0	1	3	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.21%	0.18%	0.34%	0.0%	0.0%	0.0%	0.27%	0.12%	0.0%	0.38%	0.38%	0.0%	0.0%	0.0%	0.0%	0.53%	0.58%	0.66%	0.0%	1.68%	0.0%	0.0%	0.0%	1.81%	0.49%	0.0%	0.0%	0.34%	0.0%	1.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.26%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0					
		0.14%	0.09%	0.11%	0.0%	0.16%	0.32%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.49%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.55%	1.81%	0.0%	0.58%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.42%	0.0%	0.0%	0.34%	0.0%	1.92%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1022	49	55	22	33	11	33	35	8	69	30	14	29	29	2	3	15	47	28	16	19	4	19	14	56	13	3	32	8	9	7	7	49	15	0	31	3	6	28	9	52	6	12	2	18	7	0	18	12	1	11	12	5	5	1					
