Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135					
1	"Число избирателей, внесенных в список"	130605	1094	1111	1071	1296	1420	1886	1809	1826	2072	1372	2179	2297	2410	2088	2203	2152	2088	2632	2135	2659	2098	1997	2033	1856	1832	2062	2196	2052	1956	1974	2388	2157	1978	2018	1936	1881	712	305	1630	2086	1455	1997	1657	2689	1888	2356	2448	2216	2707	2426	2428	2689	2807	284	2153	2353	2140	2137	2165	2711	2696	2150	1071	698	341	1794	1050	1832	182	138					
2	Число полученных избирательных бюллетеней	119567	990	1015	990	1165	1335	1730	1650	1680	1880	1270	1980	2085	2225	1905	2010	1975	1905	2405	1935	2425	1890	1825	1860	1690	1680	1875	2010	1855	1785	1725	2200	1945	1785	1835	1785	1710	645	257	1495	1915	1320	1815	1515	2430	1720	2140	2325	2015	2475	2200	2210	2450	2560	257	1975	2143	1950	1945	1985	2480	2430	1900	970	612	303	1635	1450	1675	210	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	67164	483	460	401	502	587	752	883	630	788	682	1227	1323	1241	1209	1137	1287	1224	1553	1229	1538	1255	1223	1088	1052	1048	1214	1281	1241	1116	1073	1222	1236	915	1030	915	781	126	163	819	783	767	996	833	1404	794	826	1238	1210	1505	1146	1009	1449	1342	123	1139	1192	1023	1212	1161	1498	1487	1263	634	358	193	831	573	1014	103	124					
5	"Число избирательных бюллетеней, выданных вне помещения"	2745	15	15	33	16	17	37	20	24	35	24	41	55	38	34	43	33	41	42	22	31	78	41	34	30	45	66	71	41	58	50	54	51	35	64	25	26	121	1	23	163	26	31	35	28	29	78	42	31	36	28	47	37	51	4	17	21	31	31	47	45	38	52	32	22	11	35	33	54	67	13					
6	Число погашенных избирательных бюллетеней	49658	492	540	556	647	731	941	747	1026	1057	564	712	707	946	662	830	655	640	810	684	856	557	561	738	608	587	595	658	573	611	602	924	658	835	741	845	903	398	93	653	969	527	788	647	998	897	1236	1045	774	934	1026	1154	964	1167	130	819	930	896	702	777	937	905	585	304	232	99	769	844	607	40	13					
7	Число избирательных бюллетеней в переносных ящиках	2745	15	15	33	16	17	37	20	24	35	24	41	55	38	34	43	33	41	42	22	31	78	41	34	30	45	66	71	41	58	50	54	51	35	64	25	26	121	1	23	163	26	31	35	28	29	78	42	31	36	28	47	37	51	4	17	21	31	31	47	45	38	52	32	22	11	35	33	54	67	13					
8	Число бюллетеней в стационарных ящиках для голосования	67136	483	460	401	502	587	752	883	630	784	680	1226	1323	1241	1209	1137	1286	1223	1553	1229	1538	1255	1223	1088	1052	1047	1214	1281	1240	1116	1071	1222	1236	915	1030	915	781	126	163	819	783	766	995	833	1402	793	825	1238	1210	1502	1146	1008	1447	1342	123	1138	1192	1023	1212	1161	1496	1487	1263	634	358	193	831	573	1014	103	124					
9	Число недействительных избирательных бюллетеней	447	6	3	3	2	6	6	6	10	6	5	7	6	10	7	10	5	2	3	14	5	4	3	10	3	12	5	13	3	5	6	6	4	8	4	7	6	0	1	10	8	8	12	1	11	9	5	16	5	5	6	16	8	16	3	11	4	7	9	7	10	6	7	5	3	3	5	1	4	1	3					
10	Число действительных избирательных бюллетеней	69434	492	472	431	516	598	783	897	644	813	699	1260	1372	1269	1236	1170	1314	1262	1592	1237	1564	1329	1261	1112	1079	1080	1275	1339	1278	1169	1115	1270	1283	942	1090	933	801	247	163	832	938	784	1014	867	1419	813	898	1264	1236	1533	1168	1039	1476	1377	124	1144	1209	1047	1234	1201	1531	1519	1308	661	377	201	861	605	1064	169	134					
