Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Табасаранская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260					
1	"Число избирателей, внесенных в список"	28149	283	275	316	113	338	176	251	271	338	136	431	394	227	574	443	862	606	434	334	714	962	1200	403	218	382	175	251	151	374	495	347	150	418	339	178	104	1319	899	523	828	710	276	216	147	140	206	436	887	138	463	350	666	1250	213	266	1020	416	346	497	189	222	368	618	261	294	322					
2	Число полученных избирательных бюллетеней	28149	283	275	316	113	338	176	251	271	338	136	431	394	227	574	443	862	606	434	334	714	962	1200	403	218	382	175	247	151	374	495	347	150	418	339	178	104	1319	899	523	828	710	276	216	147	140	206	436	887	138	463	350	670	1250	213	266	1020	416	346	497	189	222	368	618	261	294	322					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27255	283	270	310	105	320	176	240	260	320	130	410	380	200	550	430	830	590	410	320	700	938	1170	390	200	370	172	246	140	359	480	342	145	410	330	169	102	1290	891	500	802	700	265	200	140	135	200	410	865	130	450	340	652	1220	200	260	1000	410	335	475	180	210	360	600	250	281	307					
5	"Число избирательных бюллетеней, выданных вне помещения"	529	0	1	1	6	13	0	8	7	13	4	15	8	23	16	7	20	7	18	9	4	10	15	6	15	6	0	0	9	10	8	0	3	2	4	6	0	24	0	16	22	0	7	13	5	0	3	20	9	6	7	5	0	26	10	2	6	0	6	15	6	9	3	9	7	9	10					
6	Число погашенных избирательных бюллетеней	365	0	4	5	2	5	0	3	4	5	2	6	6	4	8	6	12	9	6	5	10	14	15	7	3	6	3	1	2	5	7	5	2	6	5	3	2	5	8	7	4	10	4	3	2	5	3	6	13	2	6	5	18	4	3	4	14	6	5	7	3	3	5	9	4	4	5					
7	Число избирательных бюллетеней в переносных ящиках	529	0	1	1	6	13	0	8	7	13	4	15	8	23	16	7	20	7	18	9	4	10	15	6	15	6	0	0	9	10	8	0	3	2	4	6	0	24	0	16	22	0	7	13	5	0	3	20	9	6	7	5	0	26	10	2	6	0	6	15	6	9	3	9	7	9	10					
8	Число бюллетеней в стационарных ящиках для голосования	27255	283	270	310	105	320	176	240	260	320	130	410	380	200	550	430	830	590	410	320	700	938	1170	390	200	370	172	246	140	359	480	342	145	410	330	169	102	1290	891	500	802	700	265	200	140	135	200	410	865	130	450	340	652	1220	200	260	1000	410	335	475	180	210	360	600	250	281	307					
9	Число недействительных избирательных бюллетеней	73	0	1	0	0	1	0	0	1	2	1	2	0	1	4	1	5	3	4	0	4	5	5	0	1	0	0	0	0	4	2	2	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	2	3	0	1	0	0	0	1	0	2	1	0	1	0	0	0	4	2	0	1					
10	Число действительных избирательных бюллетеней	27711	283	270	311	111	332	176	248	266	331	133	423	388	222	562	436	845	594	424	329	700	943	1180	396	214	376	172	246	149	365	486	340	148	412	334	175	102	1314	891	514	824	698	271	212	145	135	203	428	871	136	456	345	652	1246	209	262	1004	409	341	489	186	219	363	605	255	290	316					
