Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Большекаменская городская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29811	1056	1906	2721	2669	2541	2433	2393	2728	2750	3010	2546	1744	1314									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28850	950	1400	2700	2600	2500	2400	2400	2700	2700	3000	2500	1700	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11184	240	1027	1086	1069	936	964	881	1079	1160	985	784	485	488									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	309	26	5	18	89	33	26	22	24	9	19	14	7	17									
6	Число погашенных избирательных бюллетеней	17357	684	368	1596	1442	1531	1410	1497	1597	1531	1996	1702	1208	795									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	309	26	5	18	89	33	26	22	24	9	19	14	7	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11176	240	1025	1086	1065	934	964	881	1079	1160	985	784	485	488									
9	Число недействительных избирательных бюллетеней	466	11	39	38	40	31	42	29	60	47	48	35	20	26									
10	Число действительных избирательных бюллетеней	11019	255	991	1066	1114	936	948	874	1043	1122	956	763	472	479									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	770	40	60	60	60	70	60	60	80	80	60	60	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	148	3	9	12	8	22	17	16	15	16	12	8	6	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	5	9	3	11	2	6	8	10	4	10	12	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	622	37	51	48	52	48	43	44	65	64	48	52	34	36									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	3	3	2	3	2	2	3	1	4	2	4	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	188	5	17	18	12	26	20	14	19	19	14	9	3	12									
		1.64%	1.88%	1.65%	1.63%	1.04%	2.69%	2.02%	1.55%	1.72%	1.63%	1.39%	1.13%	0.61%	2.38%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	461	17	36	45	59	48	44	27	46	40	36	37	13	13									
		4.01%	6.39%	3.50%	4.08%	5.11%	4.96%	4.44%	2.99%	4.17%	3.42%	3.59%	4.64%	2.64%	2.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	510	9	33	50	36	41	52	47	74	49	38	40	23	18									
		4.44%	3.38%	3.20%	4.53%	3.12%	4.24%	5.25%	5.20%	6.71%	4.19%	3.78%	5.01%	4.67%	3.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3396	83	344	324	340	263	302	271	314	312	282	240	154	167									
		29.57%	31.20%	33.40%	29.35%	29.46%	27.20%	30.51%	30.01%	28.47%	26.69%	28.09%	30.08%	31.30%	33.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	84	0	8	10	9	9	7	7	7	10	8	5	2	2									
		0.73%	0.00%	0.78%	0.91%	0.78%	0.93%	0.71%	0.78%	0.63%	0.86%	0.80%	0.63%	0.41%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	3	1	0	0	2	2	2	0	2	0	1	1									
		0.12%	0.00%	0.29%	0.09%	0.00%	0.00%	0.20%	0.22%	0.18%	0.00%	0.20%	0.00%	0.20%	0.20%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2570	69	263	235	258	206	223	182	215	251	234	198	129	107									
		22.38%	25.94%	25.53%	21.29%	22.36%	21.30%	22.53%	20.16%	19.49%	21.47%	23.31%	24.81%	26.22%	21.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	91	3	3	6	13	1	6	5	15	14	6	6	5	8									
		0.79%	1.13%	0.29%	0.54%	1.13%	0.10%	0.61%	0.55%	1.36%	1.20%	0.60%	0.75%	1.02%	1.58%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	159	4	15	14	20	14	15	15	13	12	13	7	3	14									
		1.38%	1.50%	1.46%	1.27%	1.73%	1.45%	1.52%	1.66%	1.18%	1.03%	1.29%	0.88%	0.61%	2.77%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	0	3	1	3	1	0	3	5	3	2	2	4	0									
		0.24%	0.00%	0.29%	0.09%	0.26%	0.10%	0.00%	0.33%	0.45%	0.26%	0.20%	0.25%	0.81%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	162	0	13	10	28	17	19	11	16	14	16	3	9	6									
		1.41%	0.00%	1.26%	0.91%	2.43%	1.76%	1.92%	1.22%	1.45%	1.20%	1.59%	0.38%	1.83%	1.19%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2604	49	194	257	265	264	195	219	245	307	232	167	101	109									
		22.67%	18.42%	18.83%	23.28%	22.96%	27.30%	19.70%	24.25%	22.21%	26.26%	23.11%	20.93%	20.53%	21.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	52	0	7	2	7	3	4	5	5	7	5	3	1	3									
		0.45%	0.00%	0.68%	0.18%	0.61%	0.31%	0.40%	0.55%	0.45%	0.60%	0.50%	0.38%	0.20%	0.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	701	16	52	93	64	43	59	66	67	84	68	46	24	19									
		6.10%	6.02%	5.05%	8.42%	5.55%	4.45%	5.96%	7.31%	6.07%	7.19%	6.77%	5.76%	4.88%	3.76%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
