Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Пачелмская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12804	1945	1812	630	1648	582	290	421	100	95	339	993	935	310	109	85	283	286	480	504	198	339	136	284									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12881	1956	1835	628	1660	578	291	423	99	98	346	990	934	309	109	85	286	293	489	501	194	339	142	296									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8149	1419	925	317	866	332	231	337	66	73	200	670	778	210	79	73	204	209	221	220	151	298	103	167									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1129	49	178	54	48	39	18	54	21	13	84	59	9	69	19	6	48	61	132	66	17	13	19	53									
6	Число погашенных избирательных бюллетеней	3603	488	732	257	746	207	42	32	12	12	62	261	147	30	11	6	34	23	136	215	26	28	20	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1129	49	178	54	48	39	18	54	21	13	84	59	9	69	19	6	48	61	132	66	17	13	19	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8148	1418	925	317	866	332	231	337	66	73	200	670	778	210	79	73	204	209	221	220	151	298	103	167									
9	Число недействительных избирательных бюллетеней	107	20	12	9	18	7	1	1	0	0	1	7	3	2	2	0	3	0	5	3	0	10	0	3									
10	Число действительных избирательных бюллетеней	9170	1447	1091	362	896	364	248	390	87	86	283	722	784	277	96	79	249	270	348	283	168	301	122	217									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	206	25	25	20	25	10	5	3	3	3	5	10	10	5	3	3	5	10	13	5	3	3	6	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	112	12	25	18	11	6	0	2	0	3	5	1	0	0	0	0	0	9	13	0	0	0	6	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	10	2	11	1	1	2	3	2	1	2	7	3	5	2	2	3	3	3	2	5	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	94	13	0	2	14	4	5	1	3	0	0	9	10	5	3	3	5	1	0	5	3	3	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	6	7	1	7	1	1	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	44	1	14	3	2	1	0	2	0	0	2	4	2	1	0	0	2	0	1	4	2	1	0	2									
		0.47%	0.07%	1.27%	0.81%	0.22%	0.27%	0.00%	0.51%	0.00%	0.00%	0.70%	0.55%	0.25%	0.36%	0.00%	0.00%	0.79%	0.00%	0.28%	1.40%	1.19%	0.32%	0.00%	0.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	205	25	31	11	26	11	2	13	3	1	5	16	13	4	0	1	12	0	17	5	1	3	0	5									
		2.21%	1.70%	2.81%	2.96%	2.84%	2.96%	0.80%	3.32%	3.45%	1.16%	1.76%	2.19%	1.65%	1.43%	0.00%	1.27%	4.76%	0.00%	4.82%	1.75%	0.60%	0.96%	0.00%	2.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	147	15	28	8	16	4	5	16	0	0	8	11	2	4	0	0	1	2	10	12	0	1	1	3									
		1.58%	1.02%	2.54%	2.16%	1.75%	1.08%	2.01%	4.09%	0.00%	0.00%	2.82%	1.51%	0.25%	1.43%	0.00%	0.00%	0.40%	0.74%	2.83%	4.20%	0.00%	0.32%	0.82%	1.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6242	1061	628	159	571	235	179	218	63	59	216	474	662	218	77	66	181	207	197	163	97	256	102	153									
		67.28%	72.32%	56.94%	42.86%	62.47%	63.34%	71.89%	55.75%	72.41%	68.60%	76.06%	65.02%	84.12%	78.14%	78.57%	83.54%	71.83%	76.67%	55.81%	56.99%	57.74%	82.32%	83.61%	69.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	4	0	3	7	1	1	2	0	1	0	2	0	0	0	0	0	2	2	3	0	1	0	0									
		0.31%	0.27%	0.00%	0.81%	0.77%	0.27%	0.40%	0.51%	0.00%	1.16%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.57%	1.05%	0.00%	0.32%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	1	0	1	2	1	0	2	0	0	0	1	2	1	0	1	1	0	1	0	2	0	0	0									
		0.17%	0.07%	0.00%	0.27%	0.22%	0.27%	0.00%	0.51%	0.00%	0.00%	0.00%	0.14%	0.25%	0.36%	0.00%	1.27%	0.40%	0.00%	0.28%	0.00%	1.19%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1153	171	166	80	121	53	39	70	12	14	17	106	20	17	15	6	24	22	53	50	41	22	15	19									
		12.43%	11.66%	15.05%	21.56%	13.24%	14.29%	15.66%	17.90%	13.79%	16.28%	5.99%	14.54%	2.54%	6.09%	15.31%	7.59%	9.52%	8.15%	15.01%	17.48%	24.40%	7.07%	12.30%	8.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	3	1	0	2	1	0	0	0	0	0	2	0	0	0	1	1	1	1	3	1	0	0	0									
		0.18%	0.20%	0.09%	0.00%	0.22%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	1.27%	0.40%	0.37%	0.28%	1.05%	0.60%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	34	6	9	6	5	0	0	1	0	1	0	2	0	0	0	0	0	2	1	0	1	0	0	0									
		0.37%	0.41%	0.82%	1.62%	0.55%	0.00%	0.00%	0.26%	0.00%	1.16%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.28%	0.00%	0.60%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0									
		0.06%	0.07%	0.09%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.13%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	10	10	2	2	0	0	5	0	0	1	0	1	1	0	0	0	2	2	3	1	0	0	0									
		0.43%	0.68%	0.91%	0.54%	0.22%	0.00%	0.00%	1.28%	0.00%	0.00%	0.35%	0.00%	0.13%	0.36%	0.00%	0.00%	0.00%	0.74%	0.57%	1.05%	0.60%	0.00%	0.00%	0.00%									
