Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Лебяжьевская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12789	348	726	489	939	959	774	630	701	353	129	527	171	244	546	181	271	90	474	104	265	585	234	205	89	291	273	381	190	123	332	377	111	315	362									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13350	350	750	510	960	980	770	635	690	380	135	560	195	270	600	190	280	95	510	110	290	600	250	215	90	320	280	390	215	135	350	400	120	325	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5274	157	281	123	291	381	241	252	267	165	59	173	113	134	204	59	170	53	210	47	117	288	147	131	63	119	120	125	100	55	109	170	76	164	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1091	12	57	40	50	27	25	15	49	48	23	18	10	28	115	38	34	7	55	9	29	58	13	27	3	32	33	21	28	18	42	40	9	30	48									
6	Число погашенных избирательных бюллетеней	6985	181	412	347	619	572	504	368	374	167	53	369	72	108	281	93	76	35	245	54	144	254	90	57	24	169	127	244	87	62	199	190	35	131	242									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1091	12	57	40	50	27	25	15	49	48	23	18	10	28	115	38	34	7	55	9	29	58	13	27	3	32	33	21	28	18	42	40	9	30	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5274	157	281	123	291	381	241	252	267	165	59	173	113	134	204	59	170	53	210	47	117	288	147	131	63	119	120	125	100	55	109	170	76	164	110									
9	Число недействительных избирательных бюллетеней	109	8	4	4	7	8	5	8	10	1	0	4	1	1	6	0	4	2	7	4	1	1	0	7	0	1	0	0	1	0	3	7	1	0	3									
10	Число действительных избирательных бюллетеней	6256	161	334	159	334	400	261	259	306	212	82	187	122	161	313	97	200	58	258	52	145	345	160	151	66	150	153	146	127	73	148	203	84	194	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	398	10	8	6	4	8	6	7	8	12	13	10	15	17	23	8	16	6	13	4	13	15	7	25	7	24	6	11	19	8	17	10	7	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	286	10	1	6	4	4	1	5	4	11	7	6	15	13	23	5	9	6	9	2	13	12	2	15	3	24	0	6	17	8	7	10	3	7	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	64	2	2	3	3	6	4	5	4	2	1	1	2	1	0	2	1	2	2	1	2	2	0	3	1	2	0	3	2	1	1	1	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	112	0	7	0	0	4	5	2	4	1	6	4	0	4	0	3	7	0	4	2	0	3	5	10	4	0	6	5	2	0	10	0	4	8	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	3	4	0	3	3	3	6	4	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0									
