Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Арская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39542	1267	1191	1290	1301	1146	1206	1113	1021	1273	1024	977	1034	1066	1031	1130	490	501	457	914	679	915	985	389	334	416	180	194	310	312	309	695	480	221	751	389	557	184	595	213	740	419	162	470	577	675	259	192	549	579	242	608	1258	467	552	246	494	321	171	786	523	360	352									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39800	1278	1200	1296	1300	1156	1212	1116	1008	1282	1028	985	1035	1076	1043	1144	494	505	457	923	684	917	993	391	336	419	183	196	313	314	311	697	484	223	757	391	560	187	603	215	749	422	164	475	584	680	260	196	548	583	247	606	1268	471	557	249	497	325	174	785	528	363	357									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37520	1175	1152	1248	1207	1112	1157	1064	975	1198	997	931	980	1043	998	1056	472	498	457	896	669	864	857	377	317	386	170	179	303	310	291	657	470	212	711	338	472	181	575	208	627	417	162	468	575	659	249	149	534	575	237	595	1111	391	489	232	470	309	165	760	516	353	314									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1502	39	21	13	68	12	25	27	26	24	7	21	33	0	14	59	12	3	0	11	7	45	113	12	15	30	10	15	7	2	18	25	10	9	38	50	83	3	10	3	109	2	0	2	2	8	8	40	14	4	5	11	135	76	59	14	19	12	6	8	7	6	35									
6	Число погашенных избирательных бюллетеней	778	64	27	35	25	32	30	25	7	60	24	33	22	33	31	29	10	4	0	16	8	8	23	2	4	3	3	2	3	2	2	15	4	2	8	3	5	3	18	4	13	3	2	5	7	13	3	7	0	4	5	0	22	4	9	3	8	4	3	17	5	4	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1502	39	21	13	68	12	25	27	26	24	7	21	33	0	14	59	12	3	0	11	7	45	113	12	15	30	10	15	7	2	18	25	10	9	38	50	83	3	10	3	109	2	0	2	2	8	8	40	14	4	5	11	135	76	59	14	19	12	6	8	7	6	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37520	1175	1152	1248	1207	1112	1157	1064	975	1198	997	931	980	1043	998	1056	472	498	457	896	669	864	857	377	317	386	170	179	303	310	291	657	470	212	711	338	472	181	575	208	627	417	162	468	575	659	249	149	534	575	237	595	1111	391	489	232	470	309	165	760	516	353	314									
9	Число недействительных избирательных бюллетеней	10	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	39012	1214	1171	1261	1275	1122	1182	1091	1001	1222	1004	952	1013	1043	1012	1115	484	501	457	903	676	909	970	389	332	416	180	194	310	312	309	682	480	221	749	388	555	184	585	211	736	419	162	470	577	667	257	189	548	579	241	606	1246	467	547	246	489	321	171	768	523	359	349									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	543	18	15	15	20	14	9	16	14	23	12	16	13	15	11	10	6	8	7	10	9	13	14	5	5	6	4	4	5	5	4	9	7	4	10	5	9	4	8	4	9	6	4	6	8	8	6	4	6	13	7	8	15	7	4	4	5	6	4	11	6	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	478	18	15	15	20	14	9	16	14	23	11	16	11	15	9	10	6	8	7	10	7	13	14	5	1	1	3	2	3	1	2	9	7	0	5	1	9	2	7	3	9	1	1	3	8	8	6	4	4	13	7	8	15	7	4	2	4	6	1	11	4	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	109	2	0	0	5	4	1	8	13	5	1	4	10	1	0	0	0	1	2	4	0	11	2	1	0	0	0	0	0	1	0	4	0	0	2	0	1	1	0	1	0	0	0	0	0	1	1	0	4	0	1	5	1	2	1	0	2	0	0	5	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	65	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	2	0	0	0	4	5	1	2	2	4	2	0	0	4	5	4	0	2	1	1	0	5	3	3	0	0	0	0	2	0	0	0	0	0	0	2	1	0	3	0	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	19	0	2	0	3	3	0	0	0	5	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.17%	0.00%	0.24%	0.27%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.20%	0.00%	0.00%	0.09%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	209	39	33	0	4	2	0	7	0	11	0	0	2	0	6	4	2	1	1	4	0	36	39	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	1	1	1	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1									
		0.54%	3.21%	2.81%	0.00%	0.31%	0.18%	0.00%	0.64%	0.00%	0.90%	0.00%	0.00%	0.20%	0.00%	0.59%	0.36%	0.41%	0.20%	0.22%	0.44%	0.00%	3.96%	4.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.32%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.54%	0.17%	0.47%	0.14%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	21	0	1	0	3	1	0	0	0	9	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.09%	0.00%	0.24%	0.09%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.10%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	37932	1129	1118	1218	1212	1092	1156	1058	972	1149	980	920	983	1011	973	1075	466	499	456	881	667	870	921	386	323	408	178	192	304	306	301	677	466	215	741	383	543	181	580	207	724	413	160	461	567	654	250	186	543	576	240	600	1206	462	522	241	486	315	170	746	518	356	339									
		97.21%	92.99%	95.31%	96.59%	95.06%	97.15%	97.80%	96.98%	97.10%	94.03%	97.61%	96.64%	97.04%	96.93%	96.15%	96.41%	96.28%	99.60%	99.78%	97.13%	98.67%	95.71%	94.95%	99.23%	97.29%	98.08%	98.89%	98.97%	98.06%	98.08%	97.41%	99.27%	97.08%	97.29%	98.93%	98.71%	97.84%	98.37%	99.15%	98.10%	98.37%	98.57%	98.77%	98.09%	98.27%	98.05%	97.28%	98.41%	99.09%	99.48%	99.17%	99.01%	96.79%	98.93%	95.26%	97.97%	99.39%	98.13%	99.42%	97.14%	99.04%	99.16%	97.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	120	5	3	1	3	5	2	1	5	12	0	2	2	0	12	10	2	0	0	2	2	1	2	1	0	1	0	0	1	1	2	0	0	1	2	2	2	2	0	1	2	2	1	2	0	4	3	2	0	0	0	0	5	1	0	0	1	3	0	3	1	1	1									
		0.31%	0.41%	0.26%	0.08%	0.24%	0.44%	0.17%	0.09%	0.50%	0.98%	0.00%	0.21%	0.20%	0.00%	1.19%	0.90%	0.41%	0.00%	0.00%	0.22%	0.30%	0.11%	0.21%	0.26%	0.00%	0.24%	0.00%	0.00%	0.32%	0.32%	0.65%	0.00%	0.00%	0.45%	0.27%	0.52%	0.36%	1.09%	0.00%	0.47%	0.27%	0.48%	0.62%	0.43%	0.00%	0.60%	1.17%	1.06%	0.00%	0.00%	0.00%	0.00%	0.40%	0.21%	0.00%	0.00%	0.20%	0.93%	0.00%	0.39%	0.19%	0.28%	0.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	0	0	0	4	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0									
