Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Тихорецкая районная																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44202	1248	1398	823	1118	1170	1256	1558	1217	1200	1230	1239	934	449	1437	1242	1181	1217	1246	1186	843	1465	1547	1006	395	1157	473	281	200	1015	1169	1158	1125	1737	486	1373	1741	2053	177	891	277	158	1126									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44912	1250	1420	840	1150	1170	1280	1570	1260	1250	1250	1280	950	450	1460	1270	1200	1240	1260	1200	860	1500	1490	1010	390	1190	470	280	210	1040	1190	1180	1180	1770	490	1400	1770	2100	177	900	270	155	1140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27552	592	787	419	428	695	701	1089	981	641	902	795	649	280	894	705	528	415	784	790	723	1148	1094	645	269	529	320	178	109	599	668	727	695	1154	358	961	1206	1375	138	639	164	98	680									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4200	173	130	152	242	62	196	152	63	206	100	137	176	43	117	154	139	145	158	93	5	152	50	132	31	70	15	24	31	141	119	129	110	74	32	67	84	100	4	49	32	14	97									
6	Число погашенных избирательных бюллетеней	13160	485	503	269	480	413	383	329	216	403	248	348	125	127	449	411	533	680	318	317	132	200	346	233	90	591	135	78	70	300	403	324	375	542	100	372	480	625	35	212	74	43	363									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4200	173	130	152	242	62	196	152	63	206	100	137	176	43	117	154	139	145	158	93	5	152	50	132	31	70	15	24	31	141	119	129	110	74	32	67	84	100	4	49	32	14	97									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27552	592	787	419	428	695	701	1089	981	641	902	795	649	280	894	705	528	415	784	790	723	1148	1094	645	269	529	320	178	109	599	668	727	695	1154	358	961	1206	1375	138	639	164	98	680									
9	Число недействительных избирательных бюллетеней	165	0	0	0	0	9	12	4	13	0	0	0	0	0	7	7	4	7	7	15	0	0	0	5	0	0	0	1	0	3	6	0	24	4	11	7	7	5	1	0	0	0	6									
10	Число действительных избирательных бюллетеней	31587	765	917	571	670	748	885	1237	1031	847	1002	932	825	323	1004	852	663	553	935	868	728	1300	1144	772	300	599	335	201	140	737	781	856	781	1224	379	1021	1283	1470	141	688	196	112	771									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	712	20	20	15	20	20	20	20	20	20	20	20	15	5	20	25	27	20	20	20	15	20	20	20	5	25	5	5	5	20	20	25	20	20	5	20	20	25	5	15	5	5	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	646	20	3	15	15	12	20	20	20	20	20	20	15	5	20	25	27	20	20	20	15	20	20	6	5	25	5	5	5	20	20	25	20	20	5	20	20	25	1	7	0	0	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	129	8	0	2	0	0	8	3	0	1	0	2	3	4	6	3	4	1	5	1	9	2	10	2	5	0	2	7	2	1	4	4	7	5	4	0	6	0	2	2	2	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	66	0	17	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	5	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	92	1	2	0	2	3	6	4	2	3	2	3	2	1	0	2	0	3	3	1	7	7	6	0	1	6	0	2	0	0	0	2	2	2	0	1	6	7	1	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
