Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Читинская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367					
1	"Число избирателей, внесенных в списки"	42060	435	133	113	933	1165	568	2690	331	107	83	111	215	960	310	354	868	344	584	163	216	1033	531	1347	361	764	287	1704	2606	562	185	498	180	1182	293	475	275	992	2451	2449	241	386	1021	2103	2001	941	1456	690	644	318	215	207	253	1251	1475					
2	"Число бюллетеней, полученных участковыми комиссиями"	40150	403	127	112	836	1080	532	2557	350	120	77	110	184	955	310	443	874	230	585	140	317	1000	553	1265	335	753	288	1540	2450	545	180	473	179	1065	266	485	285	890	2150	2215	233	377	964	2040	2000	945	1386	680	620	320	206	193	243	1214	1470					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20041	240	79	47	494	475	231	1223	156	66	57	78	158	452	197	351	345	179	245	81	132	670	279	685	195	373	114	963	991	297	84	240	131	522	165	202	134	424	1445	1107	147	314	480	772	697	327	641	293	361	153	154	148	169	428	650					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1391	1	0	4	58	77	27	71	18	12	0	7	3	20	16	3	17	27	45	37	20	42	45	55	22	24	31	44	48	43	0	27	0	23	20	26	12	18	54	27	86	0	29	27	35	15	16	34	25	23	0	11	14	24	28					
6	Число погашенных бюллетеней	18718	162	48	61	284	528	274	1263	176	42	20	25	23	483	97	89	512	24	295	22	165	288	229	525	118	356	143	533	1411	205	96	206	48	520	81	257	139	448	651	1081	0	63	455	1241	1268	603	729	353	234	144	52	34	60	762	792					
7	Число бюллетеней в переносных ящиках для голосования	1391	1	0	4	58	77	27	71	18	12	0	7	3	20	16	3	17	27	45	37	20	42	45	55	22	24	31	44	48	43	0	27	0	23	20	26	12	18	54	27	86	0	29	27	35	15	16	34	25	23	0	11	14	24	28					
8	Число бюллетеней в стационарных ящиках для голосования	19974	240	79	47	494	475	231	1223	156	66	57	78	158	452	196	351	345	179	245	81	132	670	279	628	195	373	114	963	991	297	84	240	131	522	165	202	134	424	1440	1106	147	314	481	772	695	327	639	293	361	153	154	148	169	428	650					
9	Число недействительных бюллетеней	306	4	0	0	4	6	5	7	1	0	1	0	3	7	12	0	3	12	2	0	5	4	2	5	7	8	2	13	7	7	1	10	3	14	0	7	1	6	15	12	2	3	10	17	10	7	14	8	10	5	0	5	3	6	10					
10	Число действительных бюллетеней	21059	237	79	51	548	546	253	1287	173	78	56	85	158	465	200	354	359	194	288	118	147	708	322	678	210	389	143	994	1032	333	83	257	128	531	185	221	145	436	1479	1121	231	311	500	782	720	335	641	319	376	171	154	154	180	446	668					
