Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Нижнетуринская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №2630									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22558	1336	1629	877	2490	2093	1819	2051	1637	2306	692	1759	961	350	497	280	207	117	223	1234									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22150	1350	1600	850	2500	2100	1750	2050	1650	2300	700	1750	900	300	450	250	200	100	200	1150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8200	390	565	325	992	888	733	851	530	899	174	443	362	92	155	101	68	59	99	474									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	331	11	7	6	18	20	55	11	14	17	8	32	38	31	3	6	1	3	8	42									
6	Число погашенных избирательных бюллетеней	13619	949	1028	519	1490	1192	962	1188	1106	1384	518	1275	500	177	292	143	131	38	93	634									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	331	11	7	6	18	20	55	11	14	17	8	32	38	31	3	6	1	3	8	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8199	390	565	325	992	888	732	851	530	899	174	443	362	92	155	101	68	59	99	474									
9	Число недействительных избирательных бюллетеней	273	12	16	7	26	35	35	31	26	18	6	10	15	6	8	4	0	1	4	13									
10	Число действительных избирательных бюллетеней	8257	389	556	324	984	873	752	831	518	898	176	465	385	117	150	103	69	61	103	503									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	530	20	20	20	45	45	45	45	45	40	20	30	20	20	15	15	15	15	15	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	105	4	5	7	17	13	12	8	6	21	0	1	0	0	0	1	0	2	1	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	0	17	12	11	6	16	11	1	8	0	6	0	8	1	1	4	3	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	425	16	15	13	28	32	33	37	39	19	20	29	20	20	15	14	15	13	14	33									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	4	0	1	5	5	2	3	1	6	0	0	0	1	0	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	111	2	9	5	8	8	9	8	12	6	2	11	12	2	0	4	1	2	0	10									
		1.30%	0.50%	1.57%	1.51%	0.79%	0.88%	1.14%	0.93%	2.21%	0.66%	1.10%	2.32%	3.00%	1.63%	0.00%	3.74%	1.45%	3.23%	0.00%	1.94%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	214	6	9	7	21	25	15	22	12	23	9	18	13	4	6	5	2	4	1	12									
		2.51%	1.50%	1.57%	2.11%	2.08%	2.75%	1.91%	2.55%	2.21%	2.51%	4.95%	3.79%	3.25%	3.25%	3.80%	4.67%	2.90%	6.45%	0.93%	2.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	278	9	25	7	27	25	28	31	13	39	6	20	28	0	4	2	0	0	2	12									
		3.26%	2.24%	4.37%	2.11%	2.67%	2.75%	3.56%	3.60%	2.39%	4.26%	3.30%	4.21%	7.00%	0.00%	2.53%	1.87%	0.00%	0.00%	1.87%	2.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3311	175	211	149	393	364	303	302	198	373	64	188	133	51	82	30	35	27	50	183									
		38.82%	43.64%	36.89%	45.02%	38.91%	40.09%	38.50%	35.03%	36.40%	40.72%	35.16%	39.58%	33.25%	41.46%	51.90%	28.04%	50.72%	43.55%	46.73%	35.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	74	1	10	6	6	9	4	7	5	9	1	3	3	3	1	0	1	0	1	4									
