Выборы Президента Российской Федерации																																															
Дата голосования: 02.03.2008																																															
																																															
Наименование Избирательной комиссии:    Новоуренгойская городская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
	Число участковых избирательных комиссий	40																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																													
																																															
		Сумма	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105					
1	"Число избирателей, включенных в списки избирателей"	65023	1289	355	270	1377	2209	1750	2092	2045	322	1599	2095	2252	1970	1405	2037	2669	439	213	608	1440	1403	2283	2427	2470	1950	2146	2461	2223	2164	2467	2542	2073	2414	1027	1821	731	338	1219	1474	954					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	68726	1310	353	270	1419	2439	1856	2172	2123	338	1626	2200	2470	2054	1441	2077	2642	439	233	714	1513	1493	2375	2543	2567	2031	2296	2600	2348	2403	2553	2722	2277	2493	1030	1886	884	344	1421	1779	992					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	58994	1121	353	190	1235	2050	1656	1864	1725	276	1351	1805	2017	1760	1248	1949	2548	419	186	592	1360	1279	2232	2183	2180	1747	1865	2060	2014	1925	2204	2257	1896	2244	925	1745	731	322	1172	1364	944					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	271	5	0	80	5	5	2	2	2	3	5	7	8	9	3	16	6	0	1	2	11	18	6	2	1	7	11	5	5	7	1	5	2	8	3	0	0	0	13	5	0					
6	Число погашенных избирательных бюллетеней	9461	184	0	0	179	384	198	306	396	59	270	388	445	285	190	112	88	20	46	120	142	196	137	358	386	277	420	535	329	471	348	460	379	241	102	141	153	22	236	410	48					
