Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Калманская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11750	502	833	581	865	184	868	1112	350	316	157	823	131	432	421	77	118	509	970	1191	744	566									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11720	490	830	580	850	180	860	1130	350	310	150	810	130	440	420	70	120	500	990	1200	750	560									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3697	153	244	141	261	99	223	325	69	91	71	287	44	129	156	31	54	165	367	377	231	179									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	258	21	14	8	19	10	17	9	5	14	2	15	10	6	14	3	11	16	13	20	19	12									
6	Число погашенных избирательных бюллетеней	7765	316	572	431	570	71	620	796	276	205	77	508	76	305	250	36	55	319	610	803	500	369									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	258	21	14	8	19	10	17	9	5	14	2	15	10	6	14	3	11	16	13	20	19	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3697	153	244	141	261	99	223	325	69	91	71	287	44	129	156	31	54	165	367	377	231	179									
9	Число недействительных избирательных бюллетеней	131	10	2	5	13	0	7	10	3	0	0	15	1	3	9	1	6	4	15	16	5	6									
10	Число действительных избирательных бюллетеней	3824	164	256	144	267	109	233	324	71	105	73	287	53	132	161	33	59	177	365	381	245	185									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	89	4	5	4	5	3	5	8	2	2	2	5	3	4	5	2	2	2	7	7	7	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	41	0	1	3	0	0	1	8	0	2	2	2	0	4	0	0	2	0	6	6	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	5	5	3	4	0	6	4	0	6	2	6	1	0	3	1	2	3	6	3	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	48	4	4	1	5	3	4	0	2	0	0	3	3	0	5	2	0	2	1	1	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
