Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																				
Дата голосования: 04.12.2011																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №11																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421					
1	"Число избирателей, внесенных в список избирателей"	215336	1930	2333	2964	2144	2698	1940	2406	2166	3034	2188	2453	2578	2198	2553	2552	2880	2406	2243	2879	2210	2074	1957	2389	2369	1362	2362	2239	2497	2804	2369	2228	2049	1991	1909	2922	2004	1927	2535	2737	2691	2223	1833	1941	2430	1933	2670	2807	2091	2241	2406	1897	2158	2243	2064	2345	2276	2456	2062	2203	2635	2857	2911	2166	2172	2818	2257	2137	2443	2182	2152	2546	2573	2120	2540	2089	1866	2014	2286	1910	2103	1889	2072	2769	2128	1928	2044	2629	2597	2504	2869	2200	2483	1998					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	176400	1500	2000	3000	2000	2000	1500	2000	2000	2000	2000	2000	1900	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	2000	1500	1500	2000	2000	2000	2000	1500	1500	2000	1500	2000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	1500	2000	2000	1500	1500	2000	1500	1500	1500	2000	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	114280	1177	1119	2553	1475	1753	994	1469	1128	1692	1454	1348	1044	1377	1561	1512	1393	1553	1460	1819	1261	1093	1071	1271	1259	1332	1200	1135	1250	1310	1126	1034	1022	958	1203	1289	1107	979	1241	1292	1273	1070	876	920	1229	908	1315	1397	1153	1425	1090	930	1219	1287	1318	1110	1154	1182	1107	1035	1212	1653	1518	1086	1157	1646	1311	1213	1067	1027	1347	1467	1056	892	1141	1044	892	921	1098	964	974	1035	1220	1363	1058	977	1256	1192	1141	1238	1553	1106	1143	1000					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4126	20	2	7	14	19	204	17	21	65	50	30	808	21	32	19	7	13	14	22	570	19	11	13	18	30	35	17	26	39	12	20	16	27	92	31	17	19	20	21	21	20	16	21	23	12	34	37	37	88	67	29	18	9	62	41	25	23	28	8	27	46	18	14	15	17	11	18	24	10	21	8	56	77	219	23	13	21	31	63	74	18	10	10	25	14	53	6	39	18	17	13	24	16					
6	Число погашенных избирательных бюллетеней	57848	303	879	440	511	228	302	514	851	243	496	622	48	602	407	469	600	434	526	159	169	388	418	716	723	638	765	848	724	651	862	946	962	515	205	680	305	502	739	687	706	910	537	559	748	580	651	566	810	487	843	541	763	704	620	849	821	795	865	957	761	301	464	900	828	337	678	269	909	963	632	525	885	531	640	933	595	558	871	473	451	447	770	627	917	509	691	802	820	744	430	881	833	484					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4122	20	2	7	14	19	203	17	21	65	50	30	808	21	32	16	7	13	14	22	570	19	11	13	18	30	35	17	26	39	12	20	16	27	92	31	17	19	20	21	21	20	16	21	23	12	34	37	37	88	67	29	18	9	62	41	25	23	28	8	27	46	18	14	15	17	11	18	24	10	21	8	56	77	219	23	13	21	31	63	74	18	10	10	25	14	53	6	39	18	17	13	24	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	111536	1172	1111	2446	1386	1509	994	1466	1123	1682	1454	1343	1044	1341	1477	1330	1393	1553	1370	1533	1261	1042	1003	1184	1249	1328	1194	1115	1228	1306	1124	1028	1004	954	1203	1286	1090	977	1239	1280	1268	1068	875	889	1226	908	1312	1397	1153	1381	1090	929	1201	1218	1318	1106	1154	1182	1104	1035	1212	1526	1476	1086	1154	1524	1175	1006	1063	1025	1325	1372	1056	858	1138	1039	891	918	1098	964	968	1032	1138	1352	1058	975	1196	1192	1126	1212	1526	1103	1120	996					
9	Число недействительных избирательных бюллетеней	1631	4	14	6	4	5	1	14	20	23	6	29	2	37	4	26	8	12	13	9	14	16	3	2	20	14	18	15	148	12	15	11	13	18	18	15	25	13	10	12	10	16	11	44	16	18	9	10	7	21	20	12	8	15	19	18	16	17	19	16	20	65	26	24	15	15	22	6	11	18	25	39	17	12	22	12	19	18	20	18	15	14	11	21	14	15	17	23	0	25	59	10	2	10					
10	Число действительных избирательных бюллетеней	114027	1188	1099	2447	1396	1523	1196	1469	1124	1724	1498	1344	1850	1325	1505	1320	1392	1554	1371	1546	1817	1045	1011	1195	1247	1344	1211	1117	1106	1333	1121	1037	1007	963	1277	1302	1082	983	1249	1289	1279	1072	880	866	1233	902	1337	1424	1183	1448	1137	946	1211	1212	1361	1129	1163	1188	1113	1027	1219	1507	1468	1076	1154	1526	1164	1018	1076	1017	1321	1341	1095	923	1335	1050	885	921	1109	1009	1027	1036	1137	1341	1069	974	1232	1175	1165	1205	1484	1106	1142	1002					
