Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Аткарская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31125	1302	1330	1305	1302	1332	1273	1227	1428	1238	1299	1173	1305	1407	1373	1123	387	784	378	273	676	370	873	589	451	391	362	276	408	304	997	978	421	307	321	338	224	846	455	299									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32000	1367	1280	1336	1295	1336	1304	1400	1436	1269	1250	1300	1400	1500	1431	1156	331	800	389	282	695	376	907	595	457	401	371	284	422	310	1021	998	439	327	329	339	225	879	471	292									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16960	981	619	733	635	379	469	484	417	514	496	436	517	692	633	543	279	482	328	229	540	164	764	401	288	299	179	196	317	257	638	682	321	247	270	164	176	623	341	227									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3299	66	372	56	123	65	60	69	51	43	157	78	74	64	72	193	51	183	31	27	80	132	42	33	42	54	122	52	42	26	242	121	78	35	22	16	15	207	70	33									
6	Число погашенных избирательных бюллетеней	11741	320	289	547	537	892	775	847	968	712	597	786	809	744	726	420	1	135	30	26	75	80	101	161	127	48	70	36	63	27	141	195	40	45	37	159	34	49	60	32									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3299	66	372	56	123	65	60	69	51	43	157	78	74	64	72	193	51	183	31	27	80	132	42	33	42	54	122	52	42	26	242	121	78	35	22	16	15	207	70	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16886	981	619	733	635	379	469	484	417	514	496	436	443	692	633	543	279	482	328	229	540	164	764	401	288	299	179	196	317	257	638	682	321	247	270	164	176	623	341	227									
9	Число недействительных избирательных бюллетеней	161	4	10	7	7	6	9	3	7	0	8	11	13	14	5	5	0	6	1	1	7	1	2	2	4	1	0	0	2	0	2	8	0	0	0	7	2	4	2	0									
10	Число действительных избирательных бюллетеней	20024	1043	981	782	751	438	520	550	461	557	645	503	504	742	700	731	330	659	358	255	613	295	804	432	326	352	301	248	357	283	878	795	399	282	292	173	189	826	409	260									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	902	52	39	41	39	42	40	39	44	39	43	38	42	45	43	36	7	10	10	8	12	7	25	10	10	10	10	10	10	10	15	15	15	15	10	8	8	25	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	749	52	20	15	27	15	11	39	19	34	43	38	42	45	33	36	7	10	10	8	12	7	25	10	10	10	10	10	10	10	15	15	15	15	10	8	8	25	15	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	266	4	11	2	6	23	6	13	6	14	13	7	17	7	6	10	61	2	3	2	4	3	3	4	3	2	2	1	2	3	3	1	1	2	4	2	4	0	5	4									
