Выборы Президента Российской Федерации																																																																																																																																													
																																																																																																																																													
"Наименование Избирательной комиссии:    Тольятти, Автозаводская"																																																																																																																																													
																																																																																																																																													
Итоги голосования 																																																																																																																																													
																																																																																																																																													
		Сумма	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640					
1	"Число избирателей, внесенных в список"	331799	2750	2806	2444	2792	2694	2474	2507	2501	2660	2186	2408	2266	2313	2024	2489	2330	2830	2838	2685	2308	2268	2286	2578	2125	1943	2222	1773	2051	689	2288	2434	1780	1345	2392	2691	2708	2254	2242	2308	2192	2223	2332	1930	2019	2348	2865	2837	2804	2113	2527	2547	2625	2157	2930	2874	3158	3044	2635	2834	2471	2775	2727	2650	2799	2528	2692	2848	2670	1972	2373	2326	2363	2463	2010	2524	2029	2111	2143	2278	2563	2391	2311	3026	2854	2855	2549	2674	2646	2714	2659	2461	2855	2632	2271	3040	2943	2771	3050	2792	2515	2839	2699	2977	3049	2857	2529	2980	2628	2398	2089	3063	2546	2780	2020	2849	2862	3009	2346	3116	3038	2422	2497	2369	3143	3045	3045	3117	3027	2235	443	123	282	2439	1938					
2	Число полученных избирательных бюллетеней	318795	2700	2700	2300	2700	2600	2400	2400	2600	2600	2100	2300	2200	2200	1900	2400	2300	2700	2800	2600	2200	2200	2200	2500	2000	1800	2100	1700	2000	680	2000	2300	1700	1300	2300	2600	2600	2200	2200	2200	2100	2100	2200	1800	1900	2300	2800	2800	2700	2100	2400	2500	2500	2100	2800	2800	2900	2900	2500	2700	2400	2700	2600	2600	2700	2400	2600	2700	2600	1900	2300	2200	2300	2400	1900	2400	1900	2000	2100	2200	2500	2300	2200	2900	2700	2800	2600	2600	2600	2600	2500	2400	2800	2500	2200	2900	2900	2700	2900	2700	2500	2700	2500	2900	2900	2800	2500	2900	2500	2300	2000	2900	2500	2700	1900	2700	2800	2900	2300	2900	2900	2300	2400	2200	2900	2900	2900	2900	2900	2100	420	113	282	2300	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	180503	1492	1613	1320	1417	1334	1427	1265	1342	1526	1238	1415	1204	1363	1037	1348	1339	1617	1575	1432	1242	1208	1271	1345	833	789	816	753	768	312	1299	1380	1037	746	1381	1654	1404	1250	1277	1292	1253	1258	1291	1158	1175	1304	1625	1594	1497	1139	1309	1394	1386	1124	1610	1482	1671	1733	1396	1487	1370	1397	1484	1844	1640	1280	1450	1604	1520	954	1336	1279	1324	1368	1093	1461	1307	1234	1222	1317	1507	1426	1381	1478	1676	1637	1248	1483	1410	1382	1482	1418	1655	1456	1268	1643	1541	1458	1662	1488	1351	1461	1489	1627	1683	1523	1310	1470	1368	1299	1163	1680	1373	1510	1052	1551	1577	1641	1231	1851	1483	1288	1324	1367	1851	1636	1544	1650	1503	1265	202	109	282	1182	1177					
5	"Число избирательных бюллетеней, выданных вне помещения"	1730	15	9	32	24	11	18	15	9	14	18	15	16	25	20	9	8	17	21	14	24	8	23	31	0	0	0	0	0	0	96	26	12	16	32	19	25	17	20	29	14	14	15	13	11	9	14	11	27	8	18	14	18	16	15	17	16	8	12	13	22	19	8	37	7	23	8	17	15	6	12	10	16	14	13	20	9	23	5	7	18	16	14	4	11	8	6	7	17	11	9	11	14	12	16	9	8	6	8	0	2	5	8	8	9	7	9	6	15	9	10	2	4	14	7	4	5	11	15	12	7	14	10	11	14	4	6	4	8	8	0	0	0	14	1					
6	Число погашенных избирательных бюллетеней	136561	1193	1078	948	1259	1255	955	1120	1249	1060	844	870	980	812	843	1043	953	1066	1204	1154	934	984	906	1124	1167	1011	1284	947	1232	368	605	894	651	538	887	927	1171	933	903	879	833	828	894	629	714	987	1161	1195	1176	953	1073	1092	1096	960	1175	1301	1213	1159	1092	1200	1008	1284	1108	719	1053	1097	1142	1079	1065	940	952	911	960	1018	794	919	584	743	873	876	975	858	805	1418	1013	1155	1346	1110	1173	1207	1009	971	1131	1032	916	1248	1351	1236	1230	1212	1147	1234	1003	1265	1208	1270	1181	1424	1117	992	827	1218	1123	1176	841	1145	1218	1248	1054	1037	1410	998	1066	822	1035	1259	1350	1246	1389	827	218	4	0	1104	622					
7	Число избирательных бюллетеней в переносных ящиках	1730	15	9	32	24	11	18	15	9	14	18	15	16	25	20	9	8	17	20	14	24	8	23	31	0	0	0	0	0	0	96	26	12	16	32	19	25	17	20	29	14	14	15	13	11	9	14	11	27	8	18	14	18	16	15	17	16	8	12	13	22	19	8	37	7	23	8	17	15	6	12	10	16	14	13	20	9	23	5	7	18	16	14	4	11	8	6	7	17	11	9	11	14	12	16	9	8	6	8	0	2	5	8	8	9	7	9	6	15	9	10	2	4	14	7	4	5	11	15	12	8	14	10	11	14	4	6	4	8	8	0	0	0	14	1					
8	Число бюллетеней в стационарных ящиках для голосования	180227	1491	1610	1320	1417	1330	1424	1264	1342	1525	1236	1415	1203	1362	1033	1348	1339	1617	1561	1429	1242	1208	1271	1342	833	787	813	753	767	312	1292	1380	1037	746	1381	1654	1404	1247	1277	1292	1253	1255	1291	1156	1171	1304	1625	1593	1497	1131	1309	1394	1368	1124	1610	1482	1671	1711	1396	1483	1369	1387	1484	1844	1618	1279	1437	1603	1519	954	1335	1279	1323	1366	1093	1458	1305	1211	1221	1316	1507	1419	1381	1477	1675	1635	1248	1483	1410	1381	1482	1416	1655	1450	1268	1640	1541	1455	1661	1488	1349	1456	1489	1627	1682	1523	1310	1470	1368	1296	1163	1677	1373	1509	1051	1546	1572	1641	1231	1851	1475	1288	1324	1363	1851	1635	1544	1650	1500	1265	202	109	282	1180	1174					
9	Число недействительных избирательных бюллетеней	1479	12	20	8	11	9	4	6	7	15	4	9	19	13	9	25	9	12	6	9	10	12	4	9	14	10	15	16	8	6	8	9	10	5	11	12	10	5	10	8	17	17	12	6	7	9	20	17	4	10	0	13	15	16	9	14	9	18	12	10	8	16	10	1	14	7	16	12	14	8	13	14	17	14	7	12	2	11	8	12	7	7	17	20	10	21	17	7	16	17	14	19	0	6	25	17	10	11	9	7	11	10	9	11	12	17	11	12	12	7	6	5	8	10	7	8	1	20	16	21	24	15	9	10	17	14	18	13	17	5	3	0	0	7	6					
10	Число действительных избирательных бюллетеней	180478	1494	1599	1344	1430	1332	1438	1273	1344	1524	1250	1421	1200	1374	1044	1332	1338	1622	1575	1434	1256	1204	1290	1364	819	777	798	737	759	306	1380	1397	1039	757	1402	1661	1419	1259	1287	1313	1250	1252	1294	1163	1175	1304	1619	1587	1520	1129	1327	1395	1371	1124	1616	1485	1678	1701	1396	1486	1383	1390	1482	1880	1611	1295	1429	1608	1520	952	1334	1275	1322	1366	1099	1466	1312	1223	1218	1311	1518	1428	1378	1461	1676	1622	1237	1483	1411	1375	1477	1408	1669	1456	1259	1632	1539	1450	1660	1481	1340	1451	1488	1624	1679	1513	1308	1464	1371	1298	1167	1674	1369	1513	1051	1542	1576	1632	1230	1842	1459	1287	1325	1364	1848	1625	1532	1641	1491	1268	199	109	282	1187	1169					
