Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Муромцевская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097					
1	"Число избирателей, внесенных в списки избирателей"	20290	876	332	435	419	55	196	221	592	386	216	284	89	326	38	917	181	420	172	33	75	54	566	151	38	463	312	38	146	554	212	77	158	194	81	67	324	53	110	117	112	227	99	2085	1846	1095	1155	492	1368	1462	190	181					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20707	913	324	459	431	64	189	213	621	383	215	295	90	320	39	954	176	418	169	35	77	58	583	159	40	472	418	39	145	594	215	79	161	209	82	72	322	55	114	112	113	227	109	2154	1768	1097	1194	485	1406	1460	190	190					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13836	624	239	342	321	50	172	170	429	272	184	251	77	198	30	717	155	330	125	33	64	50	378	125	35	360	278	38	114	361	193	67	128	169	73	61	245	37	67	100	100	171	82	1273	1057	640	663	260	747	909	127	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1313	120	41	20	20	0	0	13	51	48	9	20	5	69	6	70	15	21	28	0	8	3	55	2	0	37	32	0	11	36	0	0	0	17	7	5	20	7	10	0	0	24	0	106	81	62	70	17	34	101	12	0					
6	Число погашенных избирательных бюллетеней	5558	169	44	97	90	14	17	30	141	63	22	24	8	53	3	167	6	67	16	2	5	5	150	32	5	75	108	1	20	197	22	12	33	23	2	6	57	11	37	12	13	32	27	775	630	395	461	208	625	450	51	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1313	120	41	20	20	0	0	13	51	48	9	20	5	69	6	70	15	21	28	0	8	3	55	2	0	37	32	0	11	36	0	0	0	17	7	5	20	7	10	0	0	24	0	106	81	62	70	17	34	101	12	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13836	624	239	342	321	50	172	170	429	272	184	251	77	198	30	717	155	330	125	33	64	50	378	125	35	360	278	38	114	361	193	67	128	169	73	61	245	37	67	100	100	171	82	1273	1057	640	663	260	747	909	127	145					
9	Число недействительных избирательных бюллетеней	253	9	3	9	2	0	2	1	5	12	9	1	3	5	0	22	3	3	4	0	1	1	6	6	0	7	4	0	1	11	4	0	0	6	0	2	5	1	0	4	2	4	0	26	16	13	11	3	10	12	2	2					
10	Число действительных избирательных бюллетеней	14896	735	277	353	339	50	170	182	475	308	184	270	79	262	36	765	167	348	149	33	71	52	427	121	35	390	306	38	124	386	189	67	128	180	80	64	260	43	77	96	98	191	82	1353	1122	689	722	274	771	998	137	143					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	495	23	5	8	8	8	5	5	21	23	5	8	3	8	2	26	10	8	3	0	3	0	13	5	1	13	8	1	3	12	5	3	5	5	2	2	8	3	2	3	2	4	1	53	43	43	18	13	18	18	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	181	18	1	2	0	4	0	0	14	3	0	0	0	0	0	23	10	1	1	0	0	0	1	1	0	1	2	0	0	7	0	0	0	1	0	0	3	0	0	0	2	4	0	34	12	6	6	3	16	4	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	136	8	1	1	0	1	3	6	5	3	2	2	1	1	1	2	2	0	0	0	0	0	3	1	0	0	2	1	1	2	1	0	2	2	2	1	5	1	1	3	1	1	0	14	8	5	4	4	5	20	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	314	5	4	6	8	4	5	5	7	20	5	8	3	8	2	3	0	7	2	0	3	0	12	4	1	12	6	1	3	5	5	3	5	4	2	2	5	3	2	3	0	0	1	19	31	37	12	10	2	14	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	1	0	0	0	0	0	0	1	0	1	2	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	7	1	1	1	1	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	1.Политическая партия «Аграрная партия России»	423	17	22	10	9	1	7	1	28	9	7	11	2	13	1	23	2	13	2	0	0	3	16	18	0	17	12	0	0	12	0	5	3	1	1	1	10	1	2	2	4	6	4	22	34	13	11	6	18	16	5	2					
		2.79%	2.28%	7.86%	2.76%	2.64%	2.00%	4.07%	0.55%	5.83%	2.81%	3.63%	4.06%	2.44%	4.87%	2.78%	2.92%	1.18%	3.70%	1.31%	0.00%	0.00%	5.66%	3.70%	14.17%	0.00%	4.28%	3.87%	0.00%	0.00%	3.02%	0.00%	7.46%	2.34%	0.54%	1.25%	1.52%	3.77%	2.27%	2.60%	2.00%	4.00%	3.08%	4.88%	1.60%	2.99%	1.85%	1.50%	2.17%	2.30%	1.58%	3.60%	1.38%					
