Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Тунгусско-Чунская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263					
1	"Число избирателей, внесенных в список избирателей"	2863	1300	751	546	34	154	64	14					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2877	1291	753	551	34	161	70	17					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1419	615	387	260	22	81	41	13					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	141	86	37	13	0	5	0	0					
6	Число погашенных избирательных бюллетеней	1317	590	329	278	12	75	29	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	141	86	37	13	0	5	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1418	614	387	260	22	81	41	13					
9	Число недействительных избирательных бюллетеней	37	16	10	6	0	4	1	0					
10	Число действительных избирательных бюллетеней	1522	684	414	267	22	82	40	13					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	94	34	20	20	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	29	10	5	6	4	0	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	17	6	4	1	4	1	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	65	24	15	14	1	5	2	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	2	0	2	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	319	151	81	55	4	23	5	0					
		20.46%	21.57%	19.10%	20.15%	18.18%	26.74%	12.20%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	223	87	70	44	1	16	4	1					
		14.30%	12.43%	16.51%	16.12%	4.55%	18.60%	9.76%	7.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	11	3	3	1	1	1	1					
		1.35%	1.57%	0.71%	1.10%	4.55%	1.16%	2.44%	7.69%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	191	94	36	45	2	10	4	0					
		12.25%	13.43%	8.49%	16.48%	9.09%	11.63%	9.76%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	29	8	9	9	0	2	1	0					
		1.86%	1.14%	2.12%	3.30%	0.00%	2.33%	2.44%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	724	328	210	107	14	29	25	11					
		46.44%	46.86%	49.53%	39.19%	63.64%	33.72%	60.98%	84.62%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	15	5	5	4	0	1	0	0					
		0.96%	0.71%	1.18%	1.47%	0.00%	1.16%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
