Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Салаватская городская																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170					
1	"Число избирателей, внесенных в список"	111893	1570	1337	80	1002	1926	2059	1098	1379	1100	1744	1189	1045	1485	1418	1200	1407	1234	1232	1374	621	2738	1415	1259	2794	2938	2516	2396	1810	1567	1152	2850	2749	2633	2724	2645	2748	2777	1665	1332	1530	1542	1563	1556	1647	1495	1688	1551	1885	1236	1714	1070	2895	2598	2342	2766	1300	1738	2909	2878	2762	2970	50					
2	Число полученных избирательных бюллетеней	109551	1500	1300	101	1000	1900	2000	1000	1300	1100	1700	1200	1000	1500	1400	1200	1400	1200	1200	1300	600	2700	1400	1200	2700	2900	2500	2400	1800	1500	1200	2800	2700	2600	2700	2600	2700	2700	1600	1300	1500	1500	1500	1500	1600	1400	1600	1500	1800	1200	1700	1000	2900	2600	2300	2700	1200	1800	2900	2800	2700	2900	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	92055	1145	1120	60	846	1616	1687	933	1192	1018	1435	977	917	1196	1154	1039	1152	973	1067	1104	459	2200	1149	983	2358	2458	2041	2024	1764	1329	922	2377	2267	2272	2306	2203	2333	2360	1319	1054	1185	1245	1301	877	1294	1035	1313	1236	1630	979	1371	901	2437	2121	2022	2350	1093	1424	2448	2216	2322	2446	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	3593	197	17	18	30	22	34	0	63	40	61	83	33	97	57	47	90	76	46	68	71	127	52	90	23	41	98	19	27	52	163	60	83	37	37	45	30	72	116	79	120	66	42	24	97	66	131	82	25	22	91	25	28	92	39	18	25	71	27	14	26	11	50					
6	Число погашенных избирательных бюллетеней	13903	158	163	23	124	262	279	67	45	42	204	140	50	207	189	114	158	151	87	128	70	373	199	127	319	401	361	357	9	119	115	363	350	291	357	352	337	268	165	167	195	189	157	599	209	299	156	182	145	199	238	74	435	387	239	332	82	305	425	570	352	443	0					
7	Число избирательных бюллетеней в переносных ящиках	3593	197	17	18	30	22	34	0	63	40	61	83	33	97	57	47	90	76	46	68	71	127	52	90	23	41	98	19	27	52	163	60	83	37	37	45	30	72	116	79	120	66	42	24	97	66	131	82	25	22	91	25	28	92	39	18	25	71	27	14	26	11	50					
8	Число бюллетеней в стационарных ящиках для голосования	92042	1145	1120	60	846	1616	1687	933	1192	1018	1435	977	917	1196	1154	1039	1152	973	1067	1104	459	2200	1149	983	2358	2458	2041	2024	1764	1329	922	2377	2267	2272	2306	2203	2333	2360	1319	1054	1185	1245	1301	877	1294	1035	1313	1236	1630	979	1371	901	2437	2121	2022	2350	1093	1424	2448	2216	2322	2433	0					
9	Число недействительных избирательных бюллетеней	557	8	3	0	2	3	3	2	2	0	4	8	0	5	10	10	6	8	2	18	0	19	9	2	9	11	7	11	37	4	10	10	5	0	9	17	0	92	2	6	7	0	8	6	0	8	6	10	10	4	2	2	26	14	3	7	43	7	13	8	6	13	0					
10	Число действительных избирательных бюллетеней	95078	1334	1134	78	874	1635	1718	931	1253	1058	1492	1052	950	1288	1201	1076	1236	1041	1111	1154	530	2308	1192	1071	2372	2488	2132	2032	1754	1377	1075	2427	2345	2309	2334	2231	2363	2340	1433	1127	1298	1311	1335	895	1391	1093	1438	1308	1645	997	1460	924	2439	2199	2058	2361	1075	1488	2462	2222	2342	2431	50					
11	Число полученных открепительных  удостоверений	1726	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	25	20	20	20	20	30	20	30	476	0					
12	Число выданных открепительных удостоверений	795	7	7	0	4	14	17	10	12	7	18	15	12	10	13	10	9	7	7	8	2	17	13	12	9	20	20	17	13	12	6	24	20	16	20	23	20	20	12	13	8	9	10	6	3	10	5	20	5	5	9	7	30	22	17	15	14	16	24	20	26	18	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	324	1	2	1	3	6	2	1	5	0	4	3	14	16	2	1	6	9	2	3	1	7	3	2	1	5	3	3	10	5	6	4	4	2	5	7	3	7	6	2	2	4	1	1	2	0	0	3	5	2	95	7	0	10	0	0	0	5	1	3	9	7	0					
14	Число неиспользованных открепительных удостоверений	931	13	13	20	16	6	3	10	8	13	2	5	8	10	7	10	11	13	13	12	18	3	7	8	11	0	0	3	7	8	14	1	0	4	0	7	0	0	8	7	12	11	10	14	17	10	15	0	15	15	11	13	0	3	3	5	6	4	6	0	4	458	0					
15	"Число открепительных удостоверений, выданных в ТИК"	24	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	2	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	706	5	6	2	2	13	1	9	1	31	10	20	5	5	6	1	5	19	15	6	2	8	9	37	10	9	11	4	4	14	3	11	31	7	18	6	3	3	4	5	1	10	10	27	14	37	9	1	1	25	2	2	21	18	16	5	2	13	9	95	6	21	0					
		0.74%	0.37%	0.53%	2.56%	0.23%	0.79%	0.06%	0.96%	0.08%	2.93%	0.67%	1.89%	0.53%	0.39%	0.50%	0.09%	0.40%	1.81%	1.35%	0.51%	0.38%	0.34%	0.75%	3.45%	0.42%	0.36%	0.51%	0.20%	0.22%	1.01%	0.28%	0.45%	1.32%	0.30%	0.77%	0.27%	0.13%	0.12%	0.28%	0.44%	0.08%	0.76%	0.74%	3.00%	1.01%	3.36%	0.62%	0.08%	0.06%	2.50%	0.14%	0.22%	0.85%	0.81%	0.78%	0.21%	0.18%	0.87%	0.36%	4.26%	0.26%	0.86%	0.00%					
19	. Малышкин Олег Александрович	456	2	8	1	6	9	8	0	2	4	7	7	4	4	9	5	14	4	4	5	3	10	17	11	7	3	7	8	3	15	6	5	24	11	8	3	5	3	3	3	5	9	12	18	2	18	0	2	9	8	1	6	8	11	11	6	2	4	8	34	5	19	0					
		0.48%	0.15%	0.70%	1.28%	0.68%	0.55%	0.46%	0.00%	0.16%	0.38%	0.47%	0.66%	0.42%	0.31%	0.74%	0.46%	1.13%	0.38%	0.36%	0.43%	0.57%	0.43%	1.42%	1.03%	0.29%	0.12%	0.33%	0.39%	0.17%	1.09%	0.55%	0.21%	1.02%	0.48%	0.34%	0.13%	0.21%	0.12%	0.21%	0.26%	0.38%	0.69%	0.89%	2.00%	0.14%	1.63%	0.00%	0.15%	0.54%	0.80%	0.07%	0.65%	0.32%	0.50%	0.53%	0.25%	0.18%	0.27%	0.32%	1.52%	0.21%	0.78%	0.00%					
20	. Миронов Сергей Михайлович	332	3	7	1	1	5	6	3	2	13	3	5	3	5	7	2	8	7	5	4	3	5	2	12	3	7	5	2	7	5	3	2	12	2	11	2	4	2	2	8	5	5	6	5	4	5	9	1	7	9	6	3	3	9	8	7	3	0	7	8	9	23	1					
		0.35%	0.22%	0.62%	1.28%	0.11%	0.31%	0.35%	0.32%	0.16%	1.23%	0.20%	0.47%	0.32%	0.39%	0.58%	0.18%	0.64%	0.67%	0.45%	0.34%	0.57%	0.21%	0.17%	1.12%	0.13%	0.28%	0.23%	0.10%	0.39%	0.36%	0.28%	0.08%	0.51%	0.09%	0.47%	0.09%	0.17%	0.08%	0.14%	0.71%	0.38%	0.38%	0.45%	0.55%	0.29%	0.45%	0.62%	0.08%	0.42%	0.90%	0.41%	0.32%	0.12%	0.41%	0.39%	0.30%	0.27%	0.00%	0.28%	0.36%	0.38%	0.94%	2.00%					
21	. Путин Владимир Владимирович	88008	1315	1093	65	835	1516	1584	836	1168	902	1376	869	874	1190	1127	1030	1153	997	1060	1066	498	2200	977	837	2242	2300	2011	1914	1614	1277	1032	2321	1882	2164	2226	2134	2316	2290	1334	1037	1238	1253	1249	621	1285	784	1367	1243	1608	842	1375	852	2364	2081	1850	2172	1050	1425	2335	1837	2230	2237	48					
		92.02%	97.99%	96.13%	83.33%	95.32%	92.55%	92.04%	89.60%	93.07%	85.26%	91.98%	81.98%	92.00%	92.03%	93.06%	94.84%	92.83%	95.04%	95.24%	90.96%	93.96%	94.54%	81.35%	78.01%	94.16%	92.04%	94.02%	93.69%	90.12%	92.47%	95.12%	95.24%	80.09%	93.72%	95.01%	94.93%	98.01%	94.16%	92.96%	91.53%	94.87%	95.58%	93.00%	68.92%	92.38%	71.21%	94.67%	94.31%	97.16%	84.12%	94.05%	92.01%	95.90%	94.04%	89.76%	91.72%	93.92%	95.32%	94.34%	82.38%	94.97%	91.53%	96.00%					
22	. Хакамада Ирина Муцуовна	634	5	8	1	4	7	7	6	4	15	8	29	4	13	2	3	7	2	0	8	5	5	21	28	7	8	13	1	10	8	5	6	39	9	9	2	6	2	4	7	9	3	11	28	12	30	1	4	2	26	4	11	9	30	20	12	5	8	8	58	7	8	0					
		0.66%	0.37%	0.70%	1.28%	0.46%	0.43%	0.41%	0.64%	0.32%	1.42%	0.53%	2.74%	0.42%	1.01%	0.17%	0.28%	0.56%	0.19%	0.00%	0.68%	0.94%	0.21%	1.75%	2.61%	0.29%	0.32%	0.61%	0.05%	0.56%	0.58%	0.46%	0.25%	1.66%	0.39%	0.38%	0.09%	0.25%	0.08%	0.28%	0.62%	0.69%	0.23%	0.82%	3.11%	0.86%	2.72%	0.07%	0.30%	0.12%	2.60%	0.27%	1.19%	0.37%	1.36%	0.97%	0.51%	0.45%	0.54%	0.32%	2.60%	0.30%	0.33%	0.00%					
23	. Харитонов Николай Михайлович	4294	4	5	5	20	76	107	72	76	74	80	112	52	55	41	25	36	6	22	60	11	68	155	131	90	156	44	100	87	47	14	74	323	107	59	75	27	30	83	61	30	31	45	187	72	202	48	50	15	87	69	41	31	43	144	123	7	32	85	140	45	96	1					
		4.49%	0.30%	0.44%	6.41%	2.28%	4.64%	6.22%	7.72%	6.06%	6.99%	5.35%	10.57%	5.47%	4.25%	3.39%	2.30%	2.90%	0.57%	1.98%	5.12%	2.08%	2.92%	12.91%	12.21%	3.78%	6.24%	2.06%	4.89%	4.86%	3.40%	1.29%	3.04%	13.74%	4.63%	2.52%	3.34%	1.14%	1.23%	5.78%	5.38%	2.30%	2.36%	3.35%	20.75%	5.18%	18.35%	3.32%	3.79%	0.91%	8.69%	4.72%	4.43%	1.26%	1.94%	6.99%	5.19%	0.63%	2.14%	3.43%	6.28%	1.92%	3.93%	2.00%					
																																																																					
24	Против всех	648	0	7	3	6	9	5	5	0	19	8	10	8	16	9	10	13	6	5	5	8	12	11	15	13	5	41	3	29	11	12	8	34	9	3	9	2	10	3	6	10	0	2	9	2	17	4	7	3	0	3	9	3	7	9	36	6	6	10	50	40	27	0					
		0.68%	0.00%	0.62%	3.85%	0.68%	0.55%	0.29%	0.54%	0.00%	1.80%	0.53%	0.94%	0.84%	1.24%	0.74%	0.92%	1.05%	0.57%	0.45%	0.43%	1.51%	0.52%	0.92%	1.40%	0.55%	0.20%	1.92%	0.15%	1.62%	0.80%	1.11%	0.33%	1.45%	0.39%	0.13%	0.40%	0.08%	0.41%	0.21%	0.53%	0.77%	0.00%	0.15%	1.00%	0.14%	1.54%	0.28%	0.53%	0.18%	0.00%	0.21%	0.97%	0.12%	0.32%	0.44%	1.52%	0.54%	0.40%	0.40%	2.24%	1.70%	1.10%	0.00%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
