Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Обручевский район																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44610	2106	2184	1777	1006	2379	2051	1512	2121	2113	2672	2316	1888	1936	1213	2694	2163	2153	1609	429	258	2737	2947	1782	171	15	166	27	185									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32460	1500	1500	1300	700	1700	1500	1100	1500	1500	2000	1700	1300	1500	900	2000	1550	1500	1100	300	250	2000	2100	1300	200	30	200	30	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15370	708	702	609	349	879	704	490	760	606	900	773	652	660	382	822	732	692	523	102	112	969	963	766	160	15	142	22	176									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	519	14	27	13	6	20	25	16	28	41	48	31	33	25	18	34	31	34	20	0	4	22	12	4	1	0	0	3	9									
6	Число погашенных избирательных бюллетеней	16571	778	771	678	345	801	771	594	712	853	1052	896	615	815	500	1144	787	774	557	198	134	1009	1125	530	39	15	58	5	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	519	14	27	13	6	20	25	16	28	41	48	31	33	25	18	34	31	34	20	0	4	22	12	4	1	0	0	3	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15356	707	702	609	349	879	703	490	759	606	898	772	652	659	382	821	731	691	522	102	112	968	962	765	160	15	142	22	176									
9	Число недействительных избирательных бюллетеней	216	10	12	11	4	14	9	6	7	8	14	7	15	6	6	10	11	9	9	1	2	12	16	12	3	0	2	0	0									
10	Число действительных избирательных бюллетеней	15659	711	717	611	351	885	719	500	780	639	932	796	670	678	394	845	751	716	533	101	114	978	958	757	158	15	140	25	185									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	510	20	20	20	10	40	20	15	30	30	25	25	20	30	15	30	25	30	15	5	5	20	30	30	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	322	13	13	5	5	30	16	9	16	20	13	14	10	22	8	19	22	21	11	0	0	14	23	18	0	0	0	0	0									
