Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
"Наименование Избирательной комиссии:    Калининград, Центральная"																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320					
1	"Число избирателей, внесенных в списки"	63760	2422	2748	2674	2567	2280	1888	2317	1937	2323	2004	2542	2162	1936	2850	2746	2689	2738	2640	2268	2763	2444	1331	2463	2867	2906	3255					
2	"Число бюллетеней, полученных участковыми комиссиями"	58400	2200	2500	2500	2400	2100	1800	2200	1800	2100	1800	2300	2000	1600	2600	2500	2400	2500	2500	2100	2600	2200	1200	2300	2600	2600	3000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30842	870	1408	1305	1248	1070	992	1200	1075	1088	1070	1347	1109	679	1381	1419	1585	1393	1316	1060	1084	1216	532	1337	1158	1453	1447					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1213	29	28	25	12	23	27	23	22	51	25	13	15	712	15	28	26	14	44	8	16	9	6	18	14	7	3					
6	Число погашенных бюллетеней	26345	1301	1064	1170	1140	1007	781	977	703	961	705	940	876	209	1204	1053	789	1093	1140	1032	1500	975	662	945	1428	1140	1550					
7	Число бюллетеней в переносных ящиках для голосования	1204	29	28	25	12	23	27	23	22	51	25	13	15	703	15	28	26	14	44	8	16	9	6	18	14	7	3					
8	Число бюллетеней в стационарных ящиках для голосования	30783	870	1401	1304	1244	1069	992	1200	1075	1091	1069	1345	1109	679	1372	1413	1584	1392	1313	1060	1063	1212	532	1337	1157	1453	1447					
9	Число недействительных бюллетеней	353	9	13	21	12	12	10	6	8	7	7	13	10	7	15	21	14	17	10	7	21	18	7	20	39	19	10					
10	Число действительных бюллетеней	31634	890	1416	1308	1244	1080	1009	1217	1089	1135	1087	1345	1114	1375	1372	1420	1596	1389	1347	1061	1058	1203	531	1335	1132	1441	1440					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	545	25	25	25	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	182	6	13	5	9	8	6	5	6	11	5	6	4	5	11	4	4	12	6	4	12	4	2	8	4	13	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	209	6	3	6	5	7	5	11	4	12	11	7	4	47	4	8	10	8	8	5	1	9	5	9	6	5	3					
14	Число погашенных открепительных удостоверений	363	19	12	20	11	12	14	15	14	19	15	14	16	15	9	16	16	8	14	16	8	16	18	12	16	7	11					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	225	12	9	13	3	7	7	10	8	6	12	8	8	14	16	6	17	5	5	4	3	10	3	12	12	10	5					
		0.70%	1.33%	0.62%	0.97%	0.23%	0.64%	0.68%	0.81%	0.72%	0.52%	1.09%	0.58%	0.71%	1.01%	1.15%	0.41%	1.05%	0.35%	0.36%	0.37%	0.27%	0.81%	0.55%	0.88%	1.02%	0.68%	0.34%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2170	89	98	73	121	125	69	152	58	74	95	98	91	52	117	88	83	84	100	89	50	85	28	52	70	56	73					
		6.78%	9.89%	6.85%	5.49%	9.63%	11.44%	6.77%	12.42%	5.28%	6.47%	8.68%	7.21%	8.09%	3.76%	8.43%	6.10%	5.15%	5.97%	7.36%	8.33%	4.63%	6.96%	5.20%	3.83%	5.97%	3.83%	5.03%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	842	20	54	38	24	13	34	26	31	33	29	43	34	40	48	47	36	37	45	29	37	19	23	24	24	19	35					
		2.63%	2.22%	3.77%	2.85%	1.91%	1.19%	3.33%	2.12%	2.82%	2.88%	2.65%	3.16%	3.02%	2.89%	3.46%	3.26%	2.23%	2.63%	3.31%	2.71%	3.42%	1.55%	4.27%	1.77%	2.04%	1.30%	2.41%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2243	61	118	95	118	90	74	118	77	75	81	101	87	71	126	116	90	93	88	79	66	76	39	74	70	74	86					
		7.01%	6.78%	8.25%	7.14%	9.39%	8.24%	7.26%	9.64%	7.01%	6.56%	7.40%	7.43%	7.74%	5.13%	9.08%	8.04%	5.59%	6.61%	6.48%	7.39%	6.11%	6.22%	7.24%	5.46%	5.97%	5.06%	5.93%					
22	"5. ""За Русь Святую"""	114	8	3	3	2	6	3	5	7	7	2	3	5	9	2	4	8	6	5	1	4	3	0	3	4	4	7					
		0.35%	0.88%	0.20%	0.22%	0.15%	0.54%	0.29%	0.40%	0.63%	0.61%	0.18%	0.22%	0.44%	0.65%	0.14%	0.27%	0.49%	0.42%	0.36%	0.09%	0.37%	0.24%	0.0%	0.22%	0.34%	0.27%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	94	3	2	3	1	5	1	0	1	6	3	4	1	8	0	1	8	2	1	4	6	4	3	8	4	10	5					
		0.29%	0.33%	0.13%	0.22%	0.07%	0.45%	0.09%	0.0%	0.09%	0.52%	0.27%	0.29%	0.08%	0.57%	0.0%	0.06%	0.49%	0.14%	0.07%	0.37%	0.55%	0.32%	0.55%	0.59%	0.34%	0.68%	0.34%					
24	"7. ""Новый курс - Автомобильная Россия"""	451	16	6	24	10	7	17	24	13	16	16	14	16	11	18	13	16	21	28	15	15	33	13	23	19	26	21					
		1.40%	1.77%	0.41%	1.80%	0.79%	0.64%	1.66%	1.96%	1.18%	1.40%	1.46%	1.03%	1.42%	0.79%	1.29%	0.90%	0.99%	1.49%	2.06%	1.40%	1.39%	2.70%	2.41%	1.69%	1.62%	1.78%	1.44%					
25	"8. ""Народно-республиканская партия России"""	20	0	0	3	2	0	0	1	0	1	1	1	1	0	0	0	3	0	0	2	0	0	0	0	0	2	3					
		0.06%	0.0%	0.0%	0.22%	0.15%	0.0%	0.0%	0.08%	0.0%	0.08%	0.09%	0.07%	0.08%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.20%					
26	"9. ""Российская экологическая партия ""Зеленые"""	162	5	8	6	8	3	2	7	6	6	0	8	3	7	5	8	10	7	3	7	4	11	3	6	12	9	8					
		0.50%	0.55%	0.55%	0.45%	0.63%	0.27%	0.19%	0.57%	0.54%	0.52%	0.0%	0.58%	0.26%	0.50%	0.36%	0.55%	0.62%	0.49%	0.22%	0.65%	0.37%	0.90%	0.55%	0.44%	1.02%	0.61%	0.55%					
27	"10. ""Аграрная партия России"""	525	14	16	24	30	19	17	22	19	24	16	25	11	12	24	31	24	25	34	19	23	6	9	11	15	29	26					
		1.64%	1.55%	1.11%	1.80%	2.38%	1.73%	1.66%	1.79%	1.73%	2.10%	1.46%	1.84%	0.97%	0.86%	1.73%	2.15%	1.49%	1.77%	2.50%	1.77%	2.13%	0.49%	1.67%	0.81%	1.28%	1.98%	1.79%					
28	"11. ""Истинные патриоты России"""	59	0	3	1	0	0	1	1	0	2	1	1	0	1	1	0	2	1	0	0	0	2	0	4	36	0	2					
		0.18%	0.0%	0.20%	0.07%	0.0%	0.0%	0.09%	0.08%	0.0%	0.17%	0.09%	0.07%	0.0%	0.07%	0.07%	0.0%	0.12%	0.07%	0.0%	0.0%	0.0%	0.16%	0.0%	0.29%	3.07%	0.0%	0.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	328	5	21	24	11	5	14	10	14	10	5	12	21	3	12	13	16	12	16	13	10	14	5	9	19	21	13					
		1.02%	0.55%	1.46%	1.80%	0.87%	0.45%	1.37%	0.81%	1.27%	0.87%	0.45%	0.88%	1.86%	0.21%	0.86%	0.90%	0.99%	0.85%	1.17%	1.21%	0.92%	1.14%	0.92%	0.66%	1.62%	1.43%	0.89%					
30	"13. ""Демократическая партия России"""	757	34	46	28	20	32	31	27	43	55	34	39	25	45	32	25	26	28	31	22	18	25	12	13	20	23	23					
		2.36%	3.78%	3.21%	2.10%	1.59%	2.93%	3.04%	2.20%	3.91%	4.81%	3.10%	2.87%	2.22%	3.25%	2.30%	1.73%	1.61%	1.99%	2.28%	2.05%	1.66%	2.04%	2.23%	0.95%	1.70%	1.57%	1.58%					
31	"14. ""Великая Россия - Евразийский Союз"""	60	2	2	3	3	0	3	0	3	0	5	0	2	10	7	0	1	2	1	0	1	0	0	3	6	1	5					
		0.18%	0.22%	0.13%	0.22%	0.23%	0.0%	0.29%	0.0%	0.27%	0.0%	0.45%	0.0%	0.17%	0.72%	0.50%	0.0%	0.06%	0.14%	0.07%	0.0%	0.09%	0.0%	0.0%	0.22%	0.51%	0.06%	0.34%					
32	"15. ""Партия СЛОН"""	74	2	4	1	2	5	2	3	3	1	0	2	1	4	2	0	8	3	2	3	2	2	1	4	6	6	5					
		0.23%	0.22%	0.27%	0.07%	0.15%	0.45%	0.19%	0.24%	0.27%	0.08%	0.0%	0.14%	0.08%	0.28%	0.14%	0.0%	0.49%	0.21%	0.14%	0.28%	0.18%	0.16%	0.18%	0.29%	0.51%	0.41%	0.34%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4390	109	185	169	211	163	163	175	210	197	183	232	179	110	202	215	183	219	188	141	119	139	76	172	102	195	153					
		13.72%	12.12%	12.94%	12.71%	16.79%	14.92%	15.99%	14.30%	19.14%	17.25%	16.72%	17.08%	15.92%	7.95%	14.56%	14.92%	11.36%	15.57%	13.85%	13.20%	11.02%	11.38%	14.12%	12.69%	8.71%	13.35%	10.55%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	34	1	2	0	1	2	0	2	0	1	0	0	0	4	1	3	1	1	1	0	0	3	1	3	4	0	3					
		0.10%	0.11%	0.13%	0.0%	0.07%	0.18%	0.0%	0.16%	0.0%	0.08%	0.0%	0.0%	0.0%	0.28%	0.07%	0.20%	0.06%	0.07%	0.07%	0.0%	0.0%	0.24%	0.18%	0.22%	0.34%	0.0%	0.20%					
35	"18. ""ЛДПР"""	4131	111	157	141	161	127	102	106	85	113	111	144	128	298	131	136	227	202	151	133	165	192	80	238	210	196	286					
		12.91%	12.34%	10.98%	10.60%	12.81%	11.63%	10.00%	8.66%	7.74%	9.89%	10.14%	10.60%	11.38%	21.56%	9.44%	9.43%	14.09%	14.36%	11.12%	12.45%	15.29%	15.72%	14.86%	17.56%	17.93%	13.42%	19.72%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	669	11	33	38	18	21	19	23	31	21	31	32	19	23	29	42	30	24	25	24	32	24	17	17	23	37	25					
		2.09%	1.22%	2.30%	2.85%	1.43%	1.92%	1.86%	1.88%	2.82%	1.83%	2.83%	2.35%	1.69%	1.66%	2.09%	2.91%	1.86%	1.70%	1.84%	2.24%	2.96%	1.96%	3.15%	1.25%	1.96%	2.53%	1.72%					
37	"20. ""Политическая партия ""Единая Россия"""	7771	255	375	317	260	262	243	275	267	249	227	306	264	276	346	326	476	301	359	270	263	267	106	432	266	399	384					
		24.29%	28.36%	26.24%	23.85%	20.70%	23.99%	23.84%	22.48%	24.33%	21.80%	20.74%	22.53%	23.48%	19.97%	24.94%	22.62%	29.56%	21.40%	26.45%	25.28%	24.37%	21.86%	19.70%	31.88%	22.71%	27.32%	26.48%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	1	0	0	1	0	2	1	1	1	0	0	0	4	1	1	1	1	1	1	1	2	0	4	2	0	5					
		0.09%	0.11%	0.0%	0.0%	0.07%	0.0%	0.19%	0.08%	0.09%	0.08%	0.0%	0.0%	0.0%	0.28%	0.07%	0.06%	0.06%	0.07%	0.07%	0.09%	0.09%	0.16%	0.0%	0.29%	0.17%	0.0%	0.34%					
39	"22. ""Развитие предпринимательства"""	105	4	6	4	3	6	1	1	3	2	1	5	5	3	4	2	3	9	5	3	4	3	3	8	4	9	4					
		0.32%	0.44%	0.41%	0.30%	0.23%	0.54%	0.09%	0.08%	0.27%	0.17%	0.09%	0.36%	0.44%	0.21%	0.28%	0.13%	0.18%	0.64%	0.36%	0.28%	0.37%	0.24%	0.55%	0.59%	0.34%	0.61%	0.27%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4280	87	187	217	166	122	160	180	159	172	169	186	141	129	167	269	195	227	192	130	171	185	82	97	107	223	160					
		13.38%	9.67%	13.08%	16.32%	13.21%	11.17%	15.70%	14.71%	14.49%	15.06%	15.44%	13.69%	12.54%	9.33%	12.04%	18.66%	12.11%	16.14%	14.14%	12.17%	15.84%	15.15%	15.24%	7.15%	9.13%	15.27%	11.03%					
																																	
41	Против всех	2099	40	81	83	68	60	44	48	50	63	65	81	72	241	81	74	132	79	66	72	64	98	27	118	97	92	103					
		6.56%	4.44%	5.66%	6.24%	5.41%	5.49%	4.31%	3.92%	4.55%	5.51%	5.94%	5.96%	6.40%	17.43%	5.83%	5.13%	8.19%	5.61%	4.86%	6.74%	5.93%	8.02%	5.01%	8.70%	8.28%	6.30%	7.10%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
