Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Медвенская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786					
1	"Число избирателей, внесенных в списки"	15433	1515	2329	892	122	814	1018	368	366	644	246	340	465	278	265	310	266	671	1020	732	623	306	102	619	548	574					
2	"Число бюллетеней, полученных участковыми комиссиями"	13842	1366	2072	799	118	725	917	326	313	579	219	309	421	252	242	273	234	606	918	647	560	274	100	579	495	498					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8311	928	1447	419	46	416	592	183	183	273	140	201	225	160	127	207	163	326	504	425	335	82	68	362	219	280					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1787	42	62	34	27	164	84	77	63	123	18	41	72	46	70	47	56	116	50	71	84	109	13	67	184	67					
6	Число погашенных бюллетеней	3744	396	563	346	45	145	241	66	67	183	61	67	124	46	45	19	15	164	364	151	141	83	19	150	92	151					
7	Число бюллетеней в переносных ящиках для голосования	1787	42	62	34	27	164	84	77	63	123	18	41	72	46	70	47	56	116	50	71	84	109	13	67	184	67					
8	Число бюллетеней в стационарных ящиках для голосования	8311	928	1447	419	46	416	592	183	183	273	140	201	225	160	127	207	163	326	504	425	335	82	68	362	219	280					
9	Число недействительных бюллетеней	369	33	23	20	2	9	27	7	11	11	6	19	8	12	7	9	2	26	39	22	7	5	6	27	15	16					
10	Число действительных бюллетеней	9729	937	1486	433	71	571	649	253	235	385	152	223	289	194	190	245	217	416	515	474	412	186	75	402	388	331					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	157	12	35	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	11	18	0	0	1	2	1	0	0	1	3	0	0	0	0	0	2	0	1	4	4	0	1	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	4	5	3	1	2	1	3	2	3	2	4	2	0	1	3	2	1	0	5	1	0	3	4	3	2					
14	Число погашенных открепительных удостоверений	103	1	17	5	3	4	3	4	5	5	4	2	5	5	5	5	5	3	5	4	1	0	3	4	0	5					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	244	22	24	11	2	24	19	7	3	11	1	9	6	4	0	18	10	11	10	14	7	4	1	10	9	7					
		2.41%	2.26%	1.59%	2.42%	2.73%	4.13%	2.81%	2.69%	1.21%	2.77%	0.63%	3.71%	2.02%	1.94%	0.0%	7.08%	4.56%	2.48%	1.80%	2.82%	1.67%	2.09%	1.23%	2.33%	2.23%	2.01%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	134	16	34	6	1	8	3	5	4	4	8	2	4	6	3	3	2	4	0	6	3	2	0	3	3	4					
		1.32%	1.64%	2.25%	1.32%	1.36%	1.37%	0.44%	1.92%	1.62%	1.01%	5.06%	0.82%	1.34%	2.91%	1.52%	1.18%	0.91%	0.90%	0.0%	1.20%	0.71%	1.04%	0.0%	0.69%	0.74%	1.15%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	298	25	29	12	2	20	25	15	10	10	3	11	12	3	4	8	7	12	18	23	12	5	1	7	17	7					
		2.95%	2.57%	1.92%	2.64%	2.73%	3.44%	3.69%	5.76%	4.06%	2.52%	1.89%	4.54%	4.04%	1.45%	2.03%	3.14%	3.19%	2.71%	3.24%	4.63%	2.86%	2.61%	1.23%	1.63%	4.21%	2.01%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	139	15	27	3	2	8	13	8	3	4	0	3	0	0	1	3	3	5	6	4	9	1	0	2	11	8					
		1.37%	1.54%	1.78%	0.66%	2.73%	1.37%	1.92%	3.07%	1.21%	1.01%	0.0%	1.23%	0.0%	0.0%	0.50%	1.18%	1.36%	1.13%	1.08%	0.80%	2.14%	0.52%	0.0%	0.46%	2.72%	2.30%					
22	"5. ""За Русь Святую"""	71	0	3	3	5	4	8	4	3	5	0	1	0	1	1	2	2	4	2	9	4	1	0	0	7	2					
		0.70%	0.0%	0.19%	0.66%	6.84%	0.68%	1.18%	1.53%	1.21%	1.26%	0.0%	0.41%	0.0%	0.48%	0.50%	0.78%	0.91%	0.90%	0.36%	1.81%	0.95%	0.52%	0.0%	0.0%	1.73%	0.57%					
23	"6. ""Объединенная Российская партия ""Русь"""	43	2	6	4	0	5	3	0	0	1	1	0	0	1	0	1	1	2	2	3	3	0	0	1	3	4					
		0.42%	0.20%	0.39%	0.88%	0.0%	0.86%	0.44%	0.0%	0.0%	0.25%	0.63%	0.0%	0.0%	0.48%	0.0%	0.39%	0.45%	0.45%	0.36%	0.60%	0.71%	0.0%	0.0%	0.23%	0.74%	1.15%					
