Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    ТИК Усольского МР																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920					
1	"Число избирателей, внесенных в списки избирателей"	11158	827	753	678	244	685	713	719	644	230	822	257	643	526	179	186	754	504	363	721	710					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10974	772	696	699	267	655	618	631	662	199	823	233	650	553	180	186	821	533	363	658	775					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5632	527	393	292	69	321	363	344	406	132	401	124	334	156	78	72	434	264	112	385	425					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1026	20	43	103	85	31	57	44	65	18	87	38	49	81	31	39	35	41	112	36	11					
6	Число погашенных избирательных бюллетеней	4288	225	260	304	113	303	198	243	191	49	335	71	267	288	71	75	352	228	139	237	339					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1054	20	43	103	85	31	57	44	65	18	87	38	49	109	31	39	35	41	112	36	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5632	527	393	292	69	321	363	344	406	132	401	124	334	156	78	72	434	264	112	385	425					
9	Число недействительных избирательных бюллетеней	57	3	1	3	1	2	3	2	1	9	10	2	1	4	0	0	3	1	4	2	5					
10	Число действительных избирательных бюллетеней	6629	544	435	392	153	350	417	386	470	141	478	160	382	261	109	111	466	304	220	419	431					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	251	21	17	15	5	11	15	13	20	10	15	5	15	10	5	10	15	12	8	14	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	196	19	16	3	1	7	15	3	19	8	15	5	13	8	5	10	7	12	5	10	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	386	60	12	19	4	15	32	29	19	43	10	13	9	2	6	12	37	8	3	20	33					
14	Число погашенных неиспользованных открепительных удостоверений	55	2	1	12	4	4	0	10	1	2	0	0	2	2	0	0	8	0	3	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
