Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Серовская городская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №808	УИК №809	УИК №810	УИК №812	УИК №813	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70947	377	1333	115	1260	1053	192	31	122	160	141	94	160	460	1545	1874	1461	1515	1440	1212	1119	1428	1308	1449	1439	1647	1396	1325	1320	1502	1440	1307	1284	1127	1573	1349	1325	1370	1775	1461	1353	1862	1028	1967	2075	1377	2011	1606	1645	787	1291	725	1084	405	1742	1664	1572	1452	1379	1346	87									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52700	350	1200	100	1150	1000	200	20	120	150	130	90	160	450	1100	1350	1050	1100	1050	900	800	1050	950	1050	1050	1200	1000	950	950	1100	1050	950	950	800	1200	1000	950	1000	1250	1050	1000	1350	750	1400	1500	1000	1450	1150	1200	600	950	550	800	300	1250	1200	1150	1050	1000	1000	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	35	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27742	119	380	30	349	352	62	5	61	78	52	22	85	246	532	686	509	539	499	440	417	571	575	572	512	677	657	604	637	704	643	462	580	528	702	613	616	662	591	652	625	823	503	913	851	462	778	406	562	328	323	204	367	134	712	704	638	586	400	396	6									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1167	18	21	10	80	107	14	0	4	5	21	2	13	175	16	15	13	15	10	8	14	11	4	6	12	6	12	9	4	14	6	10	9	6	37	12	9	12	10	8	10	12	16	13	8	14	0	25	36	6	11	55	1	26	8	26	9	17	56	39	21									
6	Число погашенных избирательных бюллетеней	23756	213	799	60	721	541	124	15	55	67	57	42	62	29	552	649	528	546	541	452	369	468	371	472	526	517	331	337	309	382	401	478	361	266	461	375	325	326	649	390	365	515	231	474	641	524	672	719	602	266	616	291	432	140	530	470	503	447	544	565	42									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1202	18	21	10	80	107	14	0	4	5	21	26	13	175	16	15	13	15	10	8	14	11	4	6	12	6	12	9	4	14	6	10	9	6	37	12	9	12	10	8	10	12	16	13	8	14	0	25	36	6	11	55	1	26	8	26	9	17	56	39	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27735	119	380	30	349	352	62	5	61	78	52	22	85	246	532	686	509	539	499	440	417	570	575	572	510	677	657	604	637	704	643	462	579	528	702	613	616	662	591	652	625	823	503	913	851	462	778	406	562	328	323	204	367	134	712	702	637	586	400	396	6									
9	Число недействительных избирательных бюллетеней	962	1	26	0	15	15	0	0	2	2	2	0	1	20	16	17	16	16	14	12	16	25	22	21	8	15	19	22	18	32	23	21	13	25	28	32	19	16	19	9	9	23	15	32	36	10	36	21	27	15	7	5	7	3	39	24	26	20	10	19	0									
10	Число действительных избирательных бюллетеней	27975	136	375	40	414	444	76	5	63	81	71	48	97	401	532	684	506	538	495	436	415	556	557	557	514	668	650	591	623	686	626	451	575	509	711	593	606	658	582	651	626	812	504	894	823	466	742	410	571	319	327	254	361	157	681	704	620	583	446	416	38									
