Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Кобяйская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219					
1	"Число избирателей, внесенных в список избирателей"	9203	474	202	385	470	174	454	388	330	373	214	136	390	537	625	442	319	186	172	336	180	161	106	65	440	330	274	162	361	302	215					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9030	360	200	400	400	150	400	360	300	350	200	170	400	600	650	470	330	200	200	340	190	150	105	65	440	340	250	150	350	290	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	115	0	0	0	0	0	0	0	0	0	0	0	5	11	10	4	0	0	0	0	2	8	0	0	0	0	0	0	3	42	30					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5586	246	108	188	281	87	205	216	192	198	121	88	259	353	342	283	209	129	109	221	134	115	77	56	261	221	180	136	262	183	126					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	675	46	20	40	28	43	62	45	19	22	35	3	27	32	50	31	10	14	16	28	1	4	5	0	23	14	9	5	17	11	15					
6	Число погашенных избирательных бюллетеней	2654	68	72	172	91	20	133	99	89	130	44	79	109	204	248	152	111	57	75	91	53	23	23	9	156	105	61	9	68	54	49					
7	Число избирательных бюллетеней в переносных ящиках для голосования	790	46	20	40	28	43	62	45	19	22	35	3	32	43	60	35	10	14	16	28	3	12	5	0	23	14	9	5	20	53	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5585	246	108	188	281	87	204	216	192	198	121	88	259	353	342	283	209	129	109	221	134	115	77	56	261	221	180	136	262	183	126					
9	Число недействительных избирательных бюллетеней	29	0	1	1	0	5	3	0	1	2	3	0	1	1	3	0	1	0	0	1	0	0	0	0	2	1	1	0	1	0	1					
10	Число действительных избирательных бюллетеней	6346	292	127	227	309	125	263	261	210	218	153	91	290	395	399	318	218	143	125	248	137	127	82	56	282	234	188	141	281	236	170					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	168	5	3	5	5	3	5	5	5	5	3	5	6	10	20	8	7	6	5	6	3	3	2	0	8	10	3	5	7	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	99	3	2	4	4	0	2	0	3	4	1	3	6	10	4	7	7	2	4	2	3	2	0	0	7	10	3	1	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	2	1	0	4	0	1	0	0	1	0	0	2	0	3	0	3	11	9	0	0	0	0	0	0	2	1	0	7	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	69	2	1	1	1	3	3	5	2	1	2	2	0	0	16	1	0	4	1	4	0	1	2	0	1	0	0	4	7	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1305	72	24	47	50	21	50	54	56	42	28	9	94	61	105	88	59	21	16	45	42	29	6	11	95	61	23	12	42	29	13					
		20.47%	24.66%	18.75%	20.61%	16.18%	16.15%	18.80%	20.69%	26.54%	19.09%	17.95%	9.89%	32.30%	15.40%	26.12%	27.67%	26.94%	14.69%	12.80%	18.07%	30.66%	22.83%	7.32%	19.64%	33.45%	25.96%	12.17%	8.51%	14.89%	12.29%	7.60%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	362	31	12	34	43	24	45	37	22	20	34	1	7	3	2	2	2	2	1	5	2	5	2	1	4	6	0	8	3	1	3					
		5.68%	10.62%	9.38%	14.91%	13.92%	18.46%	16.92%	14.18%	10.43%	9.09%	21.79%	1.10%	2.41%	0.76%	0.50%	0.63%	0.91%	1.40%	0.80%	2.01%	1.46%	3.94%	2.44%	1.79%	1.41%	2.55%	0.00%	5.67%	1.06%	0.42%	1.75%					
