Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Ржевская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9670	183	803	231	167	122	268	179	154	204	445	113	411	478	186	173	1236	369	301	499	989	318	248	293	156	613	387	144									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9360	200	800	220	150	120	260	200	150	180	450	100	360	400	180	180	1200	350	300	450	1000	305	250	300	150	600	355	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4780	99	418	146	78	86	74	81	62	99	209	35	172	231	111	88	620	191	201	247	504	178	127	98	86	295	138	106									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1223	30	64	28	45	11	97	65	18	25	69	18	46	42	15	41	82	37	45	58	41	28	51	45	24	124	63	11									
6	Число погашенных избирательных бюллетеней	3357	71	318	46	27	23	89	54	70	56	172	47	142	127	54	51	498	122	54	145	455	99	72	157	40	181	154	33									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1223	30	64	28	45	11	97	65	18	25	69	18	46	42	15	41	82	37	45	58	41	28	51	45	24	124	63	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4777	99	418	146	78	86	74	81	62	99	209	35	172	231	111	88	617	191	201	247	504	178	127	98	86	295	138	106									
9	Число недействительных избирательных бюллетеней	131	2	9	0	2	0	0	2	1	1	12	0	6	5	0	0	17	3	7	9	18	5	3	0	2	18	6	3									
10	Число действительных избирательных бюллетеней	5869	127	473	174	121	97	171	144	79	123	266	53	212	268	126	129	682	225	239	296	527	201	175	143	108	401	195	114									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	830	40	40	35	25	20	25	40	10	10	30	10	20	40	20	40	90	20	35	30	50	42	25	30	20	40	30	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	740	40	40	35	11	20	25	40	5	4	28	4	12	40	20	40	84	19	30	26	39	38	24	24	20	35	24	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	358	9	29	23	8	9	4	6	2	10	13	5	12	24	7	13	60	16	16	14	21	10	6	5	12	8	8	8									
14	Число погашенных неиспользованных открепительных удостоверений	90	0	0	0	14	0	0	0	5	6	2	6	8	0	0	0	6	1	5	4	11	4	1	6	0	5	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	326	12	27	7	6	2	20	8	9	4	17	5	2	17	3	5	15	13	19	7	51	7	9	4	9	17	7	24									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	50	3	4	1	2	1	1	1	1	1	1	1	4	3	0	0	10	2	1	4	4	2	0	0	1	2	0	0									
		0.83%	2.33%	0.83%	0.57%	1.63%	1.03%	0.58%	0.68%	1.25%	0.81%	0.36%	1.89%	1.83%	1.10%	0.00%	0.00%	1.43%	0.88%	0.41%	1.31%	0.73%	0.97%	0.00%	0.00%	0.91%	0.48%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	146	6	15	1	2	3	4	1	3	0	7	0	4	5	5	6	18	4	10	4	14	8	5	0	2	9	4	6									
		2.43%	4.65%	3.11%	0.57%	1.63%	3.09%	2.34%	0.68%	3.75%	0.00%	2.52%	0.00%	1.83%	1.83%	3.97%	4.65%	2.58%	1.75%	4.07%	1.31%	2.57%	3.88%	2.81%	0.00%	1.82%	2.15%	1.99%	5.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	128	2	12	1	2	3	2	3	1	4	10	1	8	2	3	3	21	6	3	12	9	1	1	3	4	7	3	1									
		2.13%	1.55%	2.49%	0.57%	1.63%	3.09%	1.17%	2.05%	1.25%	3.23%	3.60%	1.89%	3.67%	0.73%	2.38%	2.33%	3.00%	2.63%	1.22%	3.93%	1.65%	0.49%	0.56%	2.10%	3.64%	1.67%	1.49%	0.85%									
