Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Снежногорская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №469	УИК №470	УИК №472	УИК №473	УИК №474					
1	"Число избирателей, внесенных в списки избирателей"	10331	2066	1975	2113	2145	2032					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10200	1900	1900	2100	2100	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6355	1276	1207	1288	1237	1347					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	105	3	89	5	4	4					
6	Число погашенных избирательных бюллетеней	3740	621	604	807	859	849					
7	Число избирательных бюллетеней в переносных ящиках для голосования	105	3	89	5	4	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6348	1274	1205	1286	1236	1347					
9	Число недействительных избирательных бюллетеней	80	17	16	7	19	21					
10	Число действительных избирательных бюллетеней	6373	1260	1278	1284	1221	1330					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	335	67	67	67	67	67					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	60	14	11	6	17	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	30	13	3	8	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	275	53	56	61	50	55					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	2	2	1	3	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	111	27	18	21	19	26					
		1.72%	2.11%	1.39%	1.63%	1.53%	1.92%					
19	2.Всероссийская политическая партия «Гражданская Сила»	59	13	12	11	10	13					
		0.91%	1.02%	0.93%	0.85%	0.81%	0.96%					
20	3.Политическая партия «Демократическая партия России»	5	0	1	0	3	1					
		0.08%	0.00%	0.08%	0.00%	0.24%	0.07%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	444	91	82	77	99	95					
		6.88%	7.13%	6.34%	5.96%	7.98%	7.03%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	28	7	8	9	1	3					
		0.43%	0.55%	0.62%	0.70%	0.08%	0.22%					
23	6.Политическая партия «Партия социальной справедливости»	29	8	7	5	5	4					
		0.45%	0.63%	0.54%	0.39%	0.40%	0.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	871	138	178	167	174	214					
		13.50%	10.81%	13.76%	12.94%	14.03%	15.84%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	620	116	116	133	117	138					
		9.61%	9.08%	8.96%	10.30%	9.44%	10.21%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	143	36	29	24	25	29					
		2.22%	2.82%	2.24%	1.86%	2.02%	2.15%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3958	811	807	813	742	785					
		61.34%	63.51%	62.36%	62.97%	59.84%	58.11%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	105	13	20	24	26	22					
		1.63%	1.02%	1.55%	1.86%	2.10%	1.63%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
