Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Арбажская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6133	1223	1315	1077	140	317	428	279	241	506	304	303									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6180	1240	1340	1080	140	320	420	290	250	510	290	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2609	592	618	337	60	162	157	136	108	220	86	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	729	63	73	190	32	23	92	17	30	53	107	49									
6	Число погашенных избирательных бюллетеней	2842	585	649	553	48	135	171	137	112	237	97	118									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	729	63	73	190	32	23	92	17	30	53	107	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2609	592	618	337	60	162	157	136	108	220	86	133									
9	Число недействительных избирательных бюллетеней	67	11	21	8	1	6	2	2	4	9	0	3									
10	Число действительных избирательных бюллетеней	3271	644	670	519	91	179	247	151	134	264	193	179									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	30	30	30	10	10	10	10	10	15	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	79	18	14	3	0	7	10	10	10	2	1	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	10	4	6	1	1	4	2	2	6	6	2									
14	Число погашенных неиспользованных открепительных удостоверений	101	12	16	27	10	3	0	0	0	13	14	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	7	3	0	0	1	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	25	7	7	1	0	1	1	1	1	0	1	5									
		0.75%	1.07%	1.01%	0.19%	0.00%	0.54%	0.40%	0.65%	0.72%	0.00%	0.52%	2.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	102	11	25	9	3	11	9	3	4	14	7	6									
		3.06%	1.68%	3.62%	1.71%	3.26%	5.95%	3.61%	1.96%	2.90%	5.13%	3.63%	3.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	80	22	15	13	1	6	1	2	2	7	8	3									
		2.40%	3.36%	2.17%	2.47%	1.09%	3.24%	0.40%	1.31%	1.45%	2.56%	4.15%	1.65%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1321	231	286	230	45	63	100	68	58	110	72	58									
		39.57%	35.27%	41.39%	43.64%	48.91%	34.05%	40.16%	44.44%	42.03%	40.29%	37.31%	31.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	2	5	2	0	2	2	1	0	1	1	0									
		0.48%	0.31%	0.72%	0.38%	0.00%	1.08%	0.80%	0.65%	0.00%	0.37%	0.52%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	2	1	0	1	1	0	0	0	0	0									
		0.15%	0.00%	0.29%	0.19%	0.00%	0.54%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	646	117	119	90	13	24	56	44	35	57	37	54									
		19.35%	17.86%	17.22%	17.08%	14.13%	12.97%	22.49%	28.76%	25.36%	20.88%	19.17%	29.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	1	2	6	1	0	0	0	1	0	0	0									
		0.33%	0.15%	0.29%	1.14%	1.09%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	18	5	2	2	0	0	3	0	0	2	3	1									
		0.54%	0.76%	0.29%	0.38%	0.00%	0.00%	1.20%	0.00%	0.00%	0.73%	1.55%	0.55%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	2	1	1	1	2	0	0	0	0	0	0									
		0.21%	0.31%	0.14%	0.19%	1.09%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	8	5	3	0	0	1	1	1	2	0	5									
		0.78%	1.22%	0.72%	0.57%	0.00%	0.00%	0.40%	0.65%	0.72%	0.73%	0.00%	2.75%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	544	121	123	62	10	52	42	14	17	40	42	21									
		16.30%	18.47%	17.80%	11.76%	10.87%	28.11%	16.87%	9.15%	12.32%	14.65%	21.76%	11.54%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	1	3	4	0	0	0	1	0	1	1	0									
		0.33%	0.15%	0.43%	0.76%	0.00%	0.00%	0.00%	0.65%	0.00%	0.37%	0.52%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	459	116	75	95	17	17	31	16	15	30	21	26									
		13.75%	17.71%	10.85%	18.03%	18.48%	9.19%	12.45%	10.46%	10.87%	10.99%	10.88%	14.29%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
