Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Аннинская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36859	1175	914	1468	2284	1427	1630	1078	1691	1372	1286	1172	1417	928	252	419	467	178	1124	473	159	521	730	352	413	167	296	149	250	438	288	79	921	305	784	390	305	308	497	486	221	121	610	67	94	660	745	489	561	853	1008	875	886	481	445	150									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37095	1190	930	1490	2180	1430	1640	1090	1690	1370	1280	1180	1435	930	255	420	480	175	1125	495	160	545	730	350	415	170	300	150	250	450	290	80	945	360	790	390	305	310	510	490	225	120	600	70	95	665	750	500	560	860	1010	890	895	485	445	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17440	663	464	737	1011	493	818	572	776	698	670	540	675	453	136	176	250	87	491	220	63	310	356	213	158	67	129	49	125	261	134	38	322	157	312	118	68	166	225	238	91	47	342	46	42	378	413	201	293	446	572	172	466	195	227	70									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4765	20	48	76	144	15	52	71	91	49	104	160	182	116	23	109	65	48	138	100	42	25	164	23	103	45	66	41	30	32	45	16	231	33	208	144	158	40	99	97	42	30	73	0	17	58	184	129	67	88	115	401	84	123	75	26									
6	Число погашенных избирательных бюллетеней	14890	507	418	677	1025	922	770	447	823	623	506	480	578	361	96	135	165	40	496	175	55	210	210	114	154	58	105	60	95	157	111	26	392	170	270	128	79	104	186	155	92	43	185	24	36	229	153	170	200	326	323	317	345	167	143	54									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4765	20	48	76	144	15	52	71	91	49	104	160	182	116	23	109	65	48	138	100	42	25	164	23	103	45	66	41	30	32	45	16	231	33	208	144	158	40	99	97	42	30	73	0	17	58	184	129	67	88	115	401	84	123	75	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17439	663	464	737	1011	493	817	572	776	698	670	540	675	453	136	176	250	87	491	220	63	310	356	213	158	67	129	49	125	261	134	38	322	157	312	118	68	166	225	238	91	47	342	46	42	378	413	201	293	446	572	172	466	195	227	70									
9	Число недействительных избирательных бюллетеней	76	0	3	0	0	13	19	3	3	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	12	0	0	0	0									
10	Число действительных избирательных бюллетеней	22128	683	509	813	1155	495	850	640	864	736	774	699	857	569	159	285	315	135	629	320	105	335	520	236	261	112	195	90	155	293	179	54	553	190	520	262	226	206	324	335	133	77	415	46	59	436	597	330	349	534	687	561	550	318	302	96									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	10	5	15	15	15	15	15	15	10	10	10	10	5	2	5	5	3	10	10	2	15	5	5	2	2	2	2	2	8	5	3	10	5	5	3	3	3	3	7	2	3	3	2	2	4	6	5	5	8	10	8	7	3	3	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	107	0	3	7	3	6	8	3	3	0	0	3	1	1	0	5	3	0	3	10	0	15	1	0	0	1	1	0	0	3	5	1	0	1	2	0	0	0	0	1	2	0	0	0	0	0	0	3	3	1	3	1	2	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	1	0	2	2	4	0	1	2	0	2	3	2	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	1	2	0	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	243	10	2	8	12	9	7	12	12	10	10	7	9	4	2	0	2	3	7	0	2	0	4	5	2	1	1	2	2	5	0	2	10	4	3	3	3	3	3	6	0	3	3	2	2	4	6	2	2	7	7	7	5	2	3	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	1	1	1	1	1	2	0	1	4	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	479	32	15	40	42	33	33	3	23	32	20	4	10	5	0	3	8	1	6	0	3	3	10	6	11	1	3	7	4	6	1	1	5	7	0	5	0	7	4	7	1	2	4	1	0	8	4	2	5	3	15	11	8	3	10	1									
		2.16%	4.69%	2.93%	4.92%	3.64%	6.50%	3.80%	0.47%	2.65%	4.28%	2.58%	0.57%	1.17%	0.88%	0.00%	1.05%	2.54%	0.74%	0.95%	0.00%	2.86%	0.90%	1.92%	2.54%	4.21%	0.89%	1.54%	7.78%	2.58%	2.05%	0.56%	1.85%	0.90%	3.68%	0.00%	1.91%	0.00%	3.40%	1.23%	2.09%	0.75%	2.60%	0.96%	2.17%	0.00%	1.83%	0.67%	0.61%	1.39%	0.56%	2.18%	1.92%	1.45%	0.94%	3.31%	1.04%									
