Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Урус-Мартановская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №434	УИК №447	УИК №448	УИК №454	УИК №464									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67069	2688	2751	2851	2507	2423	2357	2627	2522	2441	2573	2600	1008	1408	2219	1730	1651	1649	1459	1447	1201	1075	2157	2847	2904	1253	2212	1367	1590	1434	982	1419	1385	1516	1163	1493	160									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65302	2570	2630	2718	2454	2362	2298	2557	2460	2380	2528	2600	982	1373	2165	1687	1610	1604	1423	1410	1163	1048	2103	2776	2796	1221	2157	1332	1550	1394	957	1384	1346	1478	1133	1493	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	63209	2542	2588	2673	2382	2283	2212	2469	2384	2264	2413	2454	938	1313	2092	1617	1554	1563	1387	1354	1150	1011	2027	2698	2710	1182	2108	1281	1495	1332	928	1339	1309	1421	1094	1490	152									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	273	14	15	14	9	11	5	8	13	7	18	9	3	5	10	14	6	9	4	10	2	1	7	12	20	5	3	8	7	4	3	2	5	4	6	0	0									
6	Число погашенных избирательных бюллетеней	1820	14	27	31	63	68	81	80	63	109	97	137	41	55	63	56	50	32	32	46	11	36	69	66	66	34	46	43	48	58	26	43	32	53	33	3	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	273	14	15	14	9	11	5	8	13	7	18	9	3	5	10	14	6	9	4	10	2	1	7	12	20	5	3	8	7	4	3	2	5	4	6	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	63209	2542	2588	2673	2382	2283	2212	2469	2384	2264	2413	2454	938	1313	2092	1617	1554	1563	1387	1354	1150	1011	2027	2698	2710	1182	2108	1281	1495	1332	928	1339	1309	1421	1094	1490	152									
9	Число недействительных избирательных бюллетеней	38	4	2	0	3	2	4	2	0	1	0	0	0	0	0	1	0	2	3	0	0	0	1	4	2	0	2	0	0	2	0	0	0	2	0	1	0									
10	Число действительных избирательных бюллетеней	63444	2552	2601	2687	2388	2292	2213	2475	2397	2270	2431	2463	941	1318	2102	1630	1560	1570	1388	1364	1152	1012	2033	2706	2728	1187	2109	1289	1502	1334	931	1341	1314	1423	1100	1489	152									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	274	9	7	9	8	6	9	8	7	8	8	0	7	7	9	7	7	7	6	7	6	7	8	12	9	7	5	7	7	7	2	6	7	5	7	36	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	90	1	5	0	0	4	0	1	5	0	1	0	7	0	0	0	2	1	0	1	1	6	1	8	0	4	4	1	0	0	0	0	1	0	0	36	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	184	8	2	9	8	2	9	7	2	8	7	0	0	7	9	7	5	6	6	6	5	1	7	4	9	3	1	6	7	7	2	6	6	5	7	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	1	3	1	2	0	1	2	0	2	2	3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	172	11	17	8	6	5	7	6	15	5	4	5	2	2	12	2	3	3	4	3	3	2	4	7	5	2	7	2	5	4	1	2	2	2	1	3	0									
		0.27%	0.43%	0.65%	0.30%	0.25%	0.22%	0.32%	0.24%	0.63%	0.22%	0.16%	0.20%	0.21%	0.15%	0.57%	0.12%	0.19%	0.19%	0.29%	0.22%	0.26%	0.20%	0.20%	0.26%	0.18%	0.17%	0.33%	0.16%	0.33%	0.30%	0.11%	0.15%	0.15%	0.14%	0.09%	0.20%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	563	19	16	23	21	19	23	21	14	27	29	23	10	14	12	13	16	14	15	14	15	11	17	26	18	14	17	14	9	7	9	14	11	9	12	15	2									
		0.89%	0.74%	0.61%	0.86%	0.88%	0.83%	1.04%	0.85%	0.58%	1.19%	1.19%	0.93%	1.06%	1.06%	0.57%	0.80%	1.03%	0.89%	1.08%	1.03%	1.30%	1.09%	0.84%	0.96%	0.66%	1.18%	0.81%	1.09%	0.60%	0.52%	0.97%	1.04%	0.84%	0.63%	1.09%	1.01%	1.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	74	2	2	4	3	2	1	5	3	3	4	3	1	1	3	2	2	0	2	1	0	0	1	4	7	1	2	1	1	1	3	3	2	2	1	1	0									
		0.12%	0.08%	0.08%	0.15%	0.13%	0.09%	0.05%	0.20%	0.13%	0.13%	0.16%	0.12%	0.11%	0.08%	0.14%	0.12%	0.13%	0.00%	0.14%	0.07%	0.00%	0.00%	0.05%	0.15%	0.26%	0.08%	0.09%	0.08%	0.07%	0.07%	0.32%	0.22%	0.15%	0.14%	0.09%	0.07%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	61923	2491	2539	2623	2331	2237	2160	2416	2340	2216	2373	2405	918	1286	2052	1591	1523	1532	1355	1331	1125	988	1984	2641	2662	1158	2058	1258	1463	1302	909	1309	1283	1389	1074	1453	148									
		97.54%	97.46%	97.54%	97.62%	97.49%	97.52%	97.43%	97.54%	97.62%	97.58%	97.61%	97.65%	97.56%	97.57%	97.62%	97.55%	97.63%	97.46%	97.41%	97.58%	97.66%	97.63%	97.54%	97.45%	97.51%	97.56%	97.49%	97.60%	97.40%	97.46%	97.64%	97.61%	97.64%	97.47%	97.64%	97.52%	97.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	69	8	5	4	1	2	3	2	3	1	1	2	0	2	3	0	0	0	0	0	0	0	3	7	4	4	7	0	2	1	1	0	0	0	0	3	0									
		0.11%	0.31%	0.19%	0.15%	0.04%	0.09%	0.14%	0.08%	0.13%	0.04%	0.04%	0.08%	0.00%	0.15%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.26%	0.15%	0.34%	0.33%	0.00%	0.13%	0.07%	0.11%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	0	1	0	2	1	2	0	1	0	2	0	0	0	0	1	0	1	0	0	3	0	2	2	0	0	1	0	1	0	0	0	2	0	0	1	0									
		0.04%	0.00%	0.04%	0.00%	0.08%	0.04%	0.09%	0.00%	0.04%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.06%	0.00%	0.00%	0.26%	0.00%	0.10%	0.07%	0.00%	0.00%	0.05%	0.00%	0.07%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.07%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	3	0	2	0	2	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0									
		0.03%	0.12%	0.00%	0.07%	0.00%	0.09%	0.05%	0.04%	0.04%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.07%	0.00%	0.07%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9	0	1	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0									
		0.01%	0.00%	0.04%	0.04%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	13	2	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0									
		0.02%	0.08%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.04%	0.04%	0.04%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.07%	0.00%	0.00%	0.08%	0.00%	0.09%	0.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	162	9	8	5	0	7	6	5	3	5	8	7	1	2	7	6	3	6	1	1	2	2	7	5	9	3	2	7	6	4	2	5	3	7	3	5	0									
		0.26%	0.35%	0.31%	0.19%	0.00%	0.31%	0.27%	0.20%	0.13%	0.22%	0.33%	0.28%	0.11%	0.15%	0.33%	0.37%	0.19%	0.38%	0.07%	0.07%	0.17%	0.20%	0.34%	0.18%	0.33%	0.25%	0.09%	0.54%	0.40%	0.30%	0.21%	0.37%	0.23%	0.49%	0.27%	0.34%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	409	7	11	17	24	14	10	18	17	11	7	17	9	10	13	13	12	14	10	12	3	8	13	14	22	4	14	7	14	13	6	7	10	11	8	7	2									
		0.64%	0.27%	0.42%	0.63%	1.00%	0.61%	0.45%	0.73%	0.71%	0.48%	0.29%	0.69%	0.96%	0.76%	0.62%	0.80%	0.77%	0.89%	0.72%	0.88%	0.26%	0.79%	0.64%	0.52%	0.81%	0.34%	0.66%	0.54%	0.93%	0.97%	0.64%	0.52%	0.76%	0.77%	0.73%	0.47%	1.32%									
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
