Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Осинниковская городская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852					
1	"Число избирателей, внесенных в списки"	51189	2795	2712	2634	2604	2652	2567	2635	1130	1469	583	1723	960	1567	2514	1567	1019	1705	1045	1645	653	2158	580	452	1408	2326	793	1809	2776	2708					
2	"Число бюллетеней, полученных участковыми комиссиями"	49100	2700	2600	2600	2600	2600	2500	2600	1100	1400	550	1600	900	1500	2500	1500	900	1600	1000	1600	600	2100	500	400	1300	2200	750	1700	2700	2500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24902	1395	1405	1406	1378	1428	1465	1399	643	729	274	788	471	627	926	638	464	710	451	636	337	818	212	179	700	1234	449	972	1600	1168					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2261	44	26	18	49	44	54	67	37	66	49	88	148	105	149	67	110	41	43	154	41	125	39	79	100	78	63	125	75	177					
6	Число погашенных бюллетеней	21930	1261	1169	1176	1173	1128	981	1134	420	605	227	724	281	768	1425	795	326	842	506	810	222	1157	249	142	500	888	238	603	1025	1155					
7	Число бюллетеней в переносных ящиках для голосования	2261	44	26	18	49	44	54	67	37	66	49	88	148	105	149	67	110	41	43	154	41	125	39	79	100	78	63	125	75	177					
8	Число бюллетеней в стационарных ящиках для голосования	24895	1395	1405	1406	1378	1428	1465	1399	643	729	274	788	471	627	926	638	464	703	451	636	337	818	212	179	700	1234	449	972	1600	1168					
9	Число недействительных бюллетеней	457	13	12	6	22	2	17	20	5	19	3	17	7	7	13	5	8	12	9	140	7	11	9	7	30	22	4	6	5	19					
10	Число действительных бюллетеней	26699	1426	1419	1418	1405	1470	1502	1446	675	776	320	859	612	725	1062	700	566	732	485	650	371	932	242	251	770	1290	508	1091	1670	1326					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	565	30	30	30	30	30	30	30	10	15	10	15	10	15	30	15	10	15	10	15	10	25	10	10	15	25	10	20	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	179	11	11	11	13	12	7	14	4	6	4	5	8	2	2	2	1	3	4	2	10	4	1	1	7	2	10	7	12	3					
