Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Тюменская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747					
1	"Число избирателей, внесенных в списки"	71027	1590	3026	3006	1016	415	1072	189	2009	1991	2524	2839	2585	2912	2513	1158	753	792	1598	1957	1587	438	1024	280	358	2385	2538	649	355	1581	984	1190	2911	296	537	828	469	673	224	199	146	241	2202	285	209	2670	1005	488	70	799	915	2056	560	92	184	2375	531	306	354	360	1277	451					
2	"Число бюллетеней, полученных участковыми комиссиями"	69753	1313	2999	2998	1022	381	1062	195	1988	1928	2527	2747	2465	2823	2413	1155	867	542	1559	1895	1555	416	1024	285	354	2188	2638	657	364	1619	1006	1160	2932	309	554	736	474	663	231	201	154	248	2230	290	205	2667	1030	492	74	773	893	2001	557	94	186	2396	542	316	359	369	1252	380					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	35086	867	1417	1146	672	320	541	93	1057	1016	1212	1481	992	1430	1010	560	442	309	839	947	597	252	474	125	265	1403	1408	348	225	724	462	627	1495	136	254	263	296	313	146	116	102	114	1152	121	112	1099	489	197	44	428	438	1181	323	63	113	1160	225	93	130	200	719	303					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1171	17	19	30	7	0	11	6	17	16	21	8	9	49	60	6	12	109	8	9	16	3	36	15	8	11	18	2	20	17	2	46	20	19	5	111	8	3	11	5	0	35	25	7	0	26	22	5	0	8	12	80	15	0	0	35	16	15	45	12	11	12					
6	Число погашенных бюллетеней	33495	429	1563	1822	343	61	510	96	914	896	1294	1258	1464	1344	1343	589	413	124	712	938	942	161	514	145	81	774	1212	307	119	878	542	487	1417	154	295	362	170	347	74	80	52	99	1053	162	93	1542	519	290	30	337	443	740	219	31	73	1201	301	208	184	157	522	65					
7	Число бюллетеней в переносных ящиках для голосования	1171	17	19	30	7	0	11	6	17	16	21	8	9	49	60	6	12	109	8	9	16	3	36	15	8	11	18	2	20	17	2	46	20	19	5	111	8	3	11	5	0	35	25	7	0	26	22	5	0	8	12	80	15	0	0	35	16	15	45	12	11	12					
8	Число бюллетеней в стационарных ящиках для голосования	35033	850	1417	1146	672	320	535	93	1057	1016	1212	1481	962	1430	1010	560	442	309	839	947	597	252	474	125	265	1403	1408	348	225	724	462	627	1495	136	254	263	296	313	146	116	102	114	1152	121	112	1099	489	197	44	428	438	1181	323	63	113	1160	225	93	130	200	719	303					
9	Число недействительных бюллетеней	452	11	0	1	4	1	8	1	17	7	22	15	2	14	4	7	10	4	14	15	12	2	11	2	4	22	14	4	0	6	0	7	25	7	7	1	3	5	1	0	0	1	16	2	3	16	14	2	0	11	10	29	5	7	4	12	8	1	3	4	12	2					
10	Число действительных бюллетеней	35752	856	1436	1175	675	319	538	98	1057	1025	1211	1474	969	1465	1066	559	444	414	833	941	601	253	499	138	269	1392	1412	346	245	735	464	666	1490	148	252	373	301	311	156	121	102	148	1161	126	109	1109	497	200	44	425	440	1232	333	56	109	1183	233	107	172	208	718	313					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1097	23	46	47	16	7	15	4	32	30	39	46	39	18	12	11	41	45	23	30	24	7	15	5	6	36	38	10	5	23	14	18	42	6	8	6	13	10	6	6	4	6	33	5	6	38	15	7	3	12	14	32	8	3	5	35	9	5	5	5	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	172	13	5	5	9	2	3	3	5	5	3	2	1	8	1	2	3	2	4	5	2	1	9	1	0	3	2	1	4	5	0	3	7	0	0	2	8	2	1	0	2	0	6	0	0	2	6	0	0	0	7	3	0	0	0	10	0	1	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	182	10	8	4	2	2	3	0	1	3	0	2	7	4	11	2	0	8	2	1	0	1	2	0	0	5	5	1	3	2	2	5	0	3	1	4	1	1	1	0	2	1	4	0	3	8	2	0	0	9	2	5	3	0	1	27	1	1	1	1	3	1					
14	Число погашенных открепительных удостоверений	925	10	41	42	7	5	12	1	27	25	36	44	38	10	11	9	38	43	19	25	22	6	6	4	6	33	36	9	1	18	14	15	35	6	8	4	5	8	5	6	2	6	27	5	6	36	9	7	3	12	7	29	8	3	5	25	9	4	5	5	12	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
18	"1. ""ЕДИНЕНИЕ"""	656	29	15	21	11	16	10	2	15	7	12	16	10	25	11	8	9	5	15	24	10	9	10	2	4	27	27	11	3	21	10	5	24	2	6	9	7	8	4	2	4	12	24	2	3	8	9	4	0	17	4	28	12	0	5	22	6	3	2	8	15	6					
		1.81%	3.34%	1.04%	1.78%	1.62%	5.0%	1.83%	2.02%	1.39%	0.67%	0.97%	1.07%	1.02%	1.69%	1.02%	1.41%	1.98%	1.19%	1.77%	2.51%	1.63%	3.52%	1.96%	1.42%	1.46%	1.90%	1.89%	3.14%	1.22%	2.83%	2.15%	0.74%	1.58%	1.29%	2.31%	2.40%	2.30%	2.53%	2.54%	1.65%	3.92%	8.05%	2.03%	1.56%	2.67%	0.71%	1.76%	1.98%	0.0%	3.89%	0.88%	2.22%	3.55%	0.0%	4.42%	1.84%	2.48%	2.77%	1.14%	3.77%	2.05%	1.90%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	526	7	18	7	15	3	4	2	21	12	32	21	15	17	17	11	9	7	12	18	9	4	6	0	2	11	25	5	2	6	5	25	54	1	4	10	1	7	1	4	0	1	14	2	1	11	8	1	0	10	5	13	7	0	1	13	0	2	0	0	3	4					
		1.45%	0.80%	1.25%	0.59%	2.20%	0.93%	0.73%	2.02%	1.95%	1.16%	2.59%	1.41%	1.54%	1.14%	1.58%	1.94%	1.98%	1.67%	1.41%	1.88%	1.46%	1.56%	1.17%	0.0%	0.73%	0.77%	1.75%	1.42%	0.81%	0.80%	1.07%	3.71%	3.56%	0.64%	1.54%	2.67%	0.32%	2.21%	0.63%	3.30%	0.0%	0.67%	1.18%	1.56%	0.89%	0.97%	1.56%	0.49%	0.0%	2.29%	1.11%	1.03%	2.07%	0.0%	0.88%	1.08%	0.0%	1.85%	0.0%	0.0%	0.41%	1.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	614	16	19	20	8	6	6	3	10	16	14	25	24	19	20	9	6	9	18	20	6	3	12	5	1	26	22	2	3	7	6	9	20	7	5	9	3	4	4	4	3	0	33	2	2	28	12	2	0	7	9	18	15	0	1	34	7	3	1	0	4	7					
		1.69%	1.84%	1.32%	1.70%	1.17%	1.87%	1.09%	3.03%	0.93%	1.55%	1.13%	1.67%	2.47%	1.28%	1.86%	1.59%	1.32%	2.15%	2.12%	2.09%	0.97%	1.17%	2.35%	3.57%	0.36%	1.83%	1.54%	0.57%	1.22%	0.94%	1.29%	1.33%	1.32%	4.51%	1.93%	2.40%	0.98%	1.26%	2.54%	3.30%	2.94%	0.0%	2.80%	1.56%	1.78%	2.48%	2.34%	0.99%	0.0%	1.60%	2.0%	1.42%	4.43%	0.0%	0.88%	2.84%	2.90%	2.77%	0.57%	0.0%	0.54%	2.22%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	619	14	26	9	14	2	3	4	28	20	27	30	20	27	23	10	8	6	10	15	3	6	15	2	3	11	29	3	1	10	7	15	40	5	7	10	1	5	2	1	0	0	21	4	0	25	6	5	0	7	7	24	2	0	0	27	1	0	0	7	10	1					
		1.70%	1.61%	1.81%	0.76%	2.06%	0.62%	0.54%	4.04%	2.60%	1.93%	2.18%	2.01%	2.05%	1.82%	2.14%	1.76%	1.76%	1.43%	1.18%	1.56%	0.48%	2.35%	2.94%	1.42%	1.09%	0.77%	2.03%	0.85%	0.40%	1.34%	1.50%	2.22%	2.64%	3.22%	2.70%	2.67%	0.32%	1.58%	1.27%	0.82%	0.0%	0.0%	1.78%	3.12%	0.0%	2.22%	1.17%	2.47%	0.0%	1.60%	1.55%	1.90%	0.59%	0.0%	0.0%	2.25%	0.41%	0.0%	0.0%	3.30%	1.36%	0.31%					
22	"5. ""За Русь Святую"""	132	1	1	4	5	2	4	5	3	5	1	1	5	4	6	1	1	2	6	2	5	1	4	0	0	7	4	2	1	1	4	0	4	1	0	0	0	2	0	0	1	0	6	0	4	7	0	0	0	3	2	8	1	0	3	2	0	0	0	0	0	0					
		0.36%	0.11%	0.06%	0.34%	0.73%	0.62%	0.73%	5.05%	0.27%	0.48%	0.08%	0.06%	0.51%	0.27%	0.56%	0.17%	0.22%	0.47%	0.70%	0.20%	0.81%	0.39%	0.78%	0.0%	0.0%	0.49%	0.28%	0.57%	0.40%	0.13%	0.86%	0.0%	0.26%	0.64%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.98%	0.0%	0.50%	0.0%	3.57%	0.62%	0.0%	0.0%	0.0%	0.68%	0.44%	0.63%	0.29%	0.0%	2.65%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	112	1	5	6	1	4	0	1	3	4	1	0	5	3	2	1	0	1	3	4	1	1	3	0	1	2	3	2	0	5	5	2	8	2	3	2	0	1	0	0	0	0	2	0	1	7	3	2	0	3	2	3	1	0	0	0	1	0	1	0	0	0					
		0.30%	0.11%	0.34%	0.51%	0.14%	1.25%	0.0%	1.01%	0.27%	0.38%	0.08%	0.0%	0.51%	0.20%	0.18%	0.17%	0.0%	0.23%	0.35%	0.41%	0.16%	0.39%	0.58%	0.0%	0.36%	0.14%	0.21%	0.57%	0.0%	0.67%	1.07%	0.29%	0.52%	1.29%	1.15%	0.53%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.89%	0.62%	0.58%	0.99%	0.0%	0.68%	0.44%	0.23%	0.29%	0.0%	0.0%	0.0%	0.41%	0.0%	0.57%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	188	6	8	5	7	2	1	0	7	11	6	10	6	8	6	4	3	0	4	1	4	2	0	0	1	3	8	2	2	3	1	4	7	0	3	0	1	0	1	2	0	1	8	0	1	5	4	2	2	2	3	9	1	1	0	4	1	0	1	0	2	2					
		0.51%	0.69%	0.55%	0.42%	1.03%	0.62%	0.18%	0.0%	0.65%	1.06%	0.48%	0.67%	0.61%	0.54%	0.56%	0.70%	0.66%	0.0%	0.47%	0.10%	0.65%	0.78%	0.0%	0.0%	0.36%	0.21%	0.56%	0.57%	0.81%	0.40%	0.21%	0.59%	0.46%	0.0%	1.15%	0.0%	0.32%	0.0%	0.63%	1.65%	0.0%	0.67%	0.67%	0.0%	0.89%	0.44%	0.78%	0.99%	4.54%	0.45%	0.66%	0.71%	0.29%	1.58%	0.0%	0.33%	0.41%	0.0%	0.57%	0.0%	0.27%	0.63%					
25	"8. ""Народно-республиканская партия России"""	55	0	0	1	1	1	1	0	0	0	3	3	1	0	0	0	2	1	1	2	0	0	0	0	0	4	3	0	1	2	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	2	2	3	1	4	0	3	1	0	0	1	0	2	1	0	3	0					
		0.15%	0.0%	0.0%	0.08%	0.14%	0.31%	0.18%	0.0%	0.0%	0.0%	0.24%	0.20%	0.10%	0.0%	0.0%	0.0%	0.44%	0.23%	0.11%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.21%	0.0%	0.40%	0.26%	0.21%	0.14%	0.0%	0.64%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.17%	0.39%	1.48%	2.27%	0.91%	0.0%	0.23%	0.29%	0.0%	0.0%	0.08%	0.0%	1.85%	0.57%	0.0%	0.41%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	107	2	7	2	1	0	0	0	2	1	3	5	4	4	3	2	2	3	4	3	2	0	3	0	0	4	3	0	0	2	1	1	8	0	0	0	0	0	0	1	0	0	7	0	0	3	1	1	0	1	5	4	0	1	0	5	1	0	0	0	3	2					
		0.29%	0.23%	0.48%	0.17%	0.14%	0.0%	0.0%	0.0%	0.18%	0.09%	0.24%	0.33%	0.41%	0.27%	0.28%	0.35%	0.44%	0.71%	0.47%	0.31%	0.32%	0.0%	0.58%	0.0%	0.0%	0.28%	0.21%	0.0%	0.0%	0.26%	0.21%	0.14%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.59%	0.0%	0.0%	0.26%	0.19%	0.49%	0.0%	0.22%	1.11%	0.31%	0.0%	1.58%	0.0%	0.41%	0.41%	0.0%	0.0%	0.0%	0.41%	0.63%					
27	"10. ""Аграрная партия России"""	996	7	14	17	11	1	30	5	30	14	34	29	30	19	10	10	5	0	30	36	11	6	11	13	4	31	28	3	4	11	18	13	115	3	5	9	2	7	2	1	1	2	16	2	2	32	25	7	0	18	20	111	18	1	6	59	16	1	12	1	14	3					
		2.75%	0.80%	0.97%	1.44%	1.62%	0.31%	5.49%	5.05%	2.79%	1.35%	2.75%	1.94%	3.08%	1.28%	0.93%	1.76%	1.10%	0.0%	3.54%	3.76%	1.79%	2.35%	2.15%	9.28%	1.46%	2.19%	1.96%	0.85%	1.63%	1.48%	3.87%	1.93%	7.59%	1.93%	1.93%	2.40%	0.65%	2.21%	1.27%	0.82%	0.98%	1.34%	1.35%	1.56%	1.78%	2.84%	4.89%	3.46%	0.0%	4.12%	4.44%	8.80%	5.32%	1.58%	5.30%	4.93%	6.63%	0.92%	6.85%	0.47%	1.91%	0.95%					
28	"11. ""Истинные патриоты России"""	41	2	2	2	0	0	1	0	0	0	1	2	1	2	0	0	0	0	0	0	1	5	0	0	0	4	1	0	0	1	0	1	2	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	4	1					
		0.11%	0.23%	0.13%	0.17%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.08%	0.13%	0.10%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	1.96%	0.0%	0.0%	0.0%	0.28%	0.07%	0.0%	0.0%	0.13%	0.0%	0.14%	0.13%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.08%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.22%	0.0%	0.07%	0.29%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.54%	0.31%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1553	27	46	42	20	3	10	4	40	56	39	84	39	82	50	39	24	10	45	50	36	11	30	5	9	61	47	17	8	39	28	26	53	6	8	23	7	23	6	5	6	4	70	1	3	40	21	10	2	18	18	92	17	1	0	29	11	7	6	5	19	15					
		4.28%	3.11%	3.20%	3.57%	2.94%	0.93%	1.83%	4.04%	3.72%	5.42%	3.16%	5.64%	4.01%	5.54%	4.67%	6.89%	5.28%	2.39%	5.31%	5.23%	5.87%	4.31%	5.88%	3.57%	3.29%	4.31%	3.29%	4.85%	3.26%	5.26%	6.03%	3.86%	3.49%	3.87%	3.08%	6.14%	2.30%	7.27%	3.82%	4.13%	5.88%	2.68%	5.94%	0.78%	2.67%	3.55%	4.10%	4.95%	4.54%	4.12%	4.0%	7.29%	5.02%	1.58%	0.0%	2.42%	4.56%	6.48%	3.42%	2.35%	2.60%	4.76%					
30	"13. ""Демократическая партия России"""	121	3	2	3	1	2	1	1	3	4	4	2	3	4	5	6	4	1	3	3	5	1	3	1	0	3	4	1	1	7	0	0	1	0	2	1	0	0	0	2	0	1	4	0	1	3	1	0	0	1	3	6	3	0	0	4	0	0	2	3	2	0					
		0.33%	0.34%	0.13%	0.25%	0.14%	0.62%	0.18%	1.01%	0.27%	0.38%	0.32%	0.13%	0.30%	0.27%	0.46%	1.06%	0.88%	0.23%	0.35%	0.31%	0.81%	0.39%	0.58%	0.71%	0.0%	0.21%	0.28%	0.28%	0.40%	0.94%	0.0%	0.0%	0.06%	0.0%	0.77%	0.26%	0.0%	0.0%	0.0%	1.65%	0.0%	0.67%	0.33%	0.0%	0.89%	0.26%	0.19%	0.0%	0.0%	0.22%	0.66%	0.47%	0.88%	0.0%	0.0%	0.33%	0.0%	0.0%	1.14%	1.41%	0.27%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	126	6	2	4	3	0	1	0	3	2	3	4	4	2	3	5	0	1	1	5	3	2	1	0	2	6	2	0	0	1	3	1	1	1	2	0	5	2	0	0	0	0	1	0	3	1	0	1	0	2	0	2	5	0	14	2	2	0	0	0	10	2					
		0.34%	0.69%	0.13%	0.34%	0.44%	0.0%	0.18%	0.0%	0.27%	0.19%	0.24%	0.26%	0.41%	0.13%	0.28%	0.88%	0.0%	0.23%	0.11%	0.52%	0.48%	0.78%	0.19%	0.0%	0.73%	0.42%	0.14%	0.0%	0.0%	0.13%	0.64%	0.14%	0.06%	0.64%	0.77%	0.0%	1.64%	0.63%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	2.67%	0.08%	0.0%	0.49%	0.0%	0.45%	0.0%	0.15%	1.47%	0.0%	12.38%	0.16%	0.82%	0.0%	0.0%	0.0%	1.36%	0.63%					
32	"15. ""Партия СЛОН"""	46	2	2	4	3	0	1	0	2	2	2	0	1	2	1	0	0	1	1	1	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	2	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	4	2	0	1	0	0	0	0	0	2	0					
