Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
"Наименование Избирательной комиссии:    Рязань, Советская"																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1027									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65351	1486	1847	2015	2419	2498	2704	2454	2705	3219	2181	2305	2381	1104	1874	2092	2632	1992	2060	1144	1340	1370	1268	1912	2237	2227	2834	2330	1651	1116	2271	1208	1005	1470									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47850	1000	1350	1450	1750	1800	1950	1750	1700	2150	1500	1700	1700	800	1350	1500	1900	1450	1450	850	950	1000	900	1400	1600	1550	2850	1650	1200	800	1550	850	700	1750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24858	482	514	673	824	723	801	780	1036	1036	696	900	849	433	665	667	850	633	654	353	469	339	412	750	762	680	2531	1270	531	433	835	430	377	1470									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1089	92	12	3	24	23	3	4	5	9	95	11	11	13	10	31	14	11	20	6	10	68	86	30	2	42	281	4	5	9	25	120	10	0									
6	Число погашенных избирательных бюллетеней	21903	426	824	774	902	1054	1146	966	659	1105	709	789	840	354	675	802	1036	806	776	491	471	593	402	620	836	828	38	376	664	358	690	300	313	280									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1088	92	12	3	24	23	3	4	5	9	95	11	11	13	10	31	14	11	20	6	10	68	86	30	2	42	280	4	5	9	25	120	10	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24815	482	514	673	822	723	801	780	1034	1036	695	900	848	431	665	667	850	622	654	353	468	339	410	750	761	680	2520	1268	531	433	834	429	377	1465									
9	Число недействительных избирательных бюллетеней	348	6	13	9	10	7	6	9	17	9	14	11	9	1	12	7	6	6	11	4	8	7	4	8	12	10	38	26	17	6	15	2	7	21									
10	Число действительных избирательных бюллетеней	25555	568	513	667	836	739	798	775	1022	1036	776	900	850	443	663	691	858	627	663	355	470	400	492	772	751	712	2762	1246	519	436	844	547	380	1444									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1108	20	20	20	36	36	50	25	25	30	30	46	51	30	31	30	50	40	20	20	20	15	15	41	36	45	170	25	20	15	46	15	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	816	11	18	12	33	30	44	24	16	26	15	29	39	16	23	27	29	28	18	12	6	11	9	36	31	35	148	19	18	7	22	12	6	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1423	39	6	7	28	17	19	6	322	175	38	16	36	24	19	10	26	19	9	9	30	19	10	17	11	39	100	9	16	27	103	82	30	105									
14	Число погашенных неиспользованных открепительных удостоверений	292	9	2	8	3	6	6	1	9	4	15	17	12	14	8	3	21	12	2	8	14	4	6	5	5	10	22	6	2	8	24	3	9	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	112	0	2	3	7	1	7	5	4	2	3	4	7	5	3	2	7	6	1	1	4	0	1	1	0	0	4	2	9	10	6	4	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
