Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Кольская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №413	УИК №414	УИК №416	УИК №418	УИК №419	УИК №420	УИК №469									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33915	2310	2248	2689	1227	1876	1810	1491	1846	979	1569	1441	167	727	534	1459	539	805	98	553	121	216	1327	897	114	350	458	223	255	396	1319	193	1392	738	335	1100	113									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32217	2250	2250	1900	1200	1850	1800	1440	1770	960	1560	1450	165	682	530	1260	520	800	90	555	115	210	1321	900	119	350	455	220	200	410	1300	194	1100	740	331	1100	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	109	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	39	0	4	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12610	977	825	951	306	727	685	577	597	309	593	441	51	252	246	544	210	312	39	247	59	95	537	300	24	87	153	99	131	171	492	78	636	300	145	374	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	250	5	10	12	6	3	2	11	53	6	2	14	3	7	10	6	2	10	0	8	2	6	19	5	0	1	1	1	0	3	2	6	15	4	0	1	14									
6	Число погашенных избирательных бюллетеней	19248	1268	1415	937	888	1120	1113	852	1120	645	965	995	111	357	274	710	308	478	51	300	54	109	726	595	91	262	301	120	69	236	806	110	449	436	186	725	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	359	5	10	12	6	3	2	11	53	6	2	14	3	73	10	6	2	10	0	8	2	6	58	5	4	1	1	1	0	3	2	6	15	4	0	1	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12598	975	824	949	306	725	684	577	597	309	593	441	51	252	244	544	210	312	39	247	59	95	535	300	24	87	153	99	131	171	492	78	636	300	145	374	40									
9	Число недействительных избирательных бюллетеней	504	29	31	36	17	20	29	26	28	17	23	17	1	16	6	14	11	16	2	16	2	0	23	15	0	0	8	5	2	12	20	6	23	11	11	11	0									
10	Число действительных избирательных бюллетеней	12453	951	803	925	295	708	657	562	622	298	572	438	53	309	248	536	201	306	37	239	59	101	570	290	28	88	146	95	129	162	474	78	628	293	134	364	54									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	340	20	20	20	15	15	15	15	15	8	15	15	5	5	6	20	6	6	4	6	4	4	15	10	4	6	8	6	6	6	10	4	10	6	4	6	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	132	12	12	8	7	8	6	2	7	1	7	9	1	1	0	15	3	2	0	0	1	0	3	0	0	1	2	0	2	2	4	0	10	2	1	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	172	38	2	17	5	1	3	6	14	3	4	1	1	19	2	3	2	1	5	0	2	2	4	5	1	1	1	6	0	4	7	0	3	3	1	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	208	8	8	12	8	7	9	13	8	7	8	6	4	4	6	5	3	4	4	6	3	4	12	10	4	5	6	6	4	4	6	4	0	4	3	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	132	9	11	7	12	5	3	6	12	4	4	5	1	0	4	8	0	1	0	3	0	2	7	3	0	3	0	3	1	0	5	2	5	1	0	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	191	10	10	10	6	10	4	14	10	6	6	3	0	13	0	13	1	5	0	0	2	1	15	4	1	2	2	0	4	0	16	1	11	3	1	6	1									
		1.47%	1.02%	1.20%	1.04%	1.92%	1.37%	0.58%	2.38%	1.54%	1.90%	1.01%	0.66%	0.00%	4.00%	0.00%	2.36%	0.47%	1.55%	0.00%	0.00%	3.28%	0.99%	2.53%	1.31%	3.57%	2.27%	1.30%	0.00%	3.05%	0.00%	3.24%	1.19%	1.69%	0.99%	0.69%	1.60%	1.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	358	19	18	30	5	17	17	13	14	8	21	22	2	7	6	12	11	6	2	7	2	5	22	10	1	2	4	3	1	15	11	1	14	7	5	10	8									
		2.76%	1.94%	2.16%	3.12%	1.60%	2.34%	2.48%	2.21%	2.15%	2.54%	3.53%	4.84%	3.70%	2.15%	2.36%	2.18%	5.19%	1.86%	5.13%	2.75%	3.28%	4.95%	3.71%	3.28%	3.57%	2.27%	2.60%	3.00%	0.76%	8.62%	2.23%	1.19%	2.15%	2.30%	3.45%	2.67%	14.81%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	461	37	24	36	18	33	33	13	23	12	22	17	3	6	8	20	12	14	2	7	1	1	17	8	2	4	2	4	5	2	23	2	14	12	6	13	5									
		3.56%	3.78%	2.88%	3.75%	5.77%	4.53%	4.81%	2.21%	3.54%	3.81%	3.70%	3.74%	5.56%	1.85%	3.15%	3.64%	5.66%	4.35%	5.13%	2.75%	1.64%	0.99%	2.87%	2.62%	7.14%	4.55%	1.30%	4.00%	3.82%	1.15%	4.66%	2.38%	2.15%	3.95%	4.14%	3.47%	9.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5534	387	345	409	111	315	273	261	268	152	256	173	16	156	127	254	80	136	21	108	34	55	247	124	13	45	67	50	52	73	188	45	330	140	67	132	24									
		42.71%	39.49%	41.37%	42.56%	35.58%	43.27%	39.80%	44.39%	41.23%	48.25%	43.03%	38.02%	29.63%	48.00%	50.00%	46.18%	37.74%	42.24%	53.85%	42.35%	55.74%	54.46%	41.65%	40.66%	46.43%	51.14%	43.51%	50.00%	39.69%	41.95%	38.06%	53.57%	50.69%	46.05%	46.21%	35.20%	44.44%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	116	8	3	8	6	6	9	5	8	3	6	2	0	3	1	8	1	5	0	1	1	0	6	3	0	0	1	0	1	1	6	2	5	1	0	6	0									
		0.90%	0.82%	0.36%	0.83%	1.92%	0.82%	1.31%	0.85%	1.23%	0.95%	1.01%	0.44%	0.00%	0.92%	0.39%	1.45%	0.47%	1.55%	0.00%	0.39%	1.64%	0.00%	1.01%	0.98%	0.00%	0.00%	0.65%	0.00%	0.76%	0.57%	1.21%	2.38%	0.77%	0.33%	0.00%	1.60%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	130	17	10	13	4	2	10	5	4	4	5	5	0	3	0	5	1	4	0	0	0	0	5	3	1	2	2	1	3	0	7	0	6	1	0	4	3									
		1.00%	1.73%	1.20%	1.35%	1.28%	0.27%	1.46%	0.85%	0.62%	1.27%	0.84%	1.10%	0.00%	0.92%	0.00%	0.91%	0.47%	1.24%	0.00%	0.00%	0.00%	0.00%	0.84%	0.98%	3.57%	2.27%	1.30%	1.00%	2.29%	0.00%	1.42%	0.00%	0.92%	0.33%	0.00%	1.07%	5.56%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2674	195	180	183	84	133	132	124	140	57	111	107	18	55	63	113	51	59	6	63	13	17	112	71	3	18	32	28	40	33	88	14	114	65	33	111	8									
		20.64%	19.90%	21.58%	19.04%	26.92%	18.27%	19.24%	21.09%	21.54%	18.10%	18.66%	23.52%	33.33%	16.92%	24.80%	20.55%	24.06%	18.32%	15.38%	24.71%	21.31%	16.83%	18.89%	23.28%	10.71%	20.45%	20.78%	28.00%	30.53%	18.97%	17.81%	16.67%	17.51%	21.38%	22.76%	29.60%	14.81%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	106	12	6	7	5	4	12	2	10	2	5	3	0	5	0	8	1	2	0	1	0	1	3	1	0	1	1	0	0	1	9	0	2	0	2	0	0									
		0.82%	1.22%	0.72%	0.73%	1.60%	0.55%	1.75%	0.34%	1.54%	0.63%	0.84%	0.66%	0.00%	1.54%	0.00%	1.45%	0.47%	0.62%	0.00%	0.39%	0.00%	0.99%	0.51%	0.33%	0.00%	1.14%	0.65%	0.00%	0.00%	0.57%	1.82%	0.00%	0.31%	0.00%	1.38%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	145	14	11	12	3	16	12	2	3	1	6	5	1	6	2	8	5	1	0	3	0	0	8	4	0	0	1	1	2	1	8	0	2	1	1	5	0									
		1.12%	1.43%	1.32%	1.25%	0.96%	2.20%	1.75%	0.34%	0.46%	0.32%	1.01%	1.10%	1.85%	1.85%	0.79%	1.45%	2.36%	0.31%	0.00%	1.18%	0.00%	0.00%	1.35%	1.31%	0.00%	0.00%	0.65%	1.00%	1.53%	0.57%	1.62%	0.00%	0.31%	0.33%	0.69%	1.33%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	2	2	0	2	1	2	1	2	0	0	0	0	1	1	3	1	0	0	0	0	0	1	1	1	0	0	0	0	0	3	0	3	0	1	1	0									
		0.22%	0.20%	0.24%	0.00%	0.64%	0.14%	0.29%	0.17%	0.31%	0.00%	0.00%	0.00%	0.00%	0.31%	0.39%	0.55%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.33%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.46%	0.00%	0.69%	0.27%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	238	19	17	26	5	20	14	13	8	3	5	5	0	2	9	15	2	5	0	3	0	2	14	4	0	2	2	2	4	0	17	3	7	3	0	5	2									
		1.84%	1.94%	2.04%	2.71%	1.60%	2.75%	2.04%	2.21%	1.23%	0.95%	0.84%	1.10%	0.00%	0.62%	3.54%	2.73%	0.94%	1.55%	0.00%	1.18%	0.00%	1.98%	2.36%	1.31%	0.00%	2.27%	1.30%	2.00%	3.05%	0.00%	3.44%	3.57%	1.08%	0.99%	0.00%	1.33%	3.70%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1545	128	103	92	27	102	94	69	87	40	95	59	9	42	16	52	24	40	5	24	3	18	79	28	5	4	21	3	11	27	65	5	81	34	7	46	0									
		11.92%	13.06%	12.35%	9.57%	8.65%	14.01%	13.70%	11.73%	13.38%	12.70%	15.97%	12.97%	16.67%	12.92%	6.30%	9.45%	11.32%	12.42%	12.82%	9.41%	4.92%	17.82%	13.32%	9.18%	17.86%	4.55%	13.64%	3.00%	8.40%	15.52%	13.16%	5.95%	12.44%	11.18%	4.83%	12.27%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	6	3	4	2	2	2	1	3	1	6	1	0	2	1	2	1	2	1	1	0	0	4	0	0	0	0	0	1	1	3	0	3	1	0	1	0									
		0.42%	0.61%	0.36%	0.42%	0.64%	0.27%	0.29%	0.17%	0.46%	0.32%	1.01%	0.22%	0.00%	0.62%	0.39%	0.36%	0.47%	0.62%	2.56%	0.39%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.57%	0.61%	0.00%	0.46%	0.33%	0.00%	0.27%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	871	97	71	95	17	47	43	39	42	9	28	36	4	8	14	23	10	27	0	21	3	1	37	29	1	8	11	3	5	8	30	5	36	25	11	24	3									
		6.72%	9.90%	8.51%	9.89%	5.45%	6.46%	6.27%	6.63%	6.46%	2.86%	4.71%	7.91%	7.41%	2.46%	5.51%	4.18%	4.72%	8.39%	0.00%	8.24%	4.92%	0.99%	6.24%	9.51%	3.57%	9.09%	7.14%	3.00%	3.82%	4.60%	6.07%	5.95%	5.53%	8.22%	7.59%	6.40%	5.56%									
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
