Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Эхирит-Булагатская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23818	1697	784	1547	2226	2347	2792	1323	270	335	233	674	669	250	107	333	374	441	295	183	390	172	223	583	223	137	587	331	457	81	144	182	790	150	454	135	229	385	262	249	210	376	188									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23600	1687	783	1509	2166	2330	2676	1284	270	340	226	683	668	245	105	337	376	450	296	183	396	169	227	591	226	135	602	328	458	78	142	194	786	149	454	135	229	382	256	250	218	387	194									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7050	523	215	373	645	612	804	217	120	136	64	230	241	119	52	96	73	132	104	62	135	75	87	166	81	71	175	108	179	41	65	77	191	24	132	52	74	106	65	69	50	116	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	548	12	2	2	33	71	43	12	4	8	15	3	2	1	2	23	26	18	12	10	16	12	4	11	4	1	7	14	19	2	8	8	3	3	16	12	8	2	33	13	15	38	0									
6	Число погашенных избирательных бюллетеней	16002	1152	566	1134	1488	1647	1829	1055	146	196	147	450	425	125	51	218	277	300	180	111	245	82	136	414	141	63	420	206	260	35	69	109	592	122	306	71	147	274	158	168	153	233	101									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	548	12	2	2	33	71	43	12	4	8	15	3	2	1	2	23	26	18	12	10	16	12	4	11	4	1	7	14	19	2	8	8	3	3	16	12	8	2	33	13	15	38	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7050	523	215	373	645	612	804	217	120	136	64	230	241	119	52	96	73	132	104	62	135	75	87	166	81	71	175	108	179	41	65	77	191	24	132	52	74	106	65	69	50	116	93									
9	Число недействительных избирательных бюллетеней	123	12	2	4	7	13	13	2	0	2	2	5	3	3	0	1	3	5	4	1	3	0	1	4	1	1	5	5	4	2	1	0	5	2	1	0	1	0	0	2	0	3	0									
10	Число действительных избирательных бюллетеней	7475	523	215	371	671	670	834	227	124	142	77	228	240	117	54	118	96	145	112	71	148	87	90	173	84	71	177	117	194	41	72	85	189	25	147	64	81	108	98	80	65	151	93									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	50	30	40	50	50	60	40	5	5	5	15	20	5	5	5	5	15	5	5	15	5	5	15	5	5	15	10	15	5	5	5	20	5	10	5	5	5	5	5	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	226	20	9	13	33	30	21	5	1	1	0	6	4	2	0	0	4	5	3	1	11	5	5	7	2	1	9	0	4	0	0	5	0	0	2	0	1	5	0	0	1	8	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	133	12	5	4	3	1	9	6	3	1	8	2	4	1	2	2	4	2	1	4	4	3	3	4	4	4	2	1	5	2	1	1	2	1	1	1	2	3	5	1	2	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	374	30	21	27	17	20	39	35	4	4	5	9	16	3	5	5	1	10	2	4	4	0	0	8	3	4	6	10	11	5	5	0	20	5	8	5	4	0	5	5	4	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	4	3	0	1	1	7	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
