Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
Наименование Избирательной комиссии:    Боханская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257					
1	"Число избирателей, внесенных в список избирателей"	16968	387	439	125	1019	53	584	118	162	89	165	722	376	243	1211	1966	439	173	124	738	265	798	91	216	1497	82	112	185	843	632	151	96	82	77	608	77	285	148	129	761	166	534					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16365	375	416	135	1000	56	600	110	170	80	225	720	364	240	1100	1800	430	165	125	710	260	775	95	220	1400	85	105	190	780	630	150	95	75	65	575	80	270	145	130	725	160	534					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8282	154	215	82	539	42	335	90	85	53	92	409	176	137	528	828	238	65	53	322	102	417	73	105	689	61	82	90	378	309	122	71	52	42	286	60	110	46	53	399	57	235					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1211	27	28	14	83	10	44	1	44	1	8	19	17	17	20	95	14	13	14	48	12	51	8	66	74	0	2	15	143	31	0	0	0	0	70	0	41	36	32	47	33	33					
6	Число погашенных избирательных бюллетеней	6872	194	173	39	378	4	221	19	41	26	125	292	171	86	552	877	178	87	58	340	146	307	14	49	637	24	21	85	259	290	28	24	23	23	219	20	119	63	45	279	70	266					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1211	27	28	14	83	10	44	1	44	1	8	19	17	17	20	95	14	13	14	48	12	51	8	66	74	0	2	15	143	31	0	0	0	0	70	0	41	36	32	47	33	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8282	154	215	82	539	42	335	90	85	53	92	409	176	137	528	828	238	65	53	322	102	417	73	105	689	61	82	90	378	309	122	71	52	42	286	60	110	46	53	399	57	235					
9	Число недействительных избирательных бюллетеней	93	1	4	0	3	0	2	1	4	0	0	4	1	0	6	7	1	0	0	8	2	0	3	1	7	2	10	3	4	3	2	0	0	1	6	0	1	0	0	3	0	3					
10	Число действительных избирательных бюллетеней	9400	180	239	96	619	52	377	90	125	54	100	424	192	154	542	916	251	78	67	362	112	468	78	170	756	59	74	102	517	337	120	71	52	41	350	60	150	82	85	443	90	265					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	298	5	10	10	10	0	10	5	5	1	5	10	5	5	15	30	9	0	5	10	5	10	5	8	10	5	5	5	10	10	5	5	5	5	10	5	5	5	5	10	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	153	5	3	0	5	0	6	0	5	1	2	10	5	3	15	30	9	0	0	6	1	10	0	8	5	0	0	0	1	2	0	0	2	0	3	0	3	0	3	4	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	3	1	0	3	0	1	0	1	0	1	2	0	0	2	14	0	0	0	1	0	2	0	0	7	1	0	0	4	1	1	1	0	3	1	0	0	1	1	1	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	145	0	7	10	5	0	4	5	0	0	3	0	0	2	0	0	0	0	5	4	4	0	5	0	5	5	5	5	9	8	5	5	3	5	7	5	2	5	2	6	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	879	22	23	12	48	0	34	2	9	5	2	35	12	13	59	106	27	7	6	62	17	37	6	14	87	4	4	6	30	30	14	3	2	5	37	9	20	7	9	29	4	21					
		9.26%	12.15%	9.47%	12.50%	7.72%	0.00%	8.97%	2.20%	6.98%	9.26%	2.00%	8.18%	6.22%	8.44%	10.77%	11.48%	10.71%	8.97%	8.96%	16.76%	14.91%	7.91%	7.41%	8.19%	11.40%	6.56%	4.76%	5.71%	5.76%	8.82%	11.48%	4.23%	3.85%	11.90%	10.39%	15.00%	13.25%	8.54%	10.59%	6.50%	4.44%	7.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1189	32	25	5	84	7	28	3	13	9	16	12	18	14	67	73	25	4	1	43	6	16	8	13	133	12	25	27	72	64	34	10	15	12	71	13	26	15	14	48	31	45					
		12.53%	17.68%	10.29%	5.21%	13.50%	13.46%	7.39%	3.30%	10.08%	16.67%	16.00%	2.80%	9.33%	9.09%	12.23%	7.91%	9.92%	5.13%	1.49%	11.62%	5.26%	3.42%	9.88%	7.60%	17.43%	19.67%	29.76%	25.71%	13.82%	18.82%	27.87%	14.08%	28.85%	28.57%	19.94%	21.67%	17.22%	18.29%	16.47%	10.76%	34.44%	16.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	97	3	0	1	6	0	0	0	0	2	0	3	1	4	5	13	4	0	0	5	1	5	2	0	11	2	0	3	1	7	0	0	2	0	4	0	3	1	0	4	2	2					
		1.02%	1.66%	0.00%	1.04%	0.96%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.70%	0.52%	2.60%	0.91%	1.41%	1.59%	0.00%	0.00%	1.35%	0.88%	1.07%	2.47%	0.00%	1.44%	3.28%	0.00%	2.86%	0.19%	2.06%	0.00%	0.00%	3.85%	0.00%	1.12%	0.00%	1.99%	1.22%	0.00%	0.90%	2.22%	0.75%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2044	42	74	29	85	1	81	1	34	14	21	105	23	45	155	283	83	27	15	95	15	88	8	49	208	3	3	14	83	65	20	27	5	9	74	5	17	5	9	84	5	35					
		21.53%	23.20%	30.45%	30.21%	13.67%	1.92%	21.37%	1.10%	26.36%	25.93%	21.00%	24.53%	11.92%	29.22%	28.28%	30.66%	32.94%	34.62%	22.39%	25.68%	13.16%	18.80%	9.88%	28.65%	27.26%	4.92%	3.57%	13.33%	15.93%	19.12%	16.39%	38.03%	9.62%	21.43%	20.79%	8.33%	11.26%	6.10%	10.59%	18.83%	5.56%	13.06%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	94	1	1	0	3	0	2	0	0	0	0	6	0	4	16	7	3	1	1	1	3	10	0	2	9	1	0	1	3	4	0	0	0	0	10	0	1	0	0	3	0	1					
		0.99%	0.55%	0.41%	0.00%	0.48%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	1.40%	0.00%	2.60%	2.92%	0.76%	1.19%	1.28%	1.49%	0.27%	2.63%	2.14%	0.00%	1.17%	1.18%	1.64%	0.00%	0.95%	0.58%	1.18%	0.00%	0.00%	0.00%	0.00%	2.81%	0.00%	0.66%	0.00%	0.00%	0.67%	0.00%	0.37%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5047	79	115	48	392	44	230	84	69	24	61	260	138	74	237	426	108	39	43	156	70	309	54	92	297	37	42	50	325	165	52	31	27	15	154	32	83	53	53	272	48	159					
		53.17%	43.65%	47.33%	50.00%	63.02%	84.62%	60.69%	92.31%	53.49%	44.44%	61.00%	60.75%	71.50%	48.05%	43.25%	46.15%	42.86%	50.00%	64.18%	42.16%	61.40%	66.03%	66.67%	53.80%	38.93%	60.66%	50.00%	47.62%	62.38%	48.53%	42.62%	43.66%	51.92%	35.71%	43.26%	53.33%	54.97%	64.63%	62.35%	60.99%	53.33%	59.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	50	1	1	1	1	0	2	0	0	0	0	3	0	0	3	8	1	0	1	0	0	3	0	0	11	0	0	1	3	2	0	0	1	0	0	1	0	1	0	3	0	2					
		0.53%	0.55%	0.41%	1.04%	0.16%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.55%	0.87%	0.40%	0.00%	1.49%	0.00%	0.00%	0.64%	0.00%	0.00%	1.44%	0.00%	0.00%	0.95%	0.58%	0.59%	0.00%	0.00%	1.92%	0.00%	0.00%	1.67%	0.00%	1.22%	0.00%	0.67%	0.00%	0.75%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
