Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Троицкая																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395					
1	"Число избирателей, внесенных в список"	24571	665	115	265	243	175	1117	979	443	258	109	206	522	155	90	394	138	1329	1368	181	167	604	483	883	140	310	757	345	1211	792	223	502	957	221	198	107	217	1043	108	199	96	148	502	842	141	220	104	113	930	85	156	221	261	195	88	499	102	198	954	313	184					
2	Число полученных избирательных бюллетеней	23460	638	121	256	238	167	1045	930	426	263	95	198	485	147	86	364	167	1272	1303	173	150	582	457	835	132	297	726	341	1160	758	213	474	915	208	185	100	217	996	104	195	88	148	479	786	127	210	98	117	889	83	153	219	245	188	82	475	100	185	903	295	171					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16509	491	99	159	130	144	757	648	294	158	83	147	407	100	47	261	101	782	767	128	124	312	343	587	115	215	473	221	761	609	169	323	625	154	158	86	148	642	80	162	72	132	309	580	108	180	85	94	666	61	135	189	205	138	55	321	66	150	612	190	151					
5	"Число избирательных бюллетеней, выданных вне помещения"	1500	28	10	46	74	7	40	18	29	22	7	11	34	29	21	36	0	66	47	7	13	29	24	25	4	34	68	19	75	36	8	36	71	27	16	6	28	58	5	5	7	9	25	41	11	10	7	8	39	8	5	11	18	18	5	38	8	21	43	42	7					
6	Число погашенных избирательных бюллетеней	5451	119	12	51	34	16	248	264	103	83	5	40	44	18	18	67	66	424	489	38	13	241	90	223	13	48	185	101	324	113	36	115	219	27	11	8	41	296	19	28	9	7	145	165	8	20	6	15	184	14	13	19	22	32	22	116	26	14	248	63	13					
7	Число избирательных бюллетеней в переносных ящиках	1500	28	10	46	74	7	40	18	29	22	7	11	34	29	21	36	0	66	47	7	13	29	24	25	4	34	68	19	75	36	8	36	71	27	16	6	28	58	5	5	7	9	25	41	11	10	7	8	39	8	5	11	18	18	5	38	8	21	43	42	7					
8	Число бюллетеней в стационарных ящиках для голосования	16509	491	99	159	130	144	757	648	294	158	83	147	407	100	47	261	101	782	767	128	124	312	343	587	115	215	473	221	761	609	169	323	625	154	158	86	148	642	80	162	72	132	309	580	108	180	85	94	666	61	135	189	205	138	55	321	66	150	612	190	151					
9	Число недействительных избирательных бюллетеней	186	11	3	1	2	1	5	0	11	1	0	1	2	4	2	9	1	4	12	1	1	2	3	5	0	1	3	1	3	9	4	12	5	5	2	0	1	6	1	1	1	1	5	0	2	5	0	2	11	0	0	0	4	3	0	8	1	0	0	7	0					
10	Число действительных избирательных бюллетеней	17823	508	106	204	202	150	792	666	312	179	90	157	439	125	66	288	100	844	802	134	136	339	364	607	119	248	538	239	833	636	173	347	691	176	172	92	175	694	84	166	78	140	329	621	117	185	92	100	694	69	140	200	219	153	60	351	73	171	655	225	158					
11	Число полученных открепительных  удостоверений	197	6	1	2	2	1	9	6	4	2	1	4	8	1	1	4	1	7	7	1	1	5	4	7	1	3	6	2	7	6	2	4	8	2	1	1	2	9	1	1	1	1	4	5	2	4	1	1	7	1	1	3	3	1	1	6	1	2	7	3	1					
12	Число выданных открепительных удостоверений	100	4	0	1	0	0	9	4	0	0	0	4	8	1	1	1	1	3	1	1	0	0	3	2	0	1	3	1	7	0	1	1	7	2	1	0	2	9	1	0	0	1	0	2	0	4	0	0	2	0	0	0	1	1	0	6	0	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	132	4	4	0	1	0	7	8	0	2	2	3	6	2	1	3	0	3	1	0	2	2	1	3	0	0	3	2	7	0	0	3	6	2	3	1	0	2	1	0	5	1	5	2	1	2	0	0	4	3	0	7	1	2	1	3	0	1	6	1	2					
14	Число неиспользованных открепительных удостоверений	97	2	1	1	2	1	0	2	4	2	1	0	0	0	0	3	0	4	6	0	1	5	1	5	1	2	3	1	0	6	1	3	1	0	0	1	0	0	0	1	1	0	4	3	2	0	1	1	5	1	1	3	2	0	1	0	1	2	4	3	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	309	23	1	3	1	2	11	5	8	2	0	0	7	0	1	3	2	18	17	1	2	8	5	8	0	2	15	5	19	4	2	2	30	5	1	2	1	10	1	2	1	4	5	19	0	0	0	0	8	1	1	8	5	2	1	8	0	2	10	2	3					
