Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Ивановская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494					
1	"Число избирателей, внесенных в список"	27507	654	1400	208	131	273	1914	367	969	153	487	257	177	199	223	689	2018	92	623	327	248	849	602	776	1743	1744	1814	1929	297	1330	513	1306	259	570	322	2044					
2	Число полученных избирательных бюллетеней	27450	640	1450	213	129	275	1920	640	955	156	465	250	178	201	210	680	2000	108	630	325	240	850	550	750	1680	1730	1760	1920	280	1320	490	1320	215	560	320	2040					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13066	233	703	88	78	114	961	350	451	57	189	115	85	119	44	299	877	28	402	171	123	444	248	357	719	814	830	945	111	692	227	682	141	237	173	959					
5	"Число избирательных бюллетеней, выданных вне помещения"	2324	133	67	58	21	62	18	17	140	69	126	60	37	40	122	50	201	44	63	23	31	78	167	56	129	17	10	8	45	7	138	65	22	44	13	143					
6	Число погашенных избирательных бюллетеней	12060	274	680	67	30	99	941	273	364	30	150	75	56	42	44	331	922	36	165	131	86	328	135	337	832	899	920	967	124	621	125	573	52	279	134	938					
7	Число избирательных бюллетеней в переносных ящиках	2324	133	67	58	21	62	18	17	140	69	126	60	37	40	122	50	201	44	63	23	31	78	167	56	129	17	10	8	45	7	138	65	22	44	13	143					
8	Число бюллетеней в стационарных ящиках для голосования	13034	233	702	88	78	114	932	350	451	57	189	115	85	119	44	299	875	28	402	171	123	444	248	357	719	814	830	945	111	692	227	682	141	237	173	959					
9	Число недействительных избирательных бюллетеней	110	3	8	0	0	0	11	7	8	0	3	1	0	4	0	1	7	0	2	0	2	3	2	3	0	6	3	5	0	4	1	12	2	0	3	9					
10	Число действительных избирательных бюллетеней	15248	363	761	146	99	176	939	360	583	126	312	174	122	155	166	348	1069	72	463	194	152	519	413	410	848	825	837	948	156	695	364	735	161	281	183	1093					
11	Число полученных открепительных  удостоверений	307	7	17	5	3	6	15	8	8	5	5	5	3	3	3	7	17	8	6	6	3	15	7	8	15	15	15	15	6	15	6	15	3	7	5	20					
12	Число выданных открепительных удостоверений	150	0	15	5	0	3	11	3	2	0	1	4	0	0	1	2	10	0	2	4	1	9	2	0	11	13	9	9	1	10	4	4	0	0	2	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	149	0	7	4	3	3	4	0	2	2	3	0	0	4	2	1	4	4	1	3	2	2	6	8	5	14	6	8	4	1	6	1	28	5	2	4					
14	Число неиспользованных открепительных удостоверений	157	7	2	0	3	3	4	5	6	5	4	1	3	3	2	5	7	8	4	2	2	6	5	8	4	2	6	6	5	5	2	11	3	7	3	8					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	569	5	35	4	2	8	28	19	10	1	16	5	5	3	10	20	58	1	10	5	6	7	8	13	35	26	38	38	6	40	9	34	5	4	4	51					
		3.70%	1.37%	4.55%	2.74%	2.02%	4.55%	2.95%	5.18%	1.69%	0.79%	5.08%	2.86%	4.10%	1.89%	6.02%	5.73%	5.39%	1.39%	2.15%	2.58%	3.90%	1.34%	1.93%	3.15%	4.13%	3.13%	4.52%	3.99%	3.85%	5.72%	2.47%	4.55%	3.07%	1.42%	2.15%	4.63%					
19	. Малышкин Олег Александрович	468	11	22	6	0	4	37	7	18	6	6	10	1	5	3	10	32	0	3	7	13	18	23	6	19	21	34	30	2	20	19	20	3	6	5	41					
		3.05%	3.01%	2.86%	4.11%	0.00%	2.27%	3.89%	1.91%	3.05%	4.76%	1.90%	5.71%	0.82%	3.14%	1.81%	2.87%	2.97%	0.00%	0.65%	3.61%	8.44%	3.45%	5.54%	1.45%	2.24%	2.53%	4.05%	3.15%	1.28%	2.86%	5.21%	2.68%	1.84%	2.14%	2.69%	3.72%					
20	. Миронов Сергей Михайлович	108	4	8	4	2	3	9	2	5	0	2	0	0	0	1	3	11	2	10	0	0	0	0	5	2	8	6	5	1	4	0	1	0	0	0	10					
		0.70%	1.09%	1.04%	2.74%	2.02%	1.70%	0.95%	0.54%	0.85%	0.00%	0.63%	0.00%	0.00%	0.00%	0.60%	0.86%	1.02%	2.78%	2.15%	0.00%	0.00%	0.00%	0.00%	1.21%	0.24%	0.96%	0.71%	0.52%	0.64%	0.57%	0.00%	0.13%	0.00%	0.00%	0.00%	0.91%					
21	. Путин Владимир Владимирович	11405	273	578	112	83	127	673	271	452	94	245	129	97	127	120	232	753	60	318	138	103	422	330	293	678	645	645	694	122	547	282	521	108	226	137	770					
