Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Кормиловская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20128	511	835	1351	823	984	2535	595	910	920	129	121	601	157	130	592	260	462	682	291	451	679	73	523	110	292	1039	157	970	90	164	58	522	574	175	820	66	136	104	236									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19727	500	820	1380	800	970	2500	600	900	900	133	127	550	159	129	550	250	450	670	300	420	650	73	500	110	290	1000	161	950	96	164	64	500	550	186	800	73	134	103	215									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6799	150	303	481	310	307	836	147	249	283	37	25	228	68	57	219	82	151	209	115	165	239	28	181	40	89	399	64	325	53	58	37	182	195	49	202	24	61	54	97									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	585	3	5	10	14	39	17	4	5	21	18	10	16	3	6	3	20	17	26	5	11	48	4	27	6	14	50	11	27	3	2	3	20	23	16	25	4	20	3	26									
6	Число погашенных избирательных бюллетеней	12343	347	512	889	476	624	1647	449	646	596	78	92	306	88	66	328	148	282	435	180	244	363	41	292	64	187	551	86	598	40	104	24	298	332	121	573	45	53	46	92									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	585	3	5	10	14	39	17	4	5	21	18	10	16	3	6	3	20	17	26	5	11	48	4	27	6	14	50	11	27	3	2	3	20	23	16	25	4	20	3	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6796	150	303	481	310	307	834	147	249	283	37	25	228	68	57	219	82	151	208	115	165	239	28	181	40	89	399	64	325	53	58	37	182	195	49	202	24	61	54	97									
9	Число недействительных избирательных бюллетеней	366	9	16	16	12	11	35	7	14	16	4	3	5	3	8	10	3	8	12	6	12	25	3	14	3	5	42	4	18	0	4	0	9	4	4	12	1	3	2	3									
10	Число действительных избирательных бюллетеней	7015	144	292	475	312	335	816	144	240	288	51	32	239	68	55	212	99	160	222	114	164	262	29	194	43	98	407	71	334	56	56	40	193	214	61	215	27	78	55	120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	780	30	30	40	30	30	40	30	30	30	10	10	20	20	10	20	20	20	20	20	20	20	10	20	10	20	30	10	30	10	10	10	20	20	10	30	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	94	0	3	9	2	3	9	3	2	5	0	2	0	5	0	2	1	0	3	1	1	8	0	1	0	0	0	6	3	0	0	2	7	7	5	4	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	0	1	3	2	4	5	0	2	2	0	5	0	3	2	5	2	4	3	0	8	2	2	0	1	2	3	2	1	2	4	2	2	3	0	0	1	3	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	686	30	27	31	28	27	31	27	28	25	10	8	20	15	10	18	19	20	17	19	19	12	10	19	10	20	30	4	27	10	10	8	13	13	5	26	10	10	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	70	2	4	3	3	4	8	2	3	3	1	0	1	1	2	2	1	4	4	1	2	2	0	3	0	3	1	1	2	0	0	0	2	2	0	1	0	2	0	0									
		0.95%	1.31%	1.30%	0.61%	0.93%	1.16%	0.94%	1.32%	1.18%	0.99%	1.82%	0.00%	0.41%	1.41%	3.17%	0.90%	0.98%	2.38%	1.71%	0.83%	1.14%	0.70%	0.00%	1.44%	0.00%	2.91%	0.22%	1.33%	0.57%	0.00%	0.00%	0.00%	0.99%	0.92%	0.00%	0.44%	0.00%	2.47%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	409	11	13	35	19	23	47	10	13	14	1	2	15	4	4	19	4	15	10	4	3	20	1	10	0	7	25	6	17	7	2	0	8	9	7	13	0	3	1	7									
