Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Бикинская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17671	1093	1299	665	495	1986	686	946	989	712	1248	1183	1138	645	195	585	59	404	424	122	1529	787	481									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16170	1000	1000	600	400	1700	600	900	900	700	1200	1200	1100	600	190	500	60	400	400	120	1500	700	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6764	281	514	169	187	1394	255	261	261	229	496	518	361	234	106	203	37	107	176	68	502	267	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	477	37	7	9	22	76	6	15	41	5	29	14	30	6	10	23	4	12	16	4	44	55	12									
6	Число погашенных избирательных бюллетеней	8929	682	479	422	191	230	339	624	598	466	675	668	709	360	74	274	19	281	208	48	954	378	250									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	477	37	7	9	22	76	6	15	41	5	29	14	30	6	10	23	4	12	16	4	44	55	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6764	281	514	169	187	1394	255	261	261	229	496	518	361	234	106	203	37	107	176	68	502	267	138									
9	Число недействительных избирательных бюллетеней	214	8	24	6	6	31	13	9	9	12	8	19	10	10	4	7	2	3	11	4	13	2	3									
10	Число действительных избирательных бюллетеней	7027	310	497	172	203	1439	248	267	293	222	517	513	381	230	112	219	39	116	181	68	533	320	147									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	10	20	5	10	20	20	11	5	5	15	15	10	5	11	5	5	5	8	5	20	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	122	4	20	1	7	14	4	7	1	5	2	11	5	4	10	4	4	0	6	0	12	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	3	9	7	2	11	6	0	1	3	7	4	4	1	4	6	1	0	5	0	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	98	6	0	4	3	6	16	4	4	0	13	4	5	1	1	1	1	5	2	5	8	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	76	4	17	2	2	13	7	1	3	2	1	3	3	2	3	0	4	1	2	0	5	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	78	1	10	1	3	10	1	7	4	4	7	7	4	0	1	3	2	1	2	1	6	2	1									
		1.08%	0.31%	1.92%	0.56%	1.44%	0.68%	0.38%	2.54%	1.32%	1.71%	1.33%	1.32%	1.02%	0.00%	0.86%	1.33%	4.88%	0.84%	1.04%	1.39%	1.10%	0.62%	0.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	192	5	14	3	6	15	9	9	12	6	21	18	8	14	1	14	0	5	5	1	16	5	5									
		2.65%	1.57%	2.69%	1.69%	2.87%	1.02%	3.45%	3.26%	3.97%	2.56%	4.00%	3.38%	2.05%	5.83%	0.86%	6.19%	0.00%	4.20%	2.60%	1.39%	2.93%	1.55%	3.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	173	8	9	0	3	25	4	10	5	9	11	18	18	9	1	8	0	0	2	2	16	9	6									
		2.39%	2.52%	1.73%	0.00%	1.44%	1.70%	1.53%	3.62%	1.66%	3.85%	2.10%	3.38%	4.60%	3.75%	0.86%	3.54%	0.00%	0.00%	1.04%	2.78%	2.93%	2.80%	4.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3282	113	209	70	83	941	104	91	117	74	201	171	130	86	69	63	20	55	87	44	284	216	54									
		45.33%	35.53%	40.12%	39.33%	39.71%	64.01%	39.85%	32.97%	38.74%	31.62%	38.29%	32.14%	33.25%	35.83%	59.48%	27.88%	48.78%	46.22%	45.31%	61.11%	52.01%	67.08%	36.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	65	4	5	2	0	17	3	2	3	6	3	4	2	0	0	2	2	1	1	0	6	1	1									
		0.90%	1.26%	0.96%	1.12%	0.00%	1.16%	1.15%	0.72%	0.99%	2.56%	0.57%	0.75%	0.51%	0.00%	0.00%	0.88%	4.88%	0.84%	0.52%	0.00%	1.10%	0.31%	0.67%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	1	0	1	0	4	0	0	0	0	3	2	1	0	0	0	1	1	0	0	1	0	0									
		0.21%	0.31%	0.00%	0.56%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.57%	0.38%	0.26%	0.00%	0.00%	0.00%	2.44%	0.84%	0.00%	0.00%	0.18%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1949	122	147	65	49	282	70	86	103	77	146	170	140	66	25	61	8	39	64	13	120	53	43									
		26.92%	38.36%	28.21%	36.52%	23.44%	19.18%	26.82%	31.16%	34.11%	32.91%	27.81%	31.95%	35.81%	27.50%	21.55%	26.99%	19.51%	32.77%	33.33%	18.06%	21.98%	16.46%	28.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	45	2	4	4	0	9	3	2	3	4	5	1	3	2	0	0	0	0	1	0	1	1	0									
		0.62%	0.63%	0.77%	2.25%	0.00%	0.61%	1.15%	0.72%	0.99%	1.71%	0.95%	0.19%	0.77%	0.83%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.18%	0.31%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	49	2	8	1	3	6	2	5	1	2	8	2	2	1	0	0	0	0	1	0	3	1	1									
		0.68%	0.63%	1.54%	0.56%	1.44%	0.41%	0.77%	1.81%	0.33%	0.85%	1.52%	0.38%	0.51%	0.42%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.55%	0.31%	0.67%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	0	3	1	0	12	1	0	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0									
		0.33%	0.00%	0.58%	0.56%	0.00%	0.82%	0.38%	0.00%	0.66%	0.43%	0.00%	0.00%	0.26%	0.00%	0.00%	0.44%	0.00%	0.00%	0.52%	0.00%	0.00%	0.31%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	70	0	5	0	3	25	1	5	0	1	5	2	6	1	1	1	0	1	0	0	7	2	4									
		0.97%	0.00%	0.96%	0.00%	1.44%	1.70%	0.38%	1.81%	0.00%	0.43%	0.95%	0.38%	1.53%	0.42%	0.86%	0.44%	0.00%	0.84%	0.00%	0.00%	1.28%	0.62%	2.67%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	889	43	72	21	46	71	39	41	34	28	92	97	52	46	12	55	4	13	11	4	58	24	26									
		12.28%	13.52%	13.82%	11.80%	22.01%	4.83%	14.94%	14.86%	11.26%	11.97%	17.52%	18.23%	13.30%	19.17%	10.34%	24.34%	9.76%	10.92%	5.73%	5.56%	10.62%	7.45%	17.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	0	1	0	2	3	0	1	2	2	1	4	1	1	0	0	1	0	0	0	0	0	0									
		0.26%	0.00%	0.19%	0.00%	0.96%	0.20%	0.00%	0.36%	0.66%	0.85%	0.19%	0.75%	0.26%	0.42%	0.00%	0.00%	2.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	177	9	10	3	5	19	11	8	7	8	14	17	13	4	2	11	1	0	6	3	15	5	6									
		2.44%	2.83%	1.92%	1.69%	2.39%	1.29%	4.21%	2.90%	2.32%	3.42%	2.67%	3.20%	3.32%	1.67%	1.72%	4.87%	2.44%	0.00%	3.13%	4.17%	2.75%	1.55%	4.00%									
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
