Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Липецк, Октябрьская"																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105					
1	"Число избирателей, внесенных в список избирателей"	172078	1663	1513	1717	1508	1490	1704	2578	301	1857	2039	2591	2672	2347	2840	1953	2375	2026	1957	2057	3067	2458	2920	2929	2472	2781	1986	2098	2410	2200	2712	2442	2258	2881	2679	2312	2369	2493	2518	2458	2155	2310	2530	2474	2206	2258	2688	2401	2267	2164	2155	2416	1936	1537	2114	2621	2381	1781	2223	2258	2245	2405	2925	271	2843	1670	1490	2338	2442	1711	1713	1671	2230	2518	2396	2394	2082	1153	1264	1811					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	141802	1300	1200	1400	1200	1200	1400	2100	315	1600	1700	2100	2200	2000	2300	1600	2000	1700	1600	1700	2600	2100	2400	2400	2000	2300	1600	1700	2000	1800	2200	2000	1900	2400	2200	1900	2000	2100	2100	1900	1800	1900	2100	2000	1800	1900	2200	2000	1900	1800	1700	2000	1600	1200	1700	2200	2000	1500	1800	1900	1900	2000	2300	287	2300	1400	1300	2000	2000	1400	1400	1400	1800	2100	2000	2000	1700	1000	1100	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	87138	677	707	803	639	601	773	1076	194	828	911	1370	1200	980	994	1089	1351	1233	1254	1199	1359	1307	1527	1587	1300	1593	1094	1063	1305	1174	1426	1142	1146	1487	1486	1103	1287	1342	1263	1142	1170	1141	1319	1247	1365	1300	1623	1261	1234	1212	922	920	980	690	1163	1326	1241	732	1017	1179	1178	1307	1328	146	1456	895	792	1153	1339	726	782	824	1285	1335	1303	1251	1095	478	630	781					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1725	38	43	60	11	14	34	15	61	63	36	34	62	44	66	8	25	5	8	1	12	21	11	7	11	17	16	16	16	8	19	17	11	11	17	8	12	7	14	13	12	10	14	14	6	4	3	22	33	42	8	19	21	22	17	34	11	36	20	36	18	8	8	112	14	14	24	22	5	23	24	11	18	24	16	36	27	35	5	5					
6	Число погашенных избирательных бюллетеней	52934	585	450	537	550	585	593	1009	60	709	753	696	938	976	1240	503	624	462	338	500	1229	769	862	806	689	690	490	621	679	618	755	841	743	902	697	789	701	751	823	745	618	747	767	739	429	596	574	717	633	546	770	1061	599	488	520	840	748	732	763	685	704	685	964	29	830	491	484	825	656	651	594	565	497	741	681	713	578	487	465	414					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1725	38	43	60	11	14	34	15	61	63	36	34	62	44	66	8	25	5	8	1	12	21	11	7	11	17	16	16	16	8	19	17	11	11	17	8	12	7	14	13	12	10	14	14	6	4	3	22	33	42	8	19	21	22	17	34	11	36	20	36	18	8	8	112	14	14	24	22	5	23	24	11	18	24	16	36	27	35	5	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	87077	677	707	801	639	601	773	1076	194	828	911	1370	1200	977	994	1089	1351	1232	1254	1199	1358	1305	1527	1587	1299	1593	1094	1063	1305	1173	1426	1142	1125	1487	1485	1103	1287	1335	1253	1141	1170	1139	1319	1247	1365	1300	1622	1261	1234	1212	921	920	980	690	1163	1325	1241	729	1017	1179	1178	1307	1328	146	1454	895	792	1153	1339	726	782	824	1285	1335	1303	1251	1095	478	630	781					
9	Число недействительных избирательных бюллетеней	1703	19	21	16	17	11	33	24	7	8	25	29	31	28	24	29	21	13	19	17	18	18	13	27	27	29	11	19	26	15	25	30	27	24	21	16	26	17	31	22	16	14	32	39	11	21	22	28	32	28	28	19	22	20	29	39	27	9	15	28	15	27	25	8	15	15	19	28	22	14	19	15	28	19	25	24	27	11	12	22					
10	Число действительных избирательных бюллетеней	87099	696	729	845	633	604	774	1067	248	883	922	1375	1231	993	1036	1068	1355	1224	1243	1183	1352	1308	1525	1567	1283	1581	1099	1060	1295	1166	1420	1129	1109	1474	1481	1095	1273	1325	1236	1132	1166	1135	1301	1222	1360	1283	1603	1255	1235	1226	901	920	979	692	1151	1320	1225	756	1022	1187	1181	1288	1311	250	1453	894	797	1147	1322	735	787	820	1275	1340	1294	1263	1095	502	623	764					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1562	15	15	15	15	15	15	20	0	15	20	20	20	20	20	20	20	20	20	20	20	29	20	20	25	20	20	28	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	40	10	25	20	20	20	20	20	20	20	20	20	20	20	20	10	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	939	4	7	4	10	7	9	13	0	9	10	12	14	6	6	11	10	4	13	14	17	24	15	16	22	11	7	21	19	15	3	10	9	19	6	12	20	10	12	13	23	11	16	13	10	14	10	8	15	18	13	13	6	20	8	15	9	11	8	9	6	1	27	0	24	11	8	15	10	10	18	10	15	19	11	18	10	4	14	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	424	1	5	2	1	2	5	13	3	3	14	2	8	5	9	1	6	2	8	9	11	10	10	12	8	6	9	7	10	5	1	5	10	5	3	5	9	7	7	5	5	7	5	6	2	4	3	3	7	3	6	4	3	4	4	1	5	1	9	5	2	5	6	0	12	8	3	5	8	3	2	5	5	10	2	7	3	2	2	3					
14	Число погашенных неиспользованных открепительных удостоверений	622	11	8	11	5	8	6	7	0	6	10	8	6	14	14	9	10	16	7	6	3	5	5	4	3	9	13	6	1	5	17	10	11	1	14	8	0	10	8	7	2	9	4	7	10	6	10	12	5	2	7	7	14	5	12	5	11	9	12	11	14	19	13	10	1	9	12	5	10	10	2	10	5	1	9	2	10	6	6	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	1	0	0	0	0	3	0	0	1	1	0	0	1	2	1	1	2	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	19281	148	167	166	142	120	150	241	58	209	209	303	271	192	230	233	308	232	264	256	311	292	321	355	238	371	241	238	276	270	325	270	272	358	344	239	284	307	317	274	232	259	237	261	282	274	359	230	303	289	197	188	239	162	212	304	247	165	256	271	264	286	244	22	340	202	182	261	276	175	176	202	324	307	314	315	243	87	139	153					
