Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Хасавюртовская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	96871	1228	459	1000	838	1371	1460	1394	2024	2036	330	497	1193	2355	2624	1558	2332	2062	2476	1111	1827	1169	899	697	1800	660	1893	1030	1171	1267	1584	2691	852	508	338	747	1616	954	190	2466	1936	1101	1834	1065	787	1600	1598	588	2179	1334	2656	154	1452	2038	2230	439	2979	862	768	2368	418	2021	1334	1571	2297	316	1795	2439	1058	947									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	94467	1216	448	980	806	1335	1444	1390	1945	1996	330	495	1218	2254	2668	1479	2287	2029	2435	1091	1776	1184	891	688	1744	650	1839	1034	1148	1244	1540	2658	782	497	329	721	1593	931	203	2402	1768	1056	1838	1034	777	1883	1283	569	2118	1353	2618	148	1407	2012	2155	425	2900	748	643	2335	407	1938	1346	1538	2254	312	1765	2120	1070	947									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	91762	1163	443	945	804	1297	1428	1334	1906	1956	318	475	1163	2205	2603	1447	2282	2009	2401	1005	1704	1134	851	685	1726	644	1825	1013	1129	1241	1480	2594	762	497	322	696	1561	912	179	2351	1718	1035	1801	1013	761	1568	1283	560	2075	1307	2568	141	1382	1972	2076	415	2784	699	604	2163	404	1899	1308	1507	2209	301	1694	2102	995	928									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	73	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	2632	53	5	35	2	38	16	56	39	40	12	20	25	49	65	32	5	20	34	86	72	50	40	3	18	6	14	21	19	3	31	64	6	0	7	25	32	19	24	51	50	21	37	21	16	315	0	9	43	46	50	7	25	40	79	10	116	49	39	172	3	39	38	31	45	11	71	18	75	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	73	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	91723	1163	443	945	804	1297	1428	1334	1867	1956	318	475	1163	2205	2603	1447	2282	2009	2401	1005	1704	1134	851	685	1726	644	1825	1013	1129	1241	1480	2594	762	497	322	696	1561	912	179	2351	1718	1035	1801	1013	761	1568	1283	560	2075	1307	2568	141	1382	1972	2076	415	2784	699	604	2163	404	1899	1308	1507	2209	301	1694	2102	995	928									
9	Число недействительных избирательных бюллетеней	17	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	0	0									
10	Число действительных избирательных бюллетеней	91779	1161	443	945	804	1297	1428	1334	1867	1956	318	475	1190	2205	2603	1447	2282	2009	2401	1005	1704	1134	851	685	1726	644	1825	1013	1129	1241	1509	2594	776	497	322	696	1561	912	179	2351	1718	1035	1801	1013	761	1568	1283	560	2075	1307	2568	141	1379	1972	2076	415	2784	699	604	2163	402	1899	1308	1507	2209	301	1694	2095	995	928									
