Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Солтонская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472					
1	"Число избирателей, внесенных в список избирателей"	7494	280	148	986	191	415	837	108	608	71	205	42	1168	1253	151	121	127	604	179					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7578	290	150	1000	190	425	850	110	630	70	210	43	1200	1200	150	120	130	630	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3883	170	95	497	114	241	424	65	329	40	90	33	571	583	77	81	69	308	96					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	429	18	0	93	11	27	35	6	44	4	3	5	33	60	27	10	5	38	10					
6	Число погашенных избирательных бюллетеней	3266	102	55	410	65	157	391	39	257	26	117	5	596	557	46	29	56	284	74					
7	Число избирательных бюллетеней в переносных ящиках для голосования	429	18	0	93	11	27	35	6	44	4	3	5	33	60	27	10	5	38	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3883	170	95	497	114	241	424	65	329	40	90	33	571	583	77	81	69	308	96					
9	Число недействительных избирательных бюллетеней	60	2	0	11	2	7	6	1	2	0	2	0	5	14	2	2	0	4	0					
10	Число действительных избирательных бюллетеней	4252	186	95	579	123	261	453	70	371	44	91	38	599	629	102	89	74	342	106					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	99	3	2	10	2	3	10	3	8	3	3	2	19	10	2	3	3	10	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	61	2	1	8	0	3	5	1	1	0	3	0	18	8	2	0	1	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	3	0	2	1	2	3	1	2	2	1	1	7	6	1	1	1	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	38	1	1	2	2	0	5	2	7	3	0	2	1	2	0	3	2	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	427	16	6	38	14	22	45	17	33	2	9	9	59	77	12	17	5	35	11					
		9.90%	8.51%	6.32%	6.44%	11.20%	8.21%	9.80%	23.94%	8.85%	4.55%	9.68%	23.68%	9.77%	11.98%	11.54%	18.68%	6.76%	10.12%	10.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	598	6	3	78	15	23	83	16	90	12	19	2	63	87	18	8	23	38	14					
		13.87%	3.19%	3.16%	13.22%	12.00%	8.58%	18.08%	22.54%	24.13%	27.27%	20.43%	5.26%	10.43%	13.53%	17.31%	8.79%	31.08%	10.98%	13.21%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	3	4	4	1	2	10	3	3	0	2	0	8	1	0	1	0	4	1					
		1.09%	1.60%	4.21%	0.68%	0.80%	0.75%	2.18%	4.23%	0.80%	0.00%	2.15%	0.00%	1.32%	0.16%	0.00%	1.10%	0.00%	1.16%	0.94%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1401	88	30	144	51	95	116	12	94	11	19	3	267	247	13	33	25	110	43					
		32.49%	46.81%	31.58%	24.41%	40.80%	35.45%	25.27%	16.90%	25.20%	25.00%	20.43%	7.89%	44.21%	38.41%	12.50%	36.26%	33.78%	31.79%	40.57%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	48	0	0	10	0	2	4	2	4	0	5	0	9	3	2	0	4	3	0					
		1.11%	0.00%	0.00%	1.69%	0.00%	0.75%	0.87%	2.82%	1.07%	0.00%	5.38%	0.00%	1.49%	0.47%	1.92%	0.00%	5.41%	0.87%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1717	73	52	304	42	116	195	20	146	18	36	24	192	211	57	28	17	149	37					
		39.82%	38.83%	54.74%	51.53%	33.60%	43.28%	42.48%	28.17%	39.14%	40.91%	38.71%	63.16%	31.79%	32.81%	54.81%	30.77%	22.97%	43.06%	34.91%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	0	0	1	0	1	0	0	1	1	1	0	1	3	0	2	0	3	0					
		0.32%	0.00%	0.00%	0.17%	0.00%	0.37%	0.00%	0.00%	0.27%	2.27%	1.08%	0.00%	0.17%	0.47%	0.00%	2.20%	0.00%	0.87%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
