Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
"Наименование Избирательной комиссии:    Сочи, Лазаревская"																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427	УИК №4428	УИК №4429	УИК №4430	УИК №4431	УИК №4432	УИК №4433	УИК №4434	УИК №4435	УИК №4436	УИК №4437	УИК №4438	УИК №4439	УИК №4440	УИК №4441	УИК №4442	УИК №4443	УИК №4444	УИК №4445	УИК №4446	УИК №4447	УИК №4448	УИК №4449	УИК №4450	УИК №4451	УИК №4452	УИК №4453	УИК №4454	УИК №4455					
1	"Число избирателей, внесенных в список избирателей"	60275	238	219	650	299	920	525	1390	380	1025	115	2288	623	1482	1119	1884	1065	1538	1240	1795	715	743	1142	1517	734	725	548	1291	786	977	972	835	1344	1025	810	2413	586	2128	1855	889	804	2354	1094	2473	2225	2412	907	1027	1876	247	1145	945	645	161	967	163					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62196	251	204	680	320	1030	540	1480	400	1040	112	2250	620	1550	1140	2000	1150	1600	1400	1900	740	747	1150	1600	770	770	570	1300	660	1050	990	840	1400	1000	880	2500	630	2400	1700	960	860	2400	1150	2350	2250	2480	990	1030	1900	240	1190	980	720	160	1000	172					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	39289	186	175	443	185	574	322	979	183	553	96	1360	431	1350	723	1290	723	912	800	1186	464	412	668	801	446	476	352	1030	469	669	885	626	1032	502	534	1730	542	1327	953	391	569	1617	524	1356	1322	1757	624	720	1054	201	784	632	380	126	711	132					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5229	13	25	24	25	187	112	100	70	83	4	205	22	32	48	119	46	78	197	98	34	123	77	350	62	130	55	138	63	93	14	59	77	67	139	171	34	175	115	47	163	180	160	98	56	73	186	165	183	0	84	63	186	7	97	17					
6	Число погашенных избирательных бюллетеней	17678	52	4	213	110	269	106	401	147	404	12	685	167	168	369	591	381	610	403	616	242	212	405	449	262	164	163	132	128	288	91	155	291	431	207	599	54	898	632	522	128	603	466	896	872	650	180	145	663	39	322	285	154	27	192	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5229	13	25	24	25	187	112	100	70	83	4	205	22	32	48	119	46	78	197	98	34	123	77	350	62	130	55	138	63	93	14	59	77	67	139	171	34	175	115	47	163	180	160	98	56	73	186	165	183	0	84	63	186	7	97	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39285	186	175	443	185	574	322	979	183	553	96	1358	431	1350	723	1290	723	912	800	1186	464	412	668	801	446	476	352	1030	469	669	885	626	1032	502	534	1730	542	1327	953	391	569	1617	523	1356	1321	1757	624	720	1054	201	784	632	380	126	711	132					
9	Число недействительных избирательных бюллетеней	743	2	2	10	1	15	8	21	1	13	0	17	12	22	13	60	6	19	20	12	7	8	8	15	2	6	14	10	13	19	17	4	8	16	15	35	4	17	20	11	16	34	6	31	24	34	7	8	30	1	15	14	4	1	11	4					
10	Число действительных избирательных бюллетеней	43771	197	198	457	209	746	426	1058	252	623	100	1546	441	1360	758	1349	763	971	977	1272	491	527	737	1136	506	600	393	1158	519	743	882	681	1101	553	658	1866	572	1485	1048	427	716	1763	677	1423	1353	1796	803	877	1207	200	853	681	562	132	797	145					
