Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Александровская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6961	112	162	190	312	339	1030	1230	1041	842	88	923	692									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5440	90	130	150	240	260	800	1000	800	650	70	700	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2455	49	54	80	154	115	305	418	390	290	42	318	240									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	74	6	2	9	7	2	14	12	7	0	0	6	9									
6	Число погашенных избирательных бюллетеней	2911	35	74	61	79	143	481	570	403	360	28	376	301									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	74	6	2	9	7	2	14	12	7	0	0	6	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2454	49	54	80	154	115	305	417	390	290	42	318	240									
9	Число недействительных избирательных бюллетеней	69	4	1	1	2	0	10	16	7	8	1	9	10									
10	Число действительных избирательных бюллетеней	2459	51	55	88	159	117	309	413	390	282	41	315	239									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	240	10	10	10	10	10	30	30	30	30	10	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	34	7	5	0	5	0	3	4	2	2	0	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	1	1	0	0	1	1	0	3	3	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	206	3	5	10	5	10	27	26	28	28	10	26	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	1	0	0	0	1	4	1	6	2	0	1	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	1	2	0	2	3	3	7	1	2	2	3	2									
		1.11%	1.82%	3.57%	0.00%	1.24%	2.56%	0.94%	1.63%	0.25%	0.69%	4.76%	0.93%	0.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	88	2	1	4	9	1	14	11	11	12	2	13	8									
		3.48%	3.64%	1.79%	4.49%	5.59%	0.85%	4.39%	2.56%	2.77%	4.14%	4.76%	4.01%	3.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	55	0	3	2	3	2	3	9	2	9	0	13	9									
		2.18%	0.00%	5.36%	2.25%	1.86%	1.71%	0.94%	2.10%	0.50%	3.10%	0.00%	4.01%	3.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1276	33	37	62	100	71	154	220	192	125	21	146	115									
		50.47%	60.00%	66.07%	69.66%	62.11%	60.68%	48.28%	51.28%	48.36%	43.10%	50.00%	45.06%	46.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	23	0	0	0	2	2	2	5	5	2	0	3	2									
		0.91%	0.00%	0.00%	0.00%	1.24%	1.71%	0.63%	1.17%	1.26%	0.69%	0.00%	0.93%	0.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	1	0	0	0	0	1	0	0	0	0									
		0.08%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	616	12	10	10	29	27	83	112	107	81	10	85	50									
		24.37%	21.82%	17.86%	11.24%	18.01%	23.08%	26.02%	26.11%	26.95%	27.93%	23.81%	26.23%	20.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	0	0	0	0	0	5	1	1	1	0	1	0									
		0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	1.57%	0.23%	0.25%	0.34%	0.00%	0.31%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	0	0	0	0	1	4	1	6	1	0	4	3									
		0.79%	0.00%	0.00%	0.00%	0.00%	0.85%	1.25%	0.23%	1.51%	0.34%	0.00%	1.23%	1.20%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	0	0	1	1	2	1	0	0	0									
		0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.23%	0.50%	0.34%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	0	0	0	3	0	0	1	6	3	0	10	2									
