Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Кунгурская районная																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35278	141	143	467	1686	246	229	470	315	662	191	1360	1100	1249	1154	250	1600	1267	1822	545	1270	492	1092	418	1247	294	235	245	1262	157	190	382	1272	872	571	494	704	297	295	886	695	1130	313	312	354	177	618	302	1050	725	410	302	636	682									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28250	100	110	370	1360	200	180	380	260	540	150	1060	890	1000	940	200	1300	1000	1500	430	1000	400	880	340	1000	240	180	200	1000	130	150	300	1000	700	500	400	570	240	240	700	580	900	250	250	280	150	500	240	840	550	290	230	500	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	137	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	48	0	0	4	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11916	55	66	190	382	52	73	144	84	156	56	479	383	425	427	71	542	338	461	193	413	154	355	121	473	46	67	48	392	51	76	105	376	281	177	202	253	51	101	558	361	399	113	131	120	70	291	157	346	239	165	128	228	291									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1898	6	8	17	106	47	21	37	21	82	19	41	33	17	4	20	50	16	157	49	17	25	61	36	17	20	26	51	80	16	15	22	98	62	32	16	38	53	22	34	34	19	7	18	7	14	53	35	99	11	14	14	46	35									
6	Число погашенных избирательных бюллетеней	14299	39	36	163	841	101	86	199	155	302	75	540	474	558	509	109	708	646	875	188	570	221	464	183	510	126	87	101	524	63	59	173	526	357	291	182	279	89	117	108	185	482	130	101	153	66	156	48	395	300	111	88	226	224									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2034	6	8	17	137	47	21	37	21	82	19	41	33	17	4	20	50	16	164	48	17	25	61	36	17	68	26	51	84	16	15	22	98	62	32	16	38	100	22	34	34	19	7	18	7	14	53	35	99	11	14	14	46	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11911	55	66	190	382	52	73	144	83	156	56	479	383	425	427	71	541	338	461	192	412	154	355	121	473	46	67	48	392	51	76	105	376	281	177	202	253	51	101	558	361	399	113	131	119	70	291	157	346	239	165	128	228	291									
9	Число недействительных избирательных бюллетеней	529	5	1	16	19	2	1	7	3	10	1	20	29	17	12	4	18	18	12	8	24	6	23	8	18	3	8	3	21	0	4	4	17	11	4	8	9	1	1	26	12	9	3	10	3	0	9	4	20	12	9	4	20	12									
10	Число действительных избирательных бюллетеней	13416	56	73	191	500	97	93	174	101	228	74	500	387	425	419	87	573	336	613	232	405	173	393	149	472	111	85	96	455	67	87	123	457	332	205	210	282	150	122	566	383	409	117	139	123	84	335	188	425	238	170	138	254	314									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1050	5	5	15	50	10	10	15	10	20	5	40	30	35	30	10	40	35	50	15	35	15	30	15	35	10	10	10	35	10	10	10	35	25	20	15	20	10	10	25	30	35	10	10	10	5	20	10	30	20	10	10	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	267	0	0	2	7	2	2	2	4	6	0	12	12	4	9	3	19	9	13	5	14	5	10	1	8	0	0	0	8	0	1	2	3	2	2	4	3	0	0	16	28	6	2	4	1	4	4	1	4	3	3	3	2	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	377	11	2	7	5	5	2	3	2	5	0	8	12	4	1	3	4	10	21	11	19	8	4	8	15	3	8	5	7	1	3	8	3	11	2	0	2	1	1	7	3	5	5	1	6	1	8	4	14	49	39	5	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	783	5	5	13	43	8	8	13	6	14	5	28	18	31	21	7	21	26	37	10	21	10	20	14	27	10	10	10	27	10	9	8	32	23	18	11	17	10	10	9	2	29	8	6	9	1	16	9	26	17	7	7	13	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	0	0	2	0	0	0	0	1	0	2	1	2	2	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
