Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Барятинская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36					
1	"Число избирателей, внесенных в список"	5338	457	2226	262	221	168	273	149	171	181	161	256	334	198	281					
2	Число полученных избирательных бюллетеней	5362	457	2244	265	220	170	269	149	168	180	167	258	338	196	281					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2620	130	1153	228	98	138	97	90	71	85	48	163	139	108	72					
5	"Число избирательных бюллетеней, выданных вне помещения"	1198	282	95	7	60	15	130	41	64	62	75	42	128	58	139					
6	Число погашенных избирательных бюллетеней	1544	45	996	30	62	17	42	18	33	33	44	53	71	30	70					
7	Число избирательных бюллетеней в переносных ящиках	1198	282	95	7	60	15	130	41	64	62	75	42	128	58	139					
8	Число бюллетеней в стационарных ящиках для голосования	2620	130	1153	228	98	138	97	90	71	85	48	163	139	108	72					
9	Число недействительных избирательных бюллетеней	14	2	8	1	0	2	0	0	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	3804	410	1240	234	158	151	227	131	134	147	123	205	267	166	211					
11	Число полученных открепительных  удостоверений	95	7	40	4	4	4	4	4	4	4	4	4	4	4	4					
12	Число выданных открепительных удостоверений	38	2	29	0	0	0	0	0	0	0	4	1	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	1	8	1	2	1	2	1	2	2	2	1	3	6	2					
14	Число неиспользованных открепительных удостоверений	57	5	11	4	4	4	4	4	4	4	0	3	2	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	0	0	0	0	1	1	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	57	5	28	6	4	4	2	1	1	1	0	2	0	2	1					
		1.49%	1.21%	2.24%	2.55%	2.53%	2.61%	0.88%	0.76%	0.74%	0.68%	0.00%	0.98%	0.00%	1.20%	0.47%					
19	. Малышкин Олег Александрович	61	4	20	0	3	5	1	0	4	3	4	1	3	4	9					
		1.60%	0.97%	1.60%	0.00%	1.90%	3.27%	0.44%	0.00%	2.96%	2.04%	3.25%	0.49%	1.12%	2.41%	4.27%					
20	. Миронов Сергей Михайлович	26	0	15	1	0	1	1	2	0	0	0	1	1	3	1					
		0.68%	0.00%	1.20%	0.43%	0.00%	0.65%	0.44%	1.53%	0.00%	0.00%	0.00%	0.49%	0.37%	1.81%	0.47%					
21	. Путин Владимир Владимирович	3062	351	924	177	124	128	195	119	110	112	107	172	229	138	176					
		80.20%	85.19%	74.04%	75.32%	78.48%	83.66%	85.90%	90.84%	81.48%	76.19%	86.99%	83.90%	85.77%	83.13%	83.41%					
22	. Хакамада Ирина Муцуовна	32	0	20	0	0	0	1	1	1	3	1	0	1	2	2					
		0.84%	0.00%	1.60%	0.00%	0.00%	0.00%	0.44%	0.76%	0.74%	2.04%	0.81%	0.00%	0.37%	1.20%	0.95%					
23	. Харитонов Николай Михайлович	521	49	203	47	25	13	27	7	18	28	11	28	32	15	18					
		13.65%	11.89%	16.27%	20.00%	15.82%	8.50%	11.89%	5.34%	13.33%	19.05%	8.94%	13.66%	11.99%	9.04%	8.53%					
																					
24	Против всех	45	1	30	3	2	0	0	1	0	0	0	1	1	2	4					
		1.18%	0.24%	2.40%	1.28%	1.27%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.49%	0.37%	1.20%	1.90%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
