Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Пошехонская 																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600					
1	"Число избирателей, внесенных в списки"	13791	681	218	215	428	453	696	653	257	282	273	322	460	328	421	531	111	221	381	311	360	284	420	271	1518	1466	1618	247	365					
2	"Число бюллетеней, полученных участковыми комиссиями"	13810	680	230	210	430	450	670	620	250	280	270	330	480	330	430	550	110	220	380	310	360	290	430	260	1500	1450	1650	260	380					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6610	219	85	85	217	217	200	236	37	131	114	128	244	150	186	318	67	93	135	114	152	167	126	98	936	886	888	185	196					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3886	309	107	89	149	148	362	304	186	128	134	155	131	125	176	103	28	91	173	138	126	43	240	101	84	75	99	21	61					
6	Число погашенных бюллетеней	3314	152	38	36	64	85	108	80	27	21	22	47	105	55	68	129	15	36	72	58	82	80	64	61	480	489	663	54	123					
7	Число бюллетеней в переносных ящиках для голосования	3886	309	107	89	149	148	362	304	186	128	134	155	131	125	176	103	28	91	173	138	126	43	240	101	84	75	99	21	61					
8	Число бюллетеней в стационарных ящиках для голосования	6610	219	85	85	217	217	200	236	37	131	114	128	244	150	186	318	67	93	135	114	152	167	126	98	936	886	888	185	196					
9	Число недействительных бюллетеней	107	3	0	1	4	5	5	3	0	1	0	2	1	3	4	2	0	1	0	5	0	3	0	1	29	11	17	5	1					
10	Число действительных бюллетеней	10389	525	192	173	362	360	557	537	223	258	248	281	374	272	358	419	95	183	308	247	278	207	366	198	991	950	970	201	256					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	598	30	12	12	20	20	30	30	12	12	12	20	20	20	20	30	8	12	20	12	20	12	20	12	50	50	50	12	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	156	6	12	6	9	6	8	4	5	2	0	8	16	2	1	7	0	2	4	2	5	8	7	2	12	11	7	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	0	2	2	3	3	2	7	0	1	2	0	2	1	1	4	2	5	1	0	1	2	1	1	4	6	22	3	1					
14	Число погашенных открепительных удостоверений	442	24	0	6	11	14	22	26	7	10	12	12	4	18	19	23	8	10	16	10	15	4	13	10	38	39	43	8	20					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	161	10	2	3	3	7	10	7	4	2	2	3	5	12	2	6	1	1	1	3	3	2	5	5	14	19	16	4	9					
		1.53%	1.89%	1.04%	1.72%	0.81%	1.91%	1.77%	1.29%	1.79%	0.77%	0.80%	1.06%	1.33%	4.36%	0.55%	1.42%	1.05%	0.54%	0.32%	1.19%	1.07%	0.95%	1.36%	2.51%	1.37%	1.97%	1.62%	1.94%	3.50%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	122	2	0	1	8	1	7	6	1	2	0	6	2	6	1	11	0	0	0	3	4	2	3	3	14	17	18	1	3					
		1.16%	0.37%	0.0%	0.57%	2.18%	0.27%	1.24%	1.11%	0.44%	0.77%	0.0%	2.12%	0.53%	2.18%	0.27%	2.61%	0.0%	0.0%	0.0%	1.19%	1.43%	0.95%	0.81%	1.50%	1.37%	1.76%	1.82%	0.48%	1.16%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	235	17	2	7	9	6	10	6	6	8	7	6	3	11	6	9	1	7	11	7	5	6	10	8	17	30	10	3	7					
		2.23%	3.21%	1.04%	4.02%	2.45%	1.64%	1.77%	1.11%	2.69%	3.08%	2.82%	2.12%	0.8%	4.0%	1.65%	2.13%	1.05%	3.80%	3.57%	2.77%	1.79%	2.85%	2.73%	4.02%	1.66%	3.12%	1.01%	1.45%	2.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	108	3	0	0	4	1	6	3	0	2	0	2	1	4	1	1	0	4	1	1	3	5	9	1	17	12	23	1	3					
		1.02%	0.56%	0.0%	0.0%	1.09%	0.27%	1.06%	0.55%	0.0%	0.77%	0.0%	0.70%	0.26%	1.45%	0.27%	0.23%	0.0%	2.17%	0.32%	0.39%	1.07%	2.38%	2.45%	0.50%	1.66%	1.24%	2.33%	0.48%	1.16%					
22	"5. ""За Русь Святую"""	67	3	0	0	6	4	2	4	0	6	1	0	4	3	2	1	0	1	3	0	3	4	0	1	10	2	4	1	2					
		0.63%	0.56%	0.0%	0.0%	1.63%	1.09%	0.35%	0.74%	0.0%	2.31%	0.40%	0.0%	1.06%	1.09%	0.55%	0.23%	0.0%	0.54%	0.97%	0.0%	1.07%	1.90%	0.0%	0.50%	0.98%	0.20%	0.40%	0.48%	0.77%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	4	1	1	0	0	0	0	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	1	7	4	6	0	0					
		0.28%	0.75%	0.52%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.35%	0.0%	0.72%	0.27%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.68%	0.41%	0.60%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	32	2	3	0	0	1	1	0	1	0	0	0	3	0	1	1	1	0	0	1	0	0	0	0	7	4	5	0	1					
		0.30%	0.37%	1.56%	0.0%	0.0%	0.27%	0.17%	0.0%	0.44%	0.0%	0.0%	0.0%	0.8%	0.0%	0.27%	0.23%	1.05%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.68%	0.41%	0.50%	0.0%	0.38%					
25	"8. ""Народно-республиканская партия России"""	20	0	0	0	0	0	1	1	0	2	2	1	0	1	0	0	0	0	1	0	1	1	0	1	3	2	3	0	0					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.18%	0.0%	0.77%	0.80%	0.35%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.35%	0.47%	0.0%	0.50%	0.29%	0.20%	0.30%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	1	0	0	0	1	1	0	0	1	1	0	0	0	1	2	0	0	2	0	1	1	2	0	0	2	0	3	3					
		0.20%	0.18%	0.0%	0.0%	0.0%	0.27%	0.17%	0.0%	0.0%	0.38%	0.40%	0.0%	0.0%	0.0%	0.27%	0.47%	0.0%	0.0%	0.64%	0.0%	0.35%	0.47%	0.54%	0.0%	0.0%	0.20%	0.0%	1.45%	1.16%					
27	"10. ""Аграрная партия России"""	1132	102	15	25	30	37	129	71	17	44	18	20	58	37	34	84	10	37	19	50	28	8	33	18	62	59	68	9	10					
		10.78%	19.31%	7.81%	14.36%	8.19%	10.13%	22.95%	13.14%	7.62%	16.98%	7.25%	7.06%	15.46%	13.45%	9.39%	19.95%	10.52%	20.10%	6.16%	19.84%	10.07%	3.80%	9.01%	9.04%	6.07%	6.13%	6.88%	4.36%	3.89%					
28	"11. ""Истинные патриоты России"""	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	101	7	0	2	1	2	6	5	2	0	2	0	2	1	1	4	6	2	5	5	4	2	6	2	5	7	15	4	3					
		0.96%	1.32%	0.0%	1.14%	0.27%	0.54%	1.06%	0.92%	0.89%	0.0%	0.80%	0.0%	0.53%	0.36%	0.27%	0.95%	6.31%	1.08%	1.62%	1.98%	1.43%	0.95%	1.63%	1.00%	0.49%	0.72%	1.51%	1.94%	1.16%					
30	"13. ""Демократическая партия России"""	25	2	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	3	0	2	0	5	1	1	0	2					
		0.23%	0.37%	0.0%	0.57%	0.27%	0.0%	0.0%	0.18%	0.44%	0.0%	0.0%	0.35%	0.0%	0.36%	0.27%	0.23%	0.0%	0.0%	0.32%	0.0%	1.07%	0.0%	0.54%	0.0%	0.49%	0.10%	0.10%	0.0%	0.77%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	4	0	1					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.27%	0.0%	1.05%	0.54%	0.32%	0.39%	0.35%	0.0%	0.27%	0.0%	0.09%	0.0%	0.40%	0.0%	0.38%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.10%	0.10%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1223	48	9	42	26	34	48	59	26	22	17	29	27	29	59	55	10	14	38	19	31	23	46	17	137	135	163	27	33					
		11.65%	9.09%	4.68%	24.13%	7.10%	9.31%	8.54%	10.92%	11.65%	8.49%	6.85%	10.24%	7.2%	10.54%	16.29%	13.06%	10.52%	7.60%	12.33%	7.53%	11.15%	10.95%	12.56%	8.54%	13.43%	14.04%	16.51%	13.10%	12.84%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	1	0	1	0	0	2	0	1	0	1	2	1	2	1	0	1	0	0	1	1	0	0	0	0	2	3	1	0					
