Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Липецк, Советская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №8206	УИК №8226									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	137343	1294	1338	1263	1191	2084	1923	1619	2172	2708	2335	1515	1958	2103	1618	1620	2507	2264	2458	2286	1846	1528	1653	1668	1875	1635	1784	2312	2034	1804	1840	2059	1708	1781	2393	1983	2038	1953	1936	1747	2211	2057	1786	2220	2179	1604	1250	1665	1771	1825	2210	2288	2067	1932	1674	2103	1782	1978	1812	2335	2154	878	2027	1491	2402	2248	2263	2508	2776	125	112	157	4300	1320									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	120280	1100	1100	1100	1000	1700	1600	1400	1800	2200	1900	1300	1600	1700	1400	1400	2100	1900	2000	1900	1500	1200	1400	1400	1600	1400	1500	1900	1700	1500	1500	1700	1400	1500	2000	1600	1700	1600	1600	1500	1800	1700	1500	1800	1800	1400	1100	1400	1500	1500	1800	1900	1700	1600	1400	1700	1500	1600	1500	1900	1800	800	1800	1200	2000	1900	1900	2100	2200	150	130	200	6000	4600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	59875	544	449	525	461	950	855	641	901	962	998	703	807	996	724	735	1427	1006	977	933	709	676	656	724	769	653	668	867	714	751	765	889	751	730	1022	711	819	671	773	660	979	885	761	1008	1085	682	523	728	808	695	936	932	719	732	626	803	661	806	723	1091	882	465	959	463	1006	832	740	931	985	118	64	87	4283	1305									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1994	23	14	19	21	34	20	18	33	23	27	29	20	23	34	14	67	34	15	22	32	24	12	20	32	23	18	40	19	33	28	35	20	20	24	24	40	30	31	9	32	20	35	41	18	36	15	40	15	37	27	37	24	44	32	22	26	8	17	22	19	1	7	6	36	99	50	29	60	7	35	61	17	15									
6	Число погашенных избирательных бюллетеней	58411	533	637	556	518	716	725	741	866	1215	875	568	773	681	642	651	606	860	1008	945	759	500	732	656	799	724	814	993	967	716	707	776	629	750	954	865	841	899	796	831	789	795	704	751	697	682	562	632	677	768	837	931	957	824	742	875	813	786	760	787	899	334	834	731	958	969	1110	1140	1155	25	31	52	1700	3280									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1994	23	14	19	21	34	20	18	33	23	27	29	20	23	34	14	67	34	15	22	32	24	12	20	32	23	18	40	19	33	28	35	20	20	24	24	40	30	31	9	32	20	35	41	18	36	15	40	15	37	27	37	24	44	32	22	26	8	17	22	19	1	7	6	36	99	50	29	60	7	35	61	17	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	59866	544	449	525	461	950	855	641	901	962	997	703	807	996	724	735	1427	1006	977	932	709	676	652	724	769	653	668	867	714	751	765	889	750	730	1022	711	819	671	773	660	979	884	760	1008	1085	682	523	728	808	695	936	932	719	732	626	803	661	806	723	1091	882	465	959	463	1006	832	740	931	985	118	64	87	4283	1305									
9	Число недействительных избирательных бюллетеней	1358	14	15	15	10	25	25	16	15	0	16	9	21	17	22	21	48	21	24	16	31	27	28	12	14	17	15	18	17	21	7	13	18	13	31	33	30	19	18	17	24	26	15	32	23	10	18	4	14	0	21	34	24	16	23	28	24	19	16	25	9	5	16	12	21	32	20	15	22	0	1	7	37	16									
10	Число действительных избирательных бюллетеней	60502	553	448	529	472	959	850	643	919	985	1008	723	806	1002	736	728	1446	1019	968	938	710	673	636	732	787	659	671	889	716	763	786	911	752	737	1015	702	829	682	786	652	987	878	780	1017	1080	708	520	764	809	732	942	935	719	760	635	797	663	795	724	1088	892	461	950	457	1021	899	770	945	1023	125	98	141	4263	1304									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1514	10	10	10	15	27	33	10	20	25	40	20	17	22	25	20	100	40	20	20	25	10	15	20	24	20	20	15	20	15	20	20	20	10	30	15	17	20	20	20	27	15	15	20	20	20	20	20	20	15	20	20	30	25	20	20	20	25	20	30	20	20	27	25	20	15	25	40	20	0	0	0	10	10									
