Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Краснояружская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11475	659	599	294	701	305	538	710	527	250	392	162	1424	807	1132	988	1163	824									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11905	690	600	292	710	310	545	740	555	270	415	168	1450	850	1195	1025	1220	870									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8697	543	499	246	533	279	462	583	392	209	339	129	1091	562	714	727	774	615									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1417	87	76	35	115	18	72	96	105	34	22	25	154	87	169	53	142	127									
6	Число погашенных избирательных бюллетеней	1791	60	25	11	62	13	11	61	58	27	54	14	205	201	312	245	304	128									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1417	87	76	35	115	18	72	96	105	34	22	25	154	87	169	53	142	127									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8697	543	499	246	533	279	462	583	392	209	339	129	1091	562	714	727	774	615									
9	Число недействительных избирательных бюллетеней	126	6	19	9	7	1	5	10	5	1	2	0	12	7	14	15	5	8									
10	Число действительных избирательных бюллетеней	9988	624	556	272	641	296	529	669	492	242	359	154	1233	642	869	765	911	734									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	221	18	5	2	8	2	9	10	5	10	18	2	20	15	22	25	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	194	14	2	0	5	0	9	10	2	10	18	0	19	12	21	25	17	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	0	3	0	1	0	2	2	1	4	2	0	12	11	4	12	11	4									
14	Число погашенных неиспользованных открепительных удостоверений	27	4	3	2	3	2	0	0	3	0	0	2	1	3	1	0	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	1	1	0	1	0	1	0	0	0	0	0	1	0	1	5	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
