Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    Сальская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560					
1	"Число избирателей, внесенных в список избирателей"	86510	2664	2174	2535	2612	2719	2509	2114	2387	2122	2024	2186	2447	2791	2330	2495	2623	2810	2614	2109	2526	313	1580	690	1221	869	1184	1582	723	2357	829	700	503	734	1579	1527	1085	264	1778	453	905	1563	462	689	691	937	2011	1688	2408	2340	775	949	419	485	137	288	261	740					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79348	2448	2005	2302	2306	2475	2334	1895	2201	2026	1854	2009	2198	2523	2152	2256	2397	2553	2427	1924	2311	500	1422	630	1135	797	1071	1442	656	2154	774	641	546	670	1433	1398	990	236	1643	397	800	1435	417	632	634	851	1826	1559	2164	2133	693	875	378	450	126	255	229	760					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	50862	1681	1432	1791	1597	1011	1291	946	1326	1135	1062	875	1518	1537	1041	1102	1062	1341	1867	1578	1531	98	1010	457	927	578	849	1183	360	1291	555	542	287	423	1001	664	782	205	1387	294	396	1048	347	614	531	707	958	764	1687	1640	630	539	236	346	109	200	150	343					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6488	124	77	112	129	714	134	80	119	61	136	73	201	79	63	176	118	74	128	127	92	208	60	41	29	37	131	205	72	617	126	50	55	82	273	94	106	21	179	72	96	96	29	11	72	75	102	187	145	88	34	46	11	8	7	15	30	161					
6	Число погашенных избирательных бюллетеней	21998	643	496	399	580	750	909	869	756	830	656	1061	479	907	1048	978	1217	1138	432	219	688	194	352	132	179	182	91	54	224	246	93	49	204	165	159	640	102	10	77	31	308	291	41	7	31	69	766	608	332	405	29	290	131	96	10	40	49	256					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6488	124	77	112	129	714	134	80	119	61	136	73	201	79	63	176	118	74	128	127	92	208	60	41	29	37	131	205	72	617	126	50	55	82	273	94	106	21	179	72	96	96	29	11	72	75	102	187	145	88	34	46	11	8	7	15	30	161					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50758	1677	1432	1791	1597	1011	1291	946	1326	1135	1062	875	1518	1536	1041	1102	1062	1341	1867	1578	1531	98	1010	457	927	578	849	1183	360	1291	552	542	287	423	1001	664	782	205	1387	294	396	952	347	614	531	707	958	764	1687	1640	630	539	236	346	109	200	150	343					
9	Число недействительных избирательных бюллетеней	519	29	15	16	7	9	18	4	18	20	3	1	7	15	0	7	13	18	14	16	11	0	7	0	12	6	4	8	3	18	9	0	5	0	0	0	10	11	0	0	2	10	16	0	4	6	18	12	20	37	3	15	0	0	0	37	0	5					
10	Число действительных избирательных бюллетеней	56727	1772	1494	1887	1719	1716	1407	1022	1427	1176	1195	947	1712	1600	1104	1271	1167	1397	1981	1689	1612	306	1063	498	944	609	976	1380	429	1890	669	592	337	505	1274	758	878	215	1566	366	490	1038	360	625	599	776	1042	939	1812	1691	661	570	247	354	116	178	180	499					
