Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Нехаевская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12155	1865	856	972	225	407	151	436	461	317	325	584	113	102	830	105	993	236	277	220	126	148	847	770	789									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11700	1800	850	950	200	400	150	400	450	300	300	550	100	100	800	100	1000	200	250	200	110	140	800	750	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5745	830	387	457	103	194	66	183	205	150	218	310	49	42	313	39	455	176	122	100	53	52	425	242	574									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1487	92	117	64	30	39	15	44	68	88	24	17	48	33	96	45	144	5	91	67	38	65	94	84	79									
6	Число погашенных избирательных бюллетеней	4468	878	346	429	67	167	69	173	177	62	58	223	3	25	391	16	401	19	37	33	19	23	281	424	147									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1487	92	117	64	30	39	15	44	68	88	24	17	48	33	96	45	144	5	91	67	38	65	94	84	79									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5745	830	387	457	103	194	66	183	205	150	218	310	49	42	313	39	455	176	122	100	53	52	425	242	574									
9	Число недействительных избирательных бюллетеней	102	15	8	4	0	0	2	4	4	4	2	0	1	1	5	0	9	20	7	2	0	3	4	3	4									
10	Число действительных избирательных бюллетеней	7130	907	496	517	133	233	79	223	269	234	240	327	96	74	404	84	590	161	206	165	91	114	515	323	649									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	210	20	15	15	5	10	3	10	10	5	5	10	2	2	15	3	15	3	10	3	2	2	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	82	20	15	11	1	0	1	2	4	0	1	10	0	0	1	0	1	0	3	0	2	0	2	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	5	1	2	0	3	1	2	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	128	0	0	4	4	10	2	8	6	5	4	0	2	2	14	3	14	3	7	3	0	2	13	10	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	6	0	4	1	1	0	1	5	0	0	1	0	0	3	0	4	0	1	0	4	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	14	1	6	5	3	0	1	0	0	5	3	1	1	4	0	8	0	0	1	0	0	4	0	3									
		0.83%	1.52%	0.20%	1.15%	3.76%	1.29%	0.00%	0.44%	0.00%	0.00%	2.07%	0.92%	1.03%	1.33%	0.98%	0.00%	1.34%	0.00%	0.00%	0.60%	0.00%	0.00%	0.77%	0.00%	0.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	206	30	14	21	2	8	4	6	1	6	4	17	1	2	22	4	11	3	5	6	3	3	11	3	19									
		2.85%	3.25%	2.78%	4.03%	1.50%	3.43%	4.94%	2.64%	0.37%	2.52%	1.65%	5.20%	1.03%	2.67%	5.38%	4.76%	1.84%	1.66%	2.35%	3.59%	3.30%	2.56%	2.12%	0.92%	2.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	104	18	7	9	4	6	1	7	4	2	3	5	0	0	9	2	7	0	0	0	1	3	3	6	7									
		1.44%	1.95%	1.39%	1.73%	3.01%	2.58%	1.23%	3.08%	1.47%	0.84%	1.24%	1.53%	0.00%	0.00%	2.20%	2.38%	1.17%	0.00%	0.00%	0.00%	1.10%	2.56%	0.58%	1.84%	1.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4478	480	327	325	97	145	31	118	184	170	183	203	72	59	179	33	373	95	165	125	63	64	300	216	471									
		61.92%	52.06%	64.88%	62.38%	72.93%	62.23%	38.27%	51.98%	67.40%	71.43%	75.62%	62.08%	74.23%	78.67%	43.77%	39.29%	62.27%	52.49%	77.46%	74.85%	69.23%	54.70%	57.80%	66.26%	72.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	6	2	3	1	1	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	0	0	0									
		0.30%	0.65%	0.40%	0.58%	0.75%	0.43%	0.00%	0.00%	0.00%	0.42%	0.41%	0.31%	0.00%	0.00%	0.00%	2.38%	0.33%	0.55%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	0	1	0	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	1	1	0	1									
		0.14%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	1.03%	0.00%	0.24%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.85%	0.19%	0.00%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1103	144	76	72	16	40	25	52	36	34	24	44	6	6	93	22	103	37	22	12	12	19	85	58	65									
		15.25%	15.62%	15.08%	13.82%	12.03%	17.17%	30.86%	22.91%	13.19%	14.29%	9.92%	13.46%	6.19%	8.00%	22.74%	26.19%	17.20%	20.44%	10.33%	7.19%	13.19%	16.24%	16.38%	17.79%	9.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	3	0	1	0	1									
		0.17%	0.11%	0.00%	0.19%	0.00%	0.43%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	1.10%	0.00%	0.00%	3.30%	0.00%	0.19%	0.00%	0.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	5	0	0	0	0	0	1	1	0	0	2	2	0	2	0	4	1	0	0	0	0	2	1	0									
		0.29%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.37%	0.00%	0.00%	0.61%	2.06%	0.00%	0.49%	0.00%	0.67%	0.55%	0.00%	0.00%	0.00%	0.00%	0.39%	0.31%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.04%	0.11%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	3	0	5	0	2	1	0	1	1	0	0	0	2	1	0	1	0	0	1	0	0	4	2	0									
		0.33%	0.33%	0.00%	0.96%	0.00%	0.86%	1.23%	0.00%	0.37%	0.42%	0.00%	0.00%	0.00%	2.67%	0.24%	0.00%	0.17%	0.00%	0.00%	0.60%	0.00%	0.00%	0.77%	0.61%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	771	153	51	62	2	18	12	26	38	13	15	37	7	1	57	16	57	16	10	15	4	21	48	26	66									
		10.66%	16.59%	10.12%	11.90%	1.50%	7.73%	14.81%	11.45%	13.92%	5.46%	6.20%	11.31%	7.22%	1.33%	13.94%	19.05%	9.52%	8.84%	4.69%	8.98%	4.40%	17.95%	9.25%	7.98%	10.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	4	2	4	0	0	1	1	1	2	1	0	1	0	1	0	3	2	0	0	0	0	3	0	0									
		0.36%	0.43%	0.40%	0.77%	0.00%	0.00%	1.23%	0.44%	0.37%	0.84%	0.41%	0.00%	1.03%	0.00%	0.24%	0.00%	0.50%	1.10%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	290	48	15	8	6	9	4	10	3	5	4	12	5	3	34	5	20	4	4	5	5	2	53	11	15									
		4.01%	5.21%	2.98%	1.54%	4.51%	3.86%	4.94%	4.41%	1.10%	2.10%	1.65%	3.67%	5.15%	4.00%	8.31%	5.95%	3.34%	2.21%	1.88%	2.99%	5.49%	1.71%	10.21%	3.37%	2.30%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
