Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Старошайговская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644					
1	"Число избирателей, внесенных в списки"	11906	466	95	298	141	144	214	138	217	68	233	62	527	297	811	108	137	454	145	160	388	396	82	170	2117	1919	82	736	399	104	255	293	250					
2	"Число бюллетеней, полученных участковыми комиссиями"	12058	467	95	299	141	145	214	142	219	70	234	64	527	297	817	110	137	453	145	162	387	402	82	173	2178	1966	86	739	401	107	255	293	251					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10893	350	95	297	114	131	178	78	192	68	233	62	441	248	753	108	137	440	120	141	358	332	75	168	1995	1720	78	736	395	103	212	293	242					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	888	116	0	1	27	13	34	57	25	0	0	0	86	49	58	0	0	11	22	19	29	64	7	0	93	122	4	0	0	1	43	0	7					
6	Число погашенных бюллетеней	277	1	0	1	0	1	2	7	2	2	1	2	0	0	6	2	0	2	3	2	0	6	0	5	90	124	4	3	6	3	0	0	2					
7	Число бюллетеней в переносных ящиках для голосования	888	116	0	1	27	13	34	57	25	0	0	0	86	49	58	0	0	11	22	19	29	64	7	0	93	122	4	0	0	1	43	0	7					
8	Число бюллетеней в стационарных ящиках для голосования	10893	350	95	297	114	131	178	78	192	68	233	62	441	248	753	108	137	440	120	141	358	332	75	168	1995	1720	78	736	395	103	212	293	242					
9	Число недействительных бюллетеней	53	0	5	0	1	2	0	0	14	0	0	0	0	3	2	1	1	0	0	0	12	4	3	0	0	0	0	0	0	1	1	2	1					
10	Число действительных бюллетеней	11728	466	90	298	140	142	212	135	203	68	233	62	527	294	809	107	136	451	142	160	375	392	79	168	2088	1842	82	736	395	103	254	291	248					
