Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																	
Дата голосования: 04.12.2011																																																																																																	
																																																																																																	
"Наименование Избирательной комиссии:    Пермь, Свердловская"																																																																																																	
																																																																																																	
Сводная таблица результатов выборов																																																																																																	
																																																																																																	
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490					
1	"Число избирателей, внесенных в список избирателей"	166854	2163	2639	2761	2757	2642	2185	2585	1509	1817	1895	1487	2631	1278	1350	1831	1788	1195	1459	1388	1449	1133	2040	1903	1382	1471	1158	1314	2318	1748	1668	1620	1434	2162	2570	2092	2372	2089	2202	1975	2094	2035	1950	2426	1780	2688	2175	1868	2087	2024	2516	2002	1878	2239	1684	2421	1570	2260	1531	2033	1859	1685	1454	2042	2805	1002	2955	2516	2339	2353	2066	2338	1936	2643	2125	2622	2488	1568	1769	1353	886	802	2566	2675	2427	85	150	292	58	145	129					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	130450	1600	2100	2200	2200	2100	1700	2000	1200	1300	1500	1100	2000	1000	1000	1400	1300	900	1100	1100	1100	900	1600	1500	1100	1100	900	1000	1800	1400	1300	1300	1100	1700	2000	1600	1800	1600	1700	1500	1600	1600	1500	1900	1400	2100	1700	1500	1600	1600	2000	1500	1500	1800	1300	1900	1200	1800	1200	1600	1500	1300	1100	1600	2100	950	2200	2000	1900	1900	1600	1900	1500	2100	1700	2100	1900	1200	1400	1100	700	600	2000	2100	1900	100	150	300	100	200	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	76641	1092	1229	1373	1464	1308	1023	1238	747	991	1072	795	1317	717	681	939	1033	618	663	609	617	516	928	886	732	730	664	684	1008	800	784	734	655	1048	1200	1035	945	1049	1115	870	994	937	735	1010	821	1181	920	890	1060	984	1128	871	712	1000	775	940	748	1080	438	988	713	681	574	913	1194	418	1341	1211	858	916	897	1180	783	1184	1037	1214	1134	570	612	439	390	359	819	1120	1121	85	150	285	58	135	129					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2509	41	28	28	25	30	13	27	11	20	22	33	75	30	50	31	37	26	30	32	11	17	25	28	16	23	21	23	18	28	22	34	41	30	40	40	15	35	26	39	51	29	16	32	30	46	54	25	21	10	35	23	21	25	17	20	17	33	11	40	45	24	25	29	32	21	24	38	22	25	13	33	17	25	43	56	27	46	77	50	10	17	54	31	48	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	51300	467	843	799	711	762	664	735	442	289	406	272	608	253	269	430	230	256	407	459	472	367	647	586	352	347	215	293	774	572	494	532	404	622	760	525	840	516	559	591	555	634	749	858	549	873	726	585	519	606	837	606	767	775	508	940	435	687	751	572	742	595	501	658	874	511	835	751	1020	959	690	687	700	891	620	830	739	584	711	611	300	224	1127	949	731	15	0	15	42	65	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2509	41	28	28	25	30	13	27	11	20	22	33	75	30	50	31	37	26	30	32	11	17	25	28	16	23	21	23	18	28	22	34	41	30	40	40	15	35	26	39	51	29	16	32	30	46	54	25	21	10	35	23	21	25	17	20	17	33	11	40	45	24	25	29	32	21	24	38	22	25	13	33	17	25	43	56	27	46	77	50	10	17	54	31	48	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	76544	1090	1229	1373	1463	1278	1023	1237	745	991	1072	795	1316	717	681	939	1032	617	663	609	616	514	928	883	732	730	664	683	1008	800	784	733	655	1045	1200	1032	945	1049	1112	868	992	936	735	1010	820	1181	920	890	1060	984	1127	871	712	1000	775	937	748	1079	438	988	713	681	573	899	1192	418	1338	1207	856	915	897	1180	782	1184	1035	1214	1134	570	612	439	390	359	819	1120	1121	85	150	285	58	135	129					
9	Число недействительных избирательных бюллетеней	1808	26	20	43	30	29	20	18	21	28	29	11	27	9	12	28	12	13	13	12	10	8	19	15	14	13	10	16	21	27	22	22	22	18	23	31	23	20	33	14	16	27	17	25	13	33	32	16	26	16	38	32	17	35	19	23	20	26	18	26	25	22	7	22	29	10	37	23	16	22	22	32	16	33	18	26	26	11	16	13	8	7	22	41	33	1	4	2	0	4	3					
10	Число действительных избирательных бюллетеней	77245	1105	1237	1358	1458	1279	1016	1246	735	983	1065	817	1364	738	719	942	1057	630	680	629	617	523	934	896	734	740	675	690	1005	801	784	745	674	1057	1217	1041	937	1064	1105	893	1027	938	734	1017	837	1194	942	899	1055	978	1124	862	716	990	773	934	745	1086	431	1002	733	683	591	906	1195	429	1325	1222	862	918	888	1181	783	1176	1060	1244	1135	605	673	476	392	369	851	1110	1136	84	146	283	58	131	126					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2889	35	45	45	40	45	35	35	25	32	25	25	60	35	36	25	40	25	30	25	25	25	35	40	35	25	25	35	35	35	35	35	25	35	40	40	40	25	40	25	25	25	25	45	25	45	25	35	35	35	35	35	35	35	25	35	25	36	25	35	25	25	25	35	65	25	45	60	65	45	40	60	40	40	25	40	40	25	35	25	25	25	25	35	35	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2630	35	45	45	40	44	35	33	25	32	21	24	60	32	30	25	40	25	30	24	25	16	32	37	31	20	21	28	35	32	28	30	18	33	39	26	32	24	28	25	24	21	21	41	16	45	25	35	34	35	32	27	29	35	23	35	19	32	18	35	24	19	24	30	59	12	44	60	62	42	40	60	32	39	20	40	40	25	35	21	9	17	25	33	31	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2292	21	41	10	15	38	11	20	5	20	85	63	44	16	24	17	158	20	17	11	26	10	16	7	15	8	7	15	39	33	18	12	8	12	53	37	79	28	73	24	38	35	19	8	50	10	8	38	21	22	33	66	25	25	1	14	1	14	17	17	5	16	1	28	143	14	201	20	9	9	15	6	4	10	6	4	3	1	6	6	10	6	13	14	6	7	10	50	17	7	27					
14	Число погашенных неиспользованных открепительных удостоверений	259	0	0	0	0	1	0	2	0	0	4	1	0	3	6	0	0	0	0	1	0	9	3	3	4	5	4	7	0	3	7	5	7	2	1	14	8	1	12	0	1	4	4	4	9	0	0	0	1	0	3	8	6	0	2	0	6	4	7	0	1	6	1	5	6	13	1	0	3	3	0	0	8	1	5	0	0	0	0	4	16	8	0	2	4	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	14059	217	258	298	338	271	180	260	148	166	232	121	223	162	137	227	217	138	123	135	118	101	182	169	143	162	142	139	203	156	134	146	142	196	185	163	144	190	205	142	183	157	117	166	141	213	136	159	196	208	184	133	113	186	113	127	129	170	60	160	104	113	87	141	184	74	184	224	164	140	171	231	138	195	203	240	228	111	118	87	74	71	141	217	216	12	16	54	9	22	26					
		17.78%	19.19%	20.53%	21.27%	22.72%	20.72%	17.37%	20.57%	19.58%	16.42%	21.21%	14.61%	16.03%	21.69%	18.74%	23.40%	20.30%	21.46%	17.75%	21.06%	18.82%	19.02%	19.10%	18.55%	19.12%	21.51%	20.73%	19.69%	19.79%	18.84%	16.63%	19.04%	20.40%	18.23%	14.92%	15.21%	15.00%	17.53%	18.01%	15.66%	17.55%	16.27%	15.58%	15.93%	16.59%	17.36%	13.96%	17.38%	18.13%	20.93%	15.83%	14.88%	15.42%	18.15%	14.27%	13.27%	16.86%	15.29%	13.36%	15.56%	13.72%	16.03%	14.55%	15.19%	15.03%	16.86%	13.51%	17.99%	18.68%	14.89%	18.79%	19.04%	17.27%	16.13%	18.83%	18.90%	19.64%	18.02%	17.13%	17.79%	18.50%	18.88%	16.15%	18.85%	18.48%	14.12%	10.67%	18.95%	15.52%	16.30%	20.16%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13446	204	214	232	238	197	171	193	115	125	137	92	210	96	93	124	111	80	120	116	112	62	161	137	126	111	82	93	168	115	124	137	95	159	221	177	171	194	171	168	167	184	147	166	155	191	190	146	176	165	191	145	127	203	138	189	136	191	99	145	149	131	109	158	276	100	254	208	205	214	178	240	153	219	197	255	199	99	130	77	78	70	196	275	246	18	22	30	16	21	20					
		17.01%	18.04%	17.02%	16.56%	15.99%	15.06%	16.51%	15.27%	15.21%	12.36%	12.52%	11.11%	15.10%	12.85%	12.72%	12.78%	10.38%	12.44%	17.32%	18.10%	17.86%	11.68%	16.89%	15.04%	16.84%	14.74%	11.97%	13.17%	16.37%	13.89%	15.38%	17.86%	13.65%	14.79%	17.82%	16.51%	17.81%	17.90%	15.03%	18.52%	16.01%	19.07%	19.57%	15.93%	18.24%	15.57%	19.51%	15.96%	16.28%	16.60%	16.44%	16.22%	17.33%	19.80%	17.42%	19.75%	17.78%	17.18%	22.05%	14.11%	19.66%	18.58%	18.23%	17.03%	22.55%	22.78%	18.65%	16.71%	23.35%	22.77%	19.56%	19.79%	19.15%	18.11%	18.27%	20.08%	17.14%	16.07%	18.87%	15.75%	19.50%	18.62%	22.45%	23.89%	21.04%	21.18%	14.67%	10.53%	27.59%	15.56%	15.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	840	11	20	21	17	10	7	18	12	14	12	7	15	3	8	7	13	10	6	7	12	6	13	11	4	4	10	5	2	16	10	5	7	10	16	9	7	10	10	11	6	4	6	10	9	10	10	7	11	16	11	12	2	7	7	4	9	12	1	14	8	3	8	8	7	7	11	20	12	17	8	5	15	15	14	15	14	9	4	6	8	4	8	12	23	1	1	6	0	6	1					
		1.06%	0.97%	1.59%	1.50%	1.14%	0.76%	0.68%	1.42%	1.59%	1.38%	1.10%	0.85%	1.08%	0.40%	1.09%	0.72%	1.22%	1.56%	0.87%	1.09%	1.91%	1.13%	1.36%	1.21%	0.53%	0.53%	1.46%	0.71%	0.19%	1.93%	1.24%	0.65%	1.01%	0.93%	1.29%	0.84%	0.73%	0.92%	0.88%	1.21%	0.58%	0.41%	0.80%	0.96%	1.06%	0.81%	1.03%	0.77%	1.02%	1.61%	0.95%	1.34%	0.27%	0.68%	0.88%	0.42%	1.18%	1.08%	0.22%	1.36%	1.06%	0.43%	1.34%	0.86%	0.57%	1.59%	0.81%	1.61%	1.37%	1.81%	0.88%	0.41%	1.88%	1.24%	1.30%	1.18%	1.21%	1.46%	0.58%	1.23%	2.00%	1.06%	0.92%	1.04%	1.97%	1.18%	0.67%	2.11%	0.00%	4.44%	0.78%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	20448	280	335	348	351	386	286	306	193	300	249	251	378	230	217	279	280	138	187	176	144	146	228	236	189	202	185	200	272	207	218	207	162	301	326	271	243	313	292	235	301	240	190	251	237	380	296	254	277	271	334	272	179	252	219	250	171	347	113	320	166	140	137	233	335	77	337	343	204	213	221	299	197	266	243	302	271	158	158	135	92	92	207	286	251	20	43	50	15	30	26					
		25.87%	24.76%	26.65%	24.84%	23.59%	29.51%	27.61%	24.21%	25.53%	29.67%	22.76%	30.31%	27.17%	30.79%	29.69%	28.76%	26.19%	21.46%	26.98%	27.46%	22.97%	27.50%	23.92%	25.91%	25.27%	26.83%	27.01%	28.33%	26.51%	25.00%	27.05%	26.99%	23.28%	28.00%	26.29%	25.28%	25.31%	28.87%	25.66%	25.91%	28.86%	24.87%	25.30%	24.09%	27.88%	30.97%	30.39%	27.76%	25.62%	27.26%	28.74%	30.43%	24.42%	24.59%	27.65%	26.12%	22.35%	31.21%	25.17%	31.13%	21.90%	19.86%	22.91%	25.11%	27.37%	17.54%	24.74%	27.55%	23.23%	22.66%	24.29%	24.65%	24.66%	22.00%	22.54%	23.78%	23.34%	25.65%	22.93%	27.61%	23.00%	24.47%	23.71%	24.85%	21.47%	23.53%	28.67%	17.54%	25.86%	22.22%	20.16%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6096	110	131	119	201	136	91	117	100	161	121	104	134	87	75	111	125	98	93	57	52	66	121	96	76	71	83	85	95	114	65	59	54	71	93	88	66	67	78	41	72	55	36	73	40	72	51	53	75	55	61	40	56	47	50	57	56	58	15	62	34	42	28	54	62	23	68	66	44	46	47	63	52	99	58	87	101	44	53	30	23	33	36	44	36	4	6	3	3	3	8					
		7.71%	9.73%	10.42%	8.49%	13.51%	10.40%	8.78%	9.26%	13.23%	15.92%	11.06%	12.56%	9.63%	11.65%	10.26%	11.44%	11.69%	15.24%	13.42%	8.89%	8.29%	12.43%	12.70%	10.54%	10.16%	9.43%	12.12%	12.04%	9.26%	13.77%	8.06%	7.69%	7.76%	6.60%	7.50%	8.21%	6.88%	6.18%	6.85%	4.52%	6.90%	5.70%	4.79%	7.01%	4.71%	5.87%	5.24%	5.79%	6.94%	5.53%	5.25%	4.47%	7.64%	4.59%	6.31%	5.96%	7.32%	5.22%	3.34%	6.03%	4.49%	5.96%	4.68%	5.82%	5.07%	5.24%	4.99%	5.30%	5.01%	4.89%	5.16%	5.19%	6.51%	8.19%	5.38%	6.85%	8.70%	7.14%	7.69%	6.13%	5.75%	8.78%	4.12%	3.82%	3.08%	4.71%	4.00%	1.05%	5.17%	2.22%	6.20%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21350	267	268	322	288	258	264	331	149	197	297	231	385	147	183	180	293	153	141	133	170	134	214	241	188	183	163	163	256	184	219	182	201	306	355	329	298	276	338	284	281	290	230	340	243	313	245	273	310	251	333	255	232	285	239	278	230	297	135	285	266	248	215	297	324	142	451	350	221	273	250	325	220	368	338	331	303	176	198	134	110	96	253	263	356	27	56	136	15	47	45					
		27.01%	23.61%	21.32%	22.98%	19.35%	19.72%	25.48%	26.19%	19.71%	19.49%	27.15%	27.90%	27.68%	19.68%	25.03%	18.56%	27.41%	23.79%	20.35%	20.75%	27.11%	25.24%	22.46%	26.45%	25.13%	24.30%	23.80%	23.09%	24.95%	22.22%	27.17%	23.73%	28.88%	28.47%	28.63%	30.69%	31.04%	25.46%	29.70%	31.31%	26.94%	30.05%	30.63%	32.63%	28.59%	25.51%	25.15%	29.84%	28.68%	25.25%	28.66%	28.52%	31.65%	27.80%	30.18%	29.05%	30.07%	26.71%	30.07%	27.72%	35.09%	35.18%	35.95%	32.00%	26.47%	32.35%	33.11%	28.11%	25.17%	29.04%	27.47%	26.79%	27.53%	30.44%	31.35%	26.06%	26.10%	28.57%	28.74%	27.40%	27.50%	25.53%	28.98%	22.85%	30.45%	31.76%	37.33%	47.72%	25.86%	34.81%	34.88%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1006	16	11	18	25	21	17	21	18	20	17	11	19	13	6	14	18	13	10	5	9	8	15	6	8	7	10	5	9	9	14	9	13	14	21	4	8	14	11	12	17	8	8	11	12	15	14	7	10	12	10	5	7	10	7	29	14	11	8	16	6	6	7	15	7	6	20	11	12	15	13	18	8	14	7	14	19	8	12	7	7	3	10	13	8	2	2	4	0	2	0					
		1.27%	1.41%	0.88%	1.28%	1.68%	1.61%	1.64%	1.66%	2.38%	1.98%	1.55%	1.33%	1.37%	1.74%	0.82%	1.44%	1.68%	2.02%	1.44%	0.78%	1.44%	1.51%	1.57%	0.66%	1.07%	0.93%	1.46%	0.71%	0.88%	1.09%	1.74%	1.17%	1.87%	1.30%	1.69%	0.37%	0.83%	1.29%	0.97%	1.32%	1.63%	0.83%	1.07%	1.06%	1.41%	1.22%	1.44%	0.77%	0.93%	1.21%	0.86%	0.56%	0.95%	0.98%	0.88%	3.03%	1.83%	0.99%	1.78%	1.56%	0.79%	0.85%	1.17%	1.62%	0.57%	1.37%	1.47%	0.88%	1.37%	1.60%	1.43%	1.48%	1.00%	1.16%	0.65%	1.10%	1.64%	1.30%	1.74%	1.43%	1.75%	0.80%	1.15%	1.13%	0.68%	2.35%	1.33%	1.40%	0.00%	1.48%	0.00%					
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
