Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Кумылженская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328					
1	"Число избирателей, внесенных в список избирателей"	16543	1622	1404	613	476	1644	1101	461	179	269	148	762	487	338	933	612	296	148	99	334	1034	331	896	45	106	665	319	614	607					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16120	1600	1350	600	450	1650	1000	450	180	250	140	750	480	340	900	600	280	140	90	340	1000	340	900	40	100	650	300	600	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7210	728	684	300	170	655	410	164	106	134	65	407	146	163	519	241	123	57	36	138	440	132	473	17	39	204	119	209	331					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2611	59	108	22	100	148	177	71	40	37	35	123	227	96	108	89	74	65	38	123	125	59	100	12	21	183	150	162	59					
6	Число погашенных избирательных бюллетеней	6299	813	558	278	180	847	413	215	34	79	40	220	107	81	273	270	83	18	16	79	435	149	327	11	40	263	31	229	210					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2611	59	108	22	100	148	177	71	40	37	35	123	227	96	108	89	74	65	38	123	125	59	100	12	21	183	150	162	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7210	728	684	300	170	655	410	164	106	134	65	407	146	163	519	241	123	57	36	138	440	132	473	17	39	204	119	209	331					
9	Число недействительных избирательных бюллетеней	94	8	9	4	6	7	10	1	0	2	0	5	3	2	8	4	1	1	2	0	4	1	6	0	1	7	0	1	1					
10	Число действительных избирательных бюллетеней	9727	779	783	318	264	796	577	234	146	169	100	525	370	257	619	326	196	121	72	261	561	190	567	29	59	380	269	370	389					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	191	10	10	5	5	12	10	5	13	4	4	8	5	5	10	8	4	3	3	5	10	5	10	4	4	8	5	8	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	90	10	8	4	2	12	6	2	8	3	0	0	2	2	1	2	0	0	0	1	5	1	3	0	3	5	1	4	5					
