Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Кумылженская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092					
1	"Число избирателей, внесенных в списки избирателей"	15461	1619	1243	531	444	1812	766	442	162	242	129	306	683	456	873	556	262	134	98	377	878	54	57	213	622	280	534	476	91	978	48	95					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16366	1432	1226	600	540	1656	775	470	190	270	160	350	775	540	930	625	320	170	125	375	987	70	85	265	665	345	620	535	110	945	80	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8613	785	710	281	208	863	334	208	101	153	88	191	408	196	601	367	161	85	46	190	561	41	43	158	390	150	383	242	54	531	26	58					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2166	77	70	22	100	159	123	53	44	61	28	68	87	182	118	74	59	44	32	109	111	7	10	12	113	96	53	81	27	109	12	25					
6	Число погашенных избирательных бюллетеней	5587	570	446	297	232	634	318	209	45	56	44	91	280	162	211	184	100	41	47	76	315	22	32	95	162	99	184	212	29	305	42	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2166	77	70	22	100	159	123	53	44	61	28	68	87	182	118	74	59	44	32	109	111	7	10	12	113	96	53	81	27	109	12	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8612	785	710	281	208	863	334	208	101	153	88	191	408	195	601	367	161	85	46	190	561	41	43	158	390	150	383	242	54	531	26	58					
9	Число недействительных избирательных бюллетеней	75	11	4	2	3	7	0	3	0	2	0	1	1	0	7	1	1	0	2	0	7	0	0	4	5	0	4	5	0	4	1	0					
10	Число действительных избирательных бюллетеней	10703	851	776	301	305	1015	457	258	145	212	116	258	494	377	712	440	219	129	76	299	665	48	53	166	498	246	432	318	81	636	37	83					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	300	25	20	10	10	30	15	6	5	5	5	6	15	10	15	10	6	5	5	6	15	3	3	6	10	6	13	10	2	15	3	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	106	8	17	5	4	10	3	2	2	0	0	3	7	1	0	0	0	0	0	0	7	0	1	4	1	6	13	6	0	4	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	45	9	1	1	0	6	0	1	2	1	0	0	4	4	3	5	0	0	0	0	3	0	0	0	1	0	0	0	0	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	194	17	3	5	6	20	12	4	3	5	5	3	8	9	15	10	6	5	5	6	8	3	2	2	9	0	0	4	2	11	3	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	1.Политическая партия «Аграрная партия России»	1438	72	95	29	87	133	47	40	12	32	19	48	87	27	55	74	30	9	7	38	80	6	2	25	86	39	101	51	15	78	1	13					
		13.34%	8.35%	12.18%	9.57%	28.25%	13.01%	10.28%	15.33%	8.28%	14.95%	16.38%	18.53%	17.58%	7.16%	7.65%	16.78%	13.64%	6.98%	8.97%	12.71%	11.90%	12.50%	3.77%	14.71%	17.10%	15.85%	23.17%	15.79%	18.52%	12.19%	2.63%	15.66%					
19	2.Всероссийская политическая партия «Гражданская Сила»	32	4	2	2	0	5	2	3	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	4	1	0	1	0	1					
		0.30%	0.46%	0.26%	0.66%	0.00%	0.49%	0.44%	1.15%	0.00%	0.47%	0.00%	0.00%	0.20%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.81%	0.92%	0.31%	0.00%	0.16%	0.00%	1.20%					
20	3.Политическая партия «Демократическая партия России»	11	0	2	0	0	1	1	0	1	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
