Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Новомалыклинская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425					
1	"Число избирателей, внесенных в списки избирателей"	13057	339	497	483	307	161	497	1369	1410	553	205	375	325	1361	1191	645	879	415	295	554	430	600	166					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12200	314	482	451	289	168	463	1233	1283	500	195	358	308	1272	1110	600	810	374	275	518	416	602	179					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8633	264	365	319	219	129	342	849	848	340	136	271	216	741	725	473	553	329	245	445	272	433	119					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1056	28	36	50	29	13	49	58	66	36	15	34	24	127	120	56	88	39	17	45	36	70	20					
6	Число погашенных избирательных бюллетеней	2511	22	81	82	41	26	72	326	369	124	44	53	68	404	265	71	169	6	13	28	108	99	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1056	28	36	50	29	13	49	58	66	36	15	34	24	127	120	56	88	39	17	45	36	70	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8633	264	365	319	219	129	342	849	848	340	136	271	216	741	725	473	553	329	245	445	272	433	119					
9	Число недействительных избирательных бюллетеней	89	0	0	7	0	2	7	13	4	0	2	4	2	9	2	3	12	2	2	3	5	6	4					
10	Число действительных избирательных бюллетеней	9600	292	401	362	248	140	384	894	910	376	149	301	238	859	843	526	629	366	260	487	303	497	135					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	496	15	35	20	15	15	10	27	27	20	11	20	15	37	40	20	20	10	7	28	32	57	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	478	15	35	15	15	8	10	27	26	20	11	20	10	37	40	20	20	10	7	28	32	57	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	132	4	1	4	1	1	1	16	19	23	4	5	0	7	4	5	3	9	2	7	3	8	5					
14	Число погашенных неиспользованных открепительных удостоверений	18	0	0	5	0	7	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	185	8	11	10	4	4	13	16	20	3	2	7	8	6	5	9	0	6	2	26	17	6	2					
		1.91%	2.74%	2.74%	2.71%	1.61%	2.82%	3.32%	1.76%	2.19%	0.80%	1.32%	2.30%	3.33%	0.69%	0.59%	1.70%	0.00%	1.63%	0.76%	5.31%	5.52%	1.19%	1.44%					
19	2.Всероссийская политическая партия «Гражданская Сила»	23	1	0	0	0	0	1	4	5	0	0	0	0	3	3	2	0	0	0	2	1	1	0					
		0.24%	0.34%	0.00%	0.00%	0.00%	0.00%	0.26%	0.44%	0.55%	0.00%	0.00%	0.00%	0.00%	0.35%	0.36%	0.38%	0.00%	0.00%	0.00%	0.41%	0.32%	0.20%	0.00%					
20	3.Политическая партия «Демократическая партия России»	7	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	2	1	0					
