Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Георгиевская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323					
1	"Число избирателей, внесенных в списки избирателей"	66073	2152	2376	1804	1508	1646	1949	2091	1845	438	1057	1938	752	1981	2016	2503	2602	1905	2002	2608	382	2167	966	1998	2143	2004	2315	2361	1385	2135	1696	2071	1632	397	2273	2642	2333					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	62000	2000	2200	1600	1400	1500	1800	2000	1800	400	1000	1800	700	1800	2000	2400	2500	1800	1800	2500	300	2000	800	1900	2000	2000	2300	2400	1300	2000	1600	2000	1400	300	2200	2500	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33506	767	1046	875	566	683	1207	998	1006	347	517	893	458	820	920	1072	1098	1245	968	1372	199	1159	512	996	985	1093	1343	1385	680	1059	1028	1140	1201	276	1315	1332	945					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3875	90	52	31	84	55	196	166	100	28	280	315	55	149	136	138	209	154	23	88	54	62	70	120	134	40	88	75	138	214	113	85	54	16	111	110	42					
6	Число погашенных избирательных бюллетеней	24619	1143	1102	694	750	762	397	836	694	25	203	592	187	831	944	1190	1193	401	809	1040	47	779	218	784	881	867	869	940	482	727	459	775	145	8	774	1058	1013					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3875	90	52	31	84	55	196	166	100	28	280	315	55	149	136	138	209	154	23	88	54	62	70	120	134	40	88	75	138	214	113	85	54	16	111	110	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33503	767	1046	875	566	683	1207	998	1006	347	517	893	458	820	920	1072	1098	1245	968	1372	199	1159	512	996	985	1090	1343	1385	680	1059	1028	1140	1201	276	1315	1332	945					
9	Число недействительных избирательных бюллетеней	402	5	10	14	6	5	13	5	52	0	1	5	3	11	11	9	23	13	17	30	0	16	3	7	10	10	8	17	6	6	7	31	8	4	9	13	14					
10	Число действительных избирательных бюллетеней	36976	852	1088	892	644	733	1390	1159	1054	375	796	1203	510	958	1045	1201	1284	1386	974	1430	253	1205	579	1109	1109	1120	1423	1443	812	1267	1134	1194	1247	288	1417	1429	973					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	498	22	17	17	10	10	14	15	13	4	7	14	7	14	14	20	20	17	17	20	4	15	7	14	14	14	15	20	10	15	10	20	12	4	15	20	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	251	12	10	17	6	10	7	0	2	1	7	2	3	7	6	15	5	3	12	14	1	11	2	6	4	14	11	6	2	7	5	7	12	4	10	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	144	4	0	17	6	5	4	3	2	3	3	3	1	6	5	6	1	5	5	7	4	3	2	4	0	5	2	5	4	3	7	1	5	3	3	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	247	10	7	0	4	0	7	15	11	3	0	12	4	7	8	5	15	14	5	6	3	4	5	8	10	0	4	14	8	8	5	13	0	0	5	15	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	1.Политическая партия «Аграрная партия России»	562	14	19	9	11	6	28	16	14	1	11	4	5	12	12	23	28	20	22	35	4	34	14	19	16	26	11	11	4	11	12	16	15	12	23	20	24					
		1.50%	1.63%	1.73%	0.99%	1.69%	0.81%	1.99%	1.37%	1.27%	0.27%	1.38%	0.33%	0.97%	1.24%	1.14%	1.90%	2.14%	1.43%	2.22%	2.40%	1.58%	2.78%	2.41%	1.70%	1.43%	2.30%	0.77%	0.75%	0.49%	0.86%	1.05%	1.31%	1.20%	4.11%	1.61%	1.39%	2.43%					
19	2.Всероссийская политическая партия «Гражданская Сила»	143	2	7	10	3	5	5	3	5	0	1	2	1	2	4	2	2	2	3	5	1	3	0	7	7	6	3	7	1	2	7	6	13	0	7	3	6					
		0.38%	0.23%	0.64%	1.10%	0.46%	0.68%	0.36%	0.26%	0.45%	0.00%	0.13%	0.17%	0.19%	0.21%	0.38%	0.17%	0.15%	0.14%	0.30%	0.34%	0.40%	0.25%	0.00%	0.63%	0.63%	0.53%	0.21%	0.48%	0.12%	0.16%	0.61%	0.49%	1.04%	0.00%	0.49%	0.21%	0.61%					
20	3.Политическая партия «Демократическая партия России»	26	0	1	0	0	0	1	2	0	0	0	0	0	0	1	1	0	1	1	2	0	0	0	2	2	0	0	0	0	1	6	2	0	1	2	0	0					
		0.07%	0.00%	0.09%	0.00%	0.00%	0.00%	0.07%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.08%	0.00%	0.07%	0.10%	0.14%	0.00%	0.00%	0.00%	0.18%	0.18%	0.00%	0.00%	0.00%	0.00%	0.08%	0.53%	0.16%	0.00%	0.34%	0.14%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3291	134	157	98	93	76	103	111	79	18	63	33	22	45	63	156	129	77	83	132	20	103	53	103	103	118	106	106	73	88	78	84	76	23	161	162	162					
		8.80%	15.64%	14.30%	10.82%	14.31%	10.30%	7.34%	9.54%	7.14%	4.80%	7.90%	2.73%	4.29%	4.64%	5.97%	12.89%	9.87%	5.50%	8.38%	9.04%	7.91%	8.44%	9.11%	9.23%	9.20%	10.44%	7.41%	7.26%	8.92%	6.91%	6.84%	6.86%	6.06%	7.88%	11.29%	11.23%	16.41%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	191	5	10	3	2	5	7	6	10	3	1	5	3	2	5	5	14	2	1	8	1	6	2	2	2	4	9	7	4	12	3	8	14	2	2	13	3					
		0.51%	0.58%	0.91%	0.33%	0.31%	0.68%	0.50%	0.52%	0.90%	0.80%	0.13%	0.41%	0.58%	0.21%	0.47%	0.41%	1.07%	0.14%	0.10%	0.55%	0.40%	0.49%	0.34%	0.18%	0.18%	0.35%	0.63%	0.48%	0.49%	0.94%	0.26%	0.65%	1.12%	0.68%	0.14%	0.90%	0.30%					
23	6.Политическая партия «Партия социальной справедливости»	45	0	3	0	1	1	1	2	0	0	1	0	1	1	1	4	1	4	1	3	3	2	0	1	0	0	1	2	0	0	1	2	2	0	0	2	4					
		0.12%	0.00%	0.27%	0.00%	0.15%	0.14%	0.07%	0.17%	0.00%	0.00%	0.13%	0.00%	0.19%	0.10%	0.09%	0.33%	0.08%	0.29%	0.10%	0.21%	1.19%	0.16%	0.00%	0.09%	0.00%	0.00%	0.07%	0.14%	0.00%	0.00%	0.09%	0.16%	0.16%	0.00%	0.00%	0.14%	0.41%					
24	7.Политическая партия «Либерально-демократическая партия России»	2053	44	64	62	47	40	89	75	64	15	35	9	13	48	59	73	72	61	50	83	17	75	62	70	73	66	77	58	35	67	58	74	85	24	70	76	63					
		5.49%	5.13%	5.83%	6.84%	7.23%	5.42%	6.34%	6.44%	5.79%	4.00%	4.39%	0.75%	2.53%	4.95%	5.59%	6.03%	5.51%	4.36%	5.05%	5.68%	6.72%	6.14%	10.65%	6.27%	6.52%	5.84%	5.38%	3.97%	4.28%	5.26%	5.08%	6.04%	6.77%	8.22%	4.91%	5.27%	6.38%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4603	153	229	168	116	141	127	137	151	31	91	66	57	102	158	110	92	61	94	323	15	208	116	108	149	260	165	157	134	117	124	131	101	23	184	100	104					
		12.31%	17.85%	20.86%	18.54%	17.85%	19.11%	9.05%	11.77%	13.65%	8.27%	11.42%	5.46%	11.11%	10.53%	14.96%	9.09%	7.04%	4.36%	9.49%	22.12%	5.93%	17.04%	19.93%	9.68%	13.32%	23.01%	11.53%	10.75%	16.38%	9.19%	10.87%	10.69%	8.05%	7.88%	12.90%	6.93%	10.54%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	185	6	3	5	0	4	3	2	4	0	1	3	2	3	5	8	2	8	6	5	2	9	1	9	2	5	4	5	5	8	8	8	8	1	29	6	5					
		0.49%	0.70%	0.27%	0.55%	0.00%	0.54%	0.21%	0.17%	0.36%	0.00%	0.13%	0.25%	0.39%	0.31%	0.47%	0.66%	0.15%	0.57%	0.61%	0.34%	0.79%	0.74%	0.17%	0.81%	0.18%	0.44%	0.28%	0.34%	0.61%	0.63%	0.70%	0.65%	0.64%	0.34%	2.03%	0.42%	0.51%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	25697	491	585	527	365	451	1020	802	723	307	590	1079	404	739	736	814	937	1148	711	829	190	762	329	777	752	623	1044	1084	549	957	834	862	925	202	912	1039	598					
		68.75%	57.29%	53.28%	58.17%	56.15%	61.11%	72.70%	68.90%	65.37%	81.87%	74.03%	89.32%	78.75%	76.26%	69.70%	67.27%	71.69%	82.06%	71.75%	56.78%	75.10%	62.41%	56.53%	69.62%	67.20%	55.13%	72.96%	74.25%	67.11%	75.18%	73.09%	70.37%	73.71%	69.18%	63.96%	72.05%	60.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	180	3	10	10	6	4	6	3	4	0	2	2	2	4	1	5	7	2	2	5	0	3	2	11	3	12	3	6	7	4	3	1	8	0	27	8	4					
		0.48%	0.35%	0.91%	1.10%	0.92%	0.54%	0.43%	0.26%	0.36%	0.00%	0.25%	0.17%	0.39%	0.41%	0.09%	0.41%	0.54%	0.14%	0.20%	0.34%	0.00%	0.25%	0.34%	0.99%	0.27%	1.06%	0.21%	0.41%	0.86%	0.31%	0.26%	0.08%	0.64%	0.00%	1.89%	0.55%	0.41%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
