Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Шаблыкинская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6324	913	925	1168	164	197	545	150	248	202	261	597	383	142	174	255									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6500	938	947	1192	165	209	560	156	256	213	267	612	397	142	183	263									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3747	686	628	631	79	100	339	69	127	101	165	313	200	57	108	144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	735	45	55	52	28	38	82	57	50	39	26	43	87	22	42	69									
6	Число погашенных избирательных бюллетеней	2018	207	264	509	58	71	139	30	79	73	76	256	110	63	33	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	735	45	55	52	28	38	82	57	50	39	26	43	87	22	42	69									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3747	686	628	631	79	100	339	69	127	101	165	313	200	57	108	144									
9	Число недействительных избирательных бюллетеней	49	10	5	9	2	1	0	1	1	4	1	10	3	1	1	0									
10	Число действительных избирательных бюллетеней	4433	721	678	674	105	137	421	125	176	136	190	346	284	78	149	213									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	176	30	31	34	5	5	15	5	5	7	5	10	7	5	7	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	120	15	19	23	2	4	6	0	5	7	5	10	7	5	7	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	3	4	7	2	0	0	0	1	2	2	0	0	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	56	15	12	11	3	1	9	5	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	3	2	5	0	2	3	2	0	4	0	0	0	1	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	16	2	4	3	0	0	1	0	1	1	1	2	1	0	0	0									
		0.36%	0.27%	0.59%	0.44%	0.00%	0.00%	0.24%	0.00%	0.56%	0.71%	0.52%	0.56%	0.35%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	138	34	25	25	2	1	12	2	5	2	3	10	0	4	5	8									
		3.08%	4.65%	3.66%	3.66%	1.87%	0.72%	2.85%	1.59%	2.82%	1.43%	1.57%	2.81%	0.00%	5.06%	3.33%	3.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	56	11	8	10	0	1	0	0	2	0	1	11	3	4	0	5									
		1.25%	1.50%	1.17%	1.46%	0.00%	0.72%	0.00%	0.00%	1.13%	0.00%	0.52%	3.09%	1.05%	5.06%	0.00%	2.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2740	344	430	410	66	96	275	72	133	90	134	206	204	42	109	129									
		61.13%	47.06%	62.96%	60.03%	61.68%	69.57%	65.32%	57.14%	75.14%	64.29%	70.16%	57.87%	71.08%	53.16%	72.67%	60.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	7	2	2	0	0	0	0	0	0	3	1	0	0	0	0									
		0.33%	0.96%	0.29%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.57%	0.28%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	2	0	1	0	0	0	0	0	0	1	0	1	0	1	0									
		0.13%	0.27%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.35%	0.00%	0.67%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	604	115	62	90	23	21	27	34	10	27	30	56	34	16	15	44									
		13.48%	15.73%	9.08%	13.18%	21.50%	15.22%	6.41%	26.98%	5.65%	19.29%	15.71%	15.73%	11.85%	20.25%	10.00%	20.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0									
		0.11%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.56%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	4	1	2	0	0	1	0	0	1	0	1	0	0	0	0									
		0.22%	0.55%	0.15%	0.29%	0.00%	0.00%	0.24%	0.00%	0.00%	0.71%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
		0.09%	0.41%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	19	4	5	2	2	1	1	0	0	2	2	0	0	0	0	0									
		0.42%	0.55%	0.73%	0.29%	1.87%	0.72%	0.24%	0.00%	0.00%	1.43%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	662	123	120	103	8	15	96	15	22	12	14	40	38	12	18	26									
		14.77%	16.83%	17.57%	15.08%	7.48%	10.87%	22.80%	11.90%	12.43%	8.57%	7.33%	11.24%	13.24%	15.19%	12.00%	12.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	9	4	0	0	0	0	0	0	0	0	0	0	0	1	1									
