Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Льговская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11741	478	162	139	118	86	533	358	213	176	246	277	133	84	239	125	124	184	243	402	483	57	165	126	402	227	315	76	360	324	283	166	116	297	422	409	388	709	48	128	914	456	550									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10700	440	150	120	100	70	490	330	190	150	220	250	110	70	210	110	110	150	210	370	460	50	140	110	370	200	290	70	340	300	250	150	100	260	400	390	360	670	40	110	880	410	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4017	152	63	59	24	28	152	107	85	33	68	107	45	37	98	35	39	60	68	92	172	26	67	48	136	67	101	35	119	75	131	42	40	134	159	153	160	220	27	44	374	138	197									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1356	52	19	21	29	8	72	25	33	39	31	43	13	10	25	22	16	18	22	38	60	4	13	22	44	32	13	11	42	63	18	21	21	60	21	54	30	118	8	14	68	50	33									
6	Число погашенных избирательных бюллетеней	5327	236	68	40	47	34	266	198	72	78	121	100	52	23	87	53	55	72	120	240	228	20	60	40	190	101	176	24	179	162	101	87	39	66	220	183	170	332	5	52	438	222	270									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1356	52	19	21	29	8	72	25	33	39	31	43	13	10	25	22	16	18	22	38	60	4	13	22	44	32	13	11	42	63	18	21	21	60	21	54	30	118	8	14	68	50	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4015	152	63	59	24	28	152	107	85	33	68	107	45	37	98	35	39	60	68	92	172	26	67	48	136	67	101	35	119	75	131	42	39	134	159	153	160	219	27	44	374	138	197									
9	Число недействительных избирательных бюллетеней	160	5	7	2	1	3	7	10	1	0	3	1	1	0	3	2	0	2	2	3	5	0	6	3	4	3	5	1	2	4	13	1	0	5	6	8	4	14	1	4	9	7	2									
10	Число действительных избирательных бюллетеней	5211	199	75	78	52	33	217	122	117	72	96	149	57	47	120	55	55	76	88	127	227	30	74	67	176	96	109	45	159	134	136	62	60	189	174	199	186	323	34	54	433	181	228									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	149	4	3	3	3	3	3	3	4	3	3	3	3	3	9	3	3	3	3	4	4	3	3	3	4	4	6	3	3	3	4	3	3	3	4	3	3	4	3	3	6	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	60	1	0	1	0	0	2	1	2	1	2	3	0	0	6	1	0	0	1	2	2	0	1	0	2	0	4	0	0	2	1	1	0	2	3	3	2	1	0	0	6	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	0	1	0	0	1	2	3	0	1	0	1	1	2	0	0	2	0	1	1	1	1	2	2	2	1	1	2	1	1	2	2	1	0	3	0	0	1	1	0	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	89	3	3	2	3	3	1	2	2	2	1	0	3	3	3	2	3	3	2	2	2	3	2	3	2	4	2	3	3	1	3	2	3	1	1	0	1	3	3	3	0	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	3	0	1	1	0	0	4	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	52	1	0	0	0	0	2	2	1	0	2	3	0	0	3	0	1	4	0	3	4	0	0	0	2	2	0	3	3	0	0	0	0	1	0	1	1	5	2	0	4	0	2									
		0.97%	0.49%	0.00%	0.00%	0.00%	0.00%	0.89%	1.52%	0.85%	0.00%	2.02%	2.00%	0.00%	0.00%	2.44%	0.00%	1.82%	5.13%	0.00%	2.31%	1.72%	0.00%	0.00%	0.00%	1.11%	2.02%	0.00%	6.52%	1.86%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.48%	0.53%	1.48%	5.71%	0.00%	0.90%	0.00%	0.87%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	226	13	2	9	0	0	9	11	10	2	2	4	1	3	8	2	1	2	7	9	7	1	0	2	5	6	1	2	10	0	4	4	2	4	14	15	5	12	0	5	17	8	7									
		4.21%	6.37%	2.44%	11.25%	0.00%	0.00%	4.02%	8.33%	8.47%	2.78%	2.02%	2.67%	1.72%	6.38%	6.50%	3.51%	1.82%	2.56%	7.78%	6.92%	3.02%	3.33%	0.00%	2.86%	2.78%	6.06%	0.88%	4.35%	6.21%	0.00%	2.68%	6.35%	3.33%	2.06%	7.78%	7.25%	2.63%	3.56%	0.00%	8.62%	3.85%	4.26%	3.04%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	76	3	0	0	5	0	7	4	0	1	0	1	0	0	4	0	0	1	0	3	2	0	2	2	3	1	0	1	1	1	0	0	0	1	3	1	3	6	0	1	11	0	8									
		1.42%	1.47%	0.00%	0.00%	9.43%	0.00%	3.13%	3.03%	0.00%	1.39%	0.00%	0.67%	0.00%	0.00%	3.25%	0.00%	0.00%	1.28%	0.00%	2.31%	0.86%	0.00%	2.50%	2.86%	1.67%	1.01%	0.00%	2.17%	0.62%	0.72%	0.00%	0.00%	0.00%	0.52%	1.67%	0.48%	1.58%	1.78%	0.00%	1.72%	2.49%	0.00%	3.48%									
