Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Центральная г.Краснодара																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399					
1	"Число избирателей, внесенных в списки избирателей"	122070	2216	1615	2799	1537	1888	2337	1848	2056	2356	2247	1709	1676	2292	1878	2330	2048	2219	1770	2003	2584	2861	1907	1853	2417	2197	2183	1847	2026	2221	1726	1758	1758	2155	2542	2287	2187	2135	2161	2091	2287	1588	2257	2593	2256	2180	1637	2306	2663	2689	2346	2353	2242	2368	2570	2538	360	1322	95	682	554	110	354					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	102900	1800	1300	2300	1200	1600	2000	1500	1800	2100	1900	1400	1400	2000	1500	1950	1800	1900	1400	1700	2500	2700	1500	1600	2100	1800	1800	1600	1700	1800	1300	1400	1500	1850	2100	1700	1700	1750	1800	1750	2000	1300	1800	2200	1800	1800	1400	1900	2200	2250	1850	1800	1750	1800	2100	2100	370	1700	150	690	800	120	520					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	70148	1225	833	1700	894	1083	1346	1097	1185	1368	1362	977	973	1264	929	1302	1181	1164	1003	1033	1527	1560	923	1104	1502	1233	1272	1076	1285	1260	844	971	906	1056	1372	1653	1313	1207	1226	1240	1463	920	1570	1457	1318	1178	1000	1328	1531	1444	1254	1283	1257	1327	1407	1385	255	1322	19	209	404	94	274					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4476	128	56	58	77	79	40	68	54	78	55	80	85	73	176	55	104	95	68	97	57	75	55	43	68	34	77	51	78	46	62	27	54	83	56	47	57	50	84	76	42	62	12	31	54	33	38	52	61	75	76	37	37	77	91	98	99	0	76	473	150	16	80					
6	Число погашенных избирательных бюллетеней	28276	447	411	542	229	438	614	335	561	654	483	343	342	663	395	593	515	641	329	570	916	1065	522	453	530	533	451	473	337	494	394	402	540	711	672	0	330	493	490	434	495	318	218	712	428	589	362	520	608	731	520	480	456	396	602	617	16	378	55	8	246	10	166					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4476	128	56	58	77	79	40	68	54	78	55	80	85	73	176	55	104	95	68	97	57	75	55	43	68	34	77	51	78	46	62	27	54	83	56	47	57	50	84	76	42	62	12	31	54	33	38	52	61	75	76	37	37	77	91	98	99	0	76	473	150	16	80					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70082	1225	833	1700	894	1083	1346	1095	1183	1358	1362	977	972	1264	929	1302	1181	1164	1001	1033	1527	1550	923	1104	1498	1233	1269	1074	1285	1253	844	971	906	1056	1366	1653	1313	1207	1226	1240	1463	920	1570	1454	1317	1178	1000	1328	1531	1435	1254	1280	1257	1327	1407	1385	255	1321	19	209	404	94	274					
9	Число недействительных избирательных бюллетеней	1223	22	35	23	21	21	26	21	31	16	27	6	17	13	22	0	17	23	22	15	24	16	28	6	19	14	18	19	21	37	16	12	8	28	22	38	2	18	17	38	35	26	34	24	15	15	7	15	32	24	21	22	16	21	29	36	4	23	0	16	20	1	8					
10	Число действительных избирательных бюллетеней	73335	1331	854	1735	950	1141	1360	1142	1206	1420	1390	1051	1040	1324	1083	1357	1268	1236	1047	1115	1560	1609	950	1141	1547	1253	1328	1106	1342	1262	890	986	952	1111	1400	1662	1368	1239	1293	1278	1470	956	1548	1461	1356	1196	1031	1365	1560	1486	1309	1295	1278	1383	1469	1447	350	1298	95	666	534	109	346					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4170	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	220	40	40	40	40	40	150	40	40	150	40	650	40	1000	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1459	12	31	35	14	27	26	20	24	30	32	29	25	33	17	27	15	35	27	21	27	31	28	19	26	20	31	27	29	35	18	19	14	19	24	30	32	33	34	27	48	21	22	32	29	22	16	29	19	37	25	30	37	32	33	24	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2267	41	11	11	7	18	23	23	22	20	113	30	27	27	59	25	19	24	27	20	38	36	9	7	69	23	30	43	31	43	26	17	17	15	23	209	67	34	27	32	38	26	12	31	35	11	31	20	11	21	18	108	24	42	23	27	0	41	20	209	73	7	96					
14	Число погашенных неиспользованных открепительных удостоверений	2711	28	9	5	26	13	14	20	16	10	8	11	15	7	23	13	25	5	13	19	13	9	12	21	14	20	9	13	11	185	22	21	26	21	16	120	8	7	116	13	602	19	978	8	11	18	24	11	21	3	15	10	3	8	7	16	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
18	1.Политическая партия «Аграрная партия России»	1478	23	16	21	18	13	18	28	34	30	43	21	23	28	19	24	24	24	19	23	36	35	19	9	27	21	29	12	34	16	16	19	19	22	17	25	26	30	33	35	19	17	43	29	32	35	33	28	33	28	22	24	40	25	29	30	22	17	1	14	14	1	13					
		1.98%	1.70%	1.80%	1.19%	1.85%	1.12%	1.30%	2.41%	2.75%	2.09%	3.03%	1.99%	2.18%	2.09%	1.72%	1.77%	1.87%	1.91%	1.78%	2.04%	2.27%	2.15%	1.94%	0.78%	1.72%	1.66%	2.15%	1.07%	2.49%	1.23%	1.77%	1.90%	1.98%	1.93%	1.20%	1.47%	1.90%	2.39%	2.52%	2.66%	1.26%	1.73%	2.72%	1.95%	2.33%	2.89%	3.18%	2.03%	2.07%	1.85%	1.65%	1.82%	3.09%	1.78%	1.94%	2.02%	6.21%	1.29%	1.05%	2.05%	2.53%	0.91%	3.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1457	21	13	26	17	14	25	15	21	33	34	20	16	25	16	17	22	25	25	12	33	25	16	10	28	43	36	24	38	32	13	20	31	26	36	29	39	26	37	31	30	19	52	29	28	32	24	17	32	27	16	25	20	27	33	32	1	18	0	10	7	2	6					
		1.95%	1.55%	1.46%	1.48%	1.75%	1.20%	1.80%	1.29%	1.70%	2.30%	2.40%	1.89%	1.51%	1.87%	1.45%	1.25%	1.71%	1.99%	2.34%	1.06%	2.08%	1.54%	1.64%	0.87%	1.79%	3.39%	2.67%	2.13%	2.79%	2.46%	1.43%	2.00%	3.23%	2.28%	2.53%	1.71%	2.85%	2.07%	2.82%	2.36%	1.99%	1.93%	3.29%	1.95%	2.04%	2.64%	2.31%	1.23%	2.01%	1.79%	1.20%	1.90%	1.55%	1.92%	2.20%	2.16%	0.28%	1.36%	0.00%	1.47%	1.26%	1.82%	1.69%					
20	3.Политическая партия «Демократическая партия России»	143	0	1	3	1	4	1	4	2	2	0	3	3	3	4	2	2	0	0	1	4	1	2	2	4	3	2	3	3	2	5	2	2	0	3	7	2	2	0	1	0	1	8	0	5	2	3	0	2	2	2	0	1	5	1	3	0	19	0	0	1	0	2					
		0.19%	0.00%	0.11%	0.17%	0.10%	0.34%	0.07%	0.34%	0.16%	0.14%	0.00%	0.28%	0.28%	0.22%	0.36%	0.15%	0.16%	0.00%	0.00%	0.09%	0.25%	0.06%	0.20%	0.17%	0.26%	0.24%	0.15%	0.27%	0.22%	0.15%	0.55%	0.20%	0.21%	0.00%	0.21%	0.41%	0.15%	0.16%	0.00%	0.08%	0.00%	0.10%	0.51%	0.00%	0.36%	0.17%	0.29%	0.00%	0.13%	0.13%	0.15%	0.00%	0.08%	0.36%	0.07%	0.20%	0.00%	1.44%	0.00%	0.00%	0.18%	0.00%	0.56%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12614	179	125	269	158	181	234	228	203	255	255	191	223	188	185	176	252	213	121	143	336	256	120	141	389	208	255	211	282	178	140	147	130	159	242	179	208	311	280	198	227	179	221	314	267	241	220	264	382	241	263	242	220	257	289	232	45	105	15	89	88	8	56					
		16.92%	13.23%	14.06%	15.30%	16.27%	15.58%	16.88%	19.60%	16.41%	17.76%	17.99%	18.07%	21.10%	14.06%	16.74%	12.97%	19.61%	16.92%	11.32%	12.65%	21.21%	15.75%	12.27%	12.29%	24.84%	16.42%	18.95%	18.76%	20.69%	13.70%	15.45%	14.73%	13.54%	13.96%	17.02%	10.53%	15.18%	24.74%	21.37%	15.05%	15.08%	18.23%	13.97%	21.14%	19.47%	19.90%	21.19%	19.13%	23.99%	15.96%	19.77%	18.38%	17.00%	18.30%	19.29%	15.64%	12.71%	7.95%	15.79%	13.05%	15.88%	7.27%	15.82%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	656	6	7	11	3	5	18	9	9	6	13	4	9	13	2	13	7	19	10	3	11	8	6	4	6	13	15	17	27	11	7	10	14	6	21	14	17	26	25	14	4	11	24	17	5	11	11	15	16	11	7	13	8	13	13	16	1	12	0	4	3	0	2					
