Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Адыге-Хабльская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9567	1320	1370	1102	561	398	240	183	449	221	275	905	760	1170	368	245									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9500	1318	1364	1090	558	397	235	180	445	220	271	903	753	1162	361	243									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9225	1281	1321	1049	542	390	231	166	437	208	266	870	730	1145	350	239									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	94	7	18	1	7	3	2	3	5	3	3	10	12	11	7	2									
6	Число погашенных избирательных бюллетеней	181	30	25	40	9	4	2	11	3	9	2	23	11	6	4	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	94	7	18	1	7	3	2	3	5	3	3	10	12	11	7	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9225	1281	1321	1049	542	390	231	166	437	208	266	870	730	1145	350	239									
9	Число недействительных избирательных бюллетеней	135	14	22	3	16	5	3	5	6	5	1	7	13	29	4	2									
10	Число действительных избирательных бюллетеней	9184	1274	1317	1047	533	388	230	164	436	206	268	873	729	1127	353	239									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	34	3	3	3	2	2	2	2	2	2	2	2	2	3	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	34	3	3	3	2	2	2	2	2	2	2	2	2	3	2	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
