Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Малоярославецкая																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486					
1	"Число избирателей, внесенных в списки"	45960	863	568	500	187	300	1010	353	100	2820	343	703	1247	899	370	816	129	418	289	1122	313	426	483	2051	2255	2208	1730	2120	1301	1358	2169	2045	2432	2967	2383	1393	967	1998	2324					
2	"Число бюллетеней, полученных участковыми комиссиями"	43127	803	472	508	173	285	934	327	94	2861	333	694	1190	843	339	769	120	386	272	1069	302	391	456	1921	2156	2055	1624	1968	1135	1253	1901	2268	2268	2695	2166	1290	812	1874	2120					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19475	384	286	131	73	83	472	155	43	1412	206	263	596	283	230	378	48	150	147	368	116	116	210	982	997	931	783	1002	452	508	902	824	1042	1256	1075	712	370	659	830					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2266	108	21	95	14	97	121	64	28	174	17	30	117	107	43	37	14	108	35	136	71	119	53	74	102	24	24	31	36	30	89	34	24	56	19	7	68	17	22					
6	Число погашенных бюллетеней	21377	311	165	282	86	105	341	108	23	1275	110	401	477	453	66	354	58	128	90	565	115	156	193	865	1057	1100	817	935	647	715	910	1402	1202	1383	1072	571	373	1198	1268					
7	Число бюллетеней в переносных ящиках для голосования	2266	108	21	95	14	97	121	64	28	174	17	30	117	107	43	37	14	108	35	136	71	119	53	74	102	24	24	31	36	30	89	34	24	56	19	7	68	17	22					
8	Число бюллетеней в стационарных ящиках для голосования	19467	384	286	131	73	83	472	155	43	1412	206	263	596	283	230	378	48	150	147	368	116	116	210	982	997	931	783	1002	452	508	902	816	1042	1256	1075	712	370	659	830					
9	Число недействительных бюллетеней	286	0	6	1	0	6	6	5	0	29	3	0	8	10	3	2	0	3	8	13	0	1	3	19	12	8	8	16	11	17	13	13	15	20	4	2	2	9	10					
10	Число действительных бюллетеней	21447	492	301	225	87	174	587	214	71	1557	220	293	705	380	270	413	62	255	174	491	187	234	260	1037	1087	947	799	1017	477	521	978	837	1051	1292	1090	717	436	667	842					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	760	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	147	0	0	4	0	1	9	1	1	16	0	1	5	2	0	4	0	1	1	6	1	0	0	3	16	2	2	8	0	3	6	10	8	6	10	7	1	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	252	12	73	2	3	1	12	0	2	13	0	0	0	6	2	3	3	0	3	6	2	13	3	13	3	6	4	0	3	3	5	2	2	9	11	9	7	6	10					
14	Число погашенных открепительных удостоверений	613	20	20	16	20	19	11	19	19	4	20	19	15	18	20	16	20	19	19	14	19	20	20	17	4	18	18	12	20	17	14	10	12	14	10	13	19	13	15					
15	Число открепительных удостоверений выданных ТИК	18	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	1	1	0	0	0	4	3					
16	Число утраченных бюллетеней	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	194	9	3	0	0	2	10	4	2	12	3	5	6	4	1	5	3	4	3	1	1	2	8	12	10	5	7	4	5	4	5	10	8	9	7	7	4	3	6					
		0.89%	1.82%	0.97%	0.0%	0.0%	1.11%	1.68%	1.82%	2.81%	0.75%	1.34%	1.70%	0.84%	1.02%	0.36%	1.20%	4.83%	1.55%	1.64%	0.19%	0.53%	0.85%	3.04%	1.13%	0.90%	0.52%	0.86%	0.38%	1.02%	0.74%	0.50%	1.17%	0.75%	0.68%	0.63%	0.97%	0.91%	0.44%	0.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	547	4	9	2	2	0	5	3	1	31	6	2	16	14	8	5	0	4	4	5	0	3	3	13	21	35	26	27	9	11	18	24	35	33	75	40	6	16	31					
		2.51%	0.81%	2.93%	0.88%	2.29%	0.0%	0.84%	1.36%	1.40%	1.95%	2.69%	0.68%	2.24%	3.58%	2.93%	1.20%	0.0%	1.55%	2.19%	0.99%	0.0%	1.27%	1.14%	1.23%	1.91%	3.66%	3.22%	2.61%	1.84%	2.04%	1.81%	2.82%	3.28%	2.51%	6.85%	5.56%	1.36%	2.36%	3.63%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	570	9	13	6	3	9	6	8	2	40	10	11	22	8	2	11	3	3	6	15	4	9	6	27	17	18	35	36	23	14	22	23	42	31	17	12	17	10	20					
