Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    район Марьина Роща																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №3660	УИК №3661									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35721	2032	2134	1903	2170	2067	2336	2425	2229	2212	2500	2083	2367	1873	2552	2057	272	2387	48	74									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26000	1400	1500	1400	1600	1500	1700	1700	1600	1600	1800	1500	1700	1400	1800	1500	200	1700	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11947	731	781	632	690	574	781	777	819	712	825	746	824	615	837	647	80	772	48	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	522	44	33	45	33	43	42	34	26	28	34	23	18	20	36	28	1	34	0	0									
6	Число погашенных избирательных бюллетеней	13531	625	686	723	877	883	877	889	755	860	941	731	858	765	927	825	119	894	152	144									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	522	44	33	45	33	43	42	34	26	28	34	23	18	20	36	28	1	34	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11916	731	778	628	688	574	778	771	818	710	820	746	824	614	837	643	80	772	48	56									
9	Число недействительных избирательных бюллетеней	179	9	7	10	3	10	15	8	10	9	19	11	19	8	8	14	2	15	0	2									
10	Число действительных избирательных бюллетеней	12259	766	804	663	718	607	805	797	834	729	835	758	823	626	865	657	79	791	48	54									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	20	20	10	20	10	20	20	20	20	20	20	20	20	30	20	10	30	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	236	17	11	10	12	8	17	10	15	14	10	13	18	15	23	17	1	25	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	305	26	7	13	7	4	18	7	17	50	35	13	16	15	16	36	5	5	15	0									
14	Число погашенных неиспользованных открепительных удостоверений	94	3	9	0	8	2	3	10	5	6	10	7	2	5	7	3	9	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	1	4	4	1	5	1	1	3	3	0	1	7	1	2	3	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	413	34	23	17	35	21	27	27	29	22	31	17	36	18	29	20	1	24	0	2									
		3.32%	4.39%	2.84%	2.53%	4.85%	3.40%	3.29%	3.35%	3.44%	2.98%	3.63%	2.21%	4.28%	2.84%	3.32%	2.98%	1.23%	2.98%	0.00%	3.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	221	5	12	15	13	13	12	19	14	20	17	18	12	11	16	6	6	11	0	1									
		1.78%	0.65%	1.48%	2.23%	1.80%	2.11%	1.46%	2.36%	1.66%	2.71%	1.99%	2.34%	1.43%	1.74%	1.83%	0.89%	7.41%	1.36%	0.00%	1.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	414	17	30	25	19	16	27	37	29	17	26	37	24	21	37	26	3	20	0	3									
		3.33%	2.19%	3.70%	3.71%	2.64%	2.59%	3.29%	4.60%	3.44%	2.30%	3.04%	4.81%	2.85%	3.31%	4.24%	3.87%	3.70%	2.48%	0.00%	5.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4105	238	250	216	239	205	267	250	288	248	266	235	281	203	294	246	32	291	40	16									
		33.00%	30.71%	30.83%	32.10%	33.15%	33.23%	32.56%	31.06%	34.12%	33.60%	31.15%	30.56%	33.37%	32.02%	33.68%	36.66%	39.51%	36.10%	83.33%	28.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	243	12	18	5	17	12	17	17	6	19	20	15	16	13	27	11	1	16	0	1									
		1.95%	1.55%	2.22%	0.74%	2.36%	1.94%	2.07%	2.11%	0.71%	2.57%	2.34%	1.95%	1.90%	2.05%	3.09%	1.64%	1.23%	1.99%	0.00%	1.79%									
24	"6. Политическая партия ""Гражданская Платформа"""	52	5	5	4	2	3	3	1	3	6	4	2	2	4	2	1	1	4	0	0									
		0.42%	0.65%	0.62%	0.59%	0.28%	0.49%	0.37%	0.12%	0.36%	0.81%	0.47%	0.26%	0.24%	0.63%	0.23%	0.15%	1.23%	0.50%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1434	94	80	48	64	73	82	96	92	90	119	91	108	95	71	97	17	104	3	10									
		11.53%	12.13%	9.86%	7.13%	8.88%	11.83%	10.00%	11.93%	10.90%	12.20%	13.93%	11.83%	12.83%	14.98%	8.13%	14.46%	20.99%	12.90%	6.25%	17.86%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	443	29	24	28	32	23	32	30	34	18	31	30	29	18	29	22	3	26	0	5									
		3.56%	3.74%	2.96%	4.16%	4.44%	3.73%	3.90%	3.73%	4.03%	2.44%	3.63%	3.90%	3.44%	2.84%	3.32%	3.28%	3.70%	3.23%	0.00%	8.93%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	499	33	45	33	39	28	27	26	32	19	34	23	41	29	30	23	2	34	1	0									
		4.01%	4.26%	5.55%	4.90%	5.41%	4.54%	3.29%	3.23%	3.79%	2.57%	3.98%	2.99%	4.87%	4.57%	3.44%	3.43%	2.47%	4.22%	2.08%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	3	1	2	0	0	2	1	1	0	4	4	2	3	0	0	1	2	0	0									
		0.21%	0.39%	0.12%	0.30%	0.00%	0.00%	0.24%	0.12%	0.12%	0.00%	0.47%	0.52%	0.24%	0.47%	0.00%	0.00%	1.23%	0.25%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1598	115	129	81	98	69	139	105	113	94	110	77	125	55	127	60	2	93	0	6									
		12.85%	14.84%	15.91%	12.04%	13.59%	11.18%	16.95%	13.04%	13.39%	12.74%	12.88%	10.01%	14.85%	8.68%	14.55%	8.94%	2.47%	11.54%	0.00%	10.71%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1808	116	112	115	117	97	115	125	119	107	108	128	99	99	141	89	7	109	2	3									
		14.54%	14.97%	13.81%	17.09%	16.23%	15.72%	14.02%	15.53%	14.10%	14.50%	12.65%	16.64%	11.76%	15.62%	16.15%	13.26%	8.64%	13.52%	4.17%	5.36%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	87	5	9	7	2	3	5	3	6	7	4	2	4	6	10	7	1	3	1	2									
		0.70%	0.65%	1.11%	1.04%	0.28%	0.49%	0.61%	0.37%	0.71%	0.95%	0.47%	0.26%	0.48%	0.95%	1.15%	1.04%	1.23%	0.37%	2.08%	3.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	916	60	66	67	41	44	50	60	68	62	61	79	44	51	52	49	2	54	1	5									
		7.36%	7.74%	8.14%	9.96%	5.69%	7.13%	6.10%	7.45%	8.06%	8.40%	7.14%	10.27%	5.23%	8.04%	5.96%	7.30%	2.47%	6.70%	2.08%	8.93%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
